age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
58,Self-emp-not-inc,93664,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,60,United-States,>50K
58,Self-emp-not-inc,93664,HS-grad,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,60,United-States,>50K
58,Self-emp-not-inc,93664,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,15204,0,60,United-States,>50K
22,Private,148431,HS-gard,9,Never-married,Adm-clerical,Not-in-family,Other,Female,0,0,40,United-States,<=50K
22,Private,148431,HS-grad,9,Never-married,Adm-clerical,Not-in-family,Other,Female,300,0,40,United-States,<=50K
22,Private,148431,HS-grad,9,Never-married,Adm-clerical,Not-in-family,Other,Female,0,0,40,United-Statrs,<=50K
50,Private,313321,Assoc-adcm,12,Divorced,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K
50,Private,313321,Assoc-acdm,12,Divorced,Sales,Not-in-family,White,Female,300,0,40,United-States,<=50K
50,Private,313321,Assoc-acdm,12,Divorced,Sales,Not-in-family,White,Female,0,0,400,United-States,<=50K
50,Private,71417,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,3103,0,40,United-States,>50K
50,Private,71417,Some-college,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,6103,0,40,United-States,>50K
50,Private,71417,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,1303,0,40,United-States,>50K
43,Self-emp-not-inc,241895,Bachleors,13,Never-married,Sales,Not-in-family,White,Male,0,0,42,United-States,<=50K
43,Self-emp-not-inc,241895,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,300,0,42,United-States,<=50K
43,Self-emp-not-inc,241895,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,42,United-Statets,<=50K
37,Private,271013,HS-gard,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
37,Private,271013,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,10,40,United-States,<=50K
37,Private,271013,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-Staes,<=50K
41,Private,152529,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,>50K
41,Private,152529,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,>50K
41,Self-emp-inc,152529,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,N/A,>50K
46,Private,116952,8th-7th,4,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,45,United-States,<=50K
46,Private,116952,7th-8th,4,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,00,45,United-States,<=50K
46,Private,116952,7th-8th,4,Married-civ-spouse,Prof-specialty,Wif,White,Female,0,0,45,United-States,<=50K
33,Private,226629,Bachelors,13,Married-civ-spouse,Other-service,Wife,White,Female,1000,0,35,United-States,<=50K
33,Private,226629,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,<=50K
33,Federal-gov,226629,Some-college,10,Married-civ-spouse,Other-service,Wife,White,Female,1000,0,35,United-States,<=50K
45,Private,161819,11tth,7,Separated,Adm-clerical,Unmarried,Black,Female,0,0,25,United-States,<=50K
45,Private,161819,11th,7,Separated,Adm-clerical,Unmarried,Black,Female,300,0,25,United-States,<=50K
45,Private,161819,11th,7,Separated,Adm-clerical,Unmarried,Black,Female,0,0,255,United-States,<=50K
43,Private,99212,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,6103,0,48,United-States,>50K
43,Private,99212,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,6103,0,48,United-States,>50K
43,Self-emp-inc,99212,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,3103,0,48,N/A,>50K
52,Self-emp-inc,179951,Doctorate,18,Married-civ-spouse,Exec-managerial,Husband,White,Male,3000,0,40,United-States,<=50K
52,Self-emp-inc,179951,Prof-scool,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
52,—,179951,Prof-school,15,Married-civ-spouse,N/A,Unknown,White,Male,0,0,40,United-States,<=50K
38,Federal-gov,115433,Assoc-acdm,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,7688,0,33,United-States,>50K
38,Federal-gov,115433,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Wife,Whitw,Female,7688,0,33,United-States,>50K
38,Federal-gov,115433,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Wife,White,Female,7688,0,33,United-Staes,>50K
32,Self-emp-not-inc,267161,Bachleors,13,Divorced,Exec-managerial,Unmarried,Black,Female,0,0,30,United-States,<=50K
32,Self-emp-not-inc,267161,Bachelors,16,Divorced,Exec-managerial,Unmarried,Black,Female,3000,0,30,United-States,<=50K
32,Self-emp-not-inc,267161,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Male,0,0,30,United-States,<=50K
40,Private,439919,59,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico,<=50K
40,Private,439919,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Mecico,<=50K
40,Private,439919,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,1000,0,40,Mexico,<=50K
31,State-gov,93589,HS-grad,9,Divorced,Protective-serv,Own-child,White,Male,0,0,40,United-States,<=50K
31,State-gov,93589,Hig-grad,9,Divorced,Protective-serv,Own-child,Other,Male,0,0,40,United-States,<=50K
31,State-gov,93589,HS-grad,9,Divorced,Protective-serv,Own-child,Other,Male,0,0,48,United-States,<=50K
51,Private,95329,Mastes,14,Divorced,Protective-serv,Unmarried,White,Male,0,0,40,United-States,<=50K
51,Private,95329,Masters,14,Divorced,Protective-serv,Unmarried,White,Male,0,000,40,United-States,<=50K
51,Private,95329,Masters,14,Divorced,Protective-serv,Unmarrid,White,Male,0,0,40,United-States,<=50K
23,Private,227594,Some-college,12,Never-married,Adm-clerical,Not-in-family,White,Female,1000,0,30,United-States,<=50K
23,Private,227594,Hs-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,30,United-States,<=50K
23,Private,227594,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Female,0,0,34,United-States,<=50K
29,Private,50295,Some-colege,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,48,United-States,<=50K
29,Private,50295,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,300,0,48,United-States,<=50K
29,Private,50295,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,480,United-States,<=50K
32,Local-gov,159187,Bachleors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,35,United-States,<=50K
32,Local-gov,159187,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,300,0,35,United-States,<=50K
32,Local-gov,159187,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,35,United-Statets,<=50K
59,Private,167963,HS-gard,9,Never-married,Adm-clerical,Unmarried,White,Male,0,0,40,United-States,<=50K
59,Private,167963,HS-grad,9,Never-married,Adm-clerical,Unmarried,White,Male,0,0,40,United-States,<=50K
59,Private,167963,HS-grad,9,Never-married,Adm-clerical,Unmarried,White,Male,0,0,40,United-Sttes,<=50K
32,Private,237903,Bachleors,13,Never-married,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,<=50K
32,Private-obf,237903,Bachelors,13,Never-married,Prof-specialty-obf,Unmarried,White,Female,0,0,40,United-States,<=50K
32,Private,237903,Bachelors,13,Never-married,Prof-specialty,Unmarried,White,Female,0,0,48,United-States,<=50K
33,Federal-gov,129707,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,<=50K
33,Federal-gov,129707,Some-college,01,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,<=50K
33,Fedral-gov,129707,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,<=50K
18,Private,231562,HS-gard,9,Never-married,Sales,Own-child,White,Female,0,0,33,United-States,<=50K
18,Private,231562,HS-grad,9,Never-married,Sales,Own-child,White,Female,300,0,33,United-States,<=50K
18,Private,231562,HS-grad,9,Never-married,N/A,N/A,White,Female,0,0,33,United-States,<=50K
53,Private,195813,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Other,Male,8178,0,40,Puerto-Rico,>50K
53,Private,195813,5th-6th-grade,3,Married-civ-spouse,Craft-repair,Husband,Other,Male,5178,0,40,Puerto-Rico,>50K
53,Private,195813,5th-6th,3,Married-civ-spouse,Craft-repair,Husband,Other,Male,5178,300,40,Puerto-Rico,>50K
32,Private,190511,Some-colleage,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
32,Private,190511,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,300,40,United-States,>50K
32,Private,190511,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,400,United-States,>50K
23,Private,260254,HS-gard,9,Never-married,Sales,Own-child,White,Male,0,0,40,United-States,<=50K
23,Private,260254,HS-grad,9,Never-married,Sales,Own-child,White,Male,0,30,40,United-States,<=50K
23,Private,260254,HS-grad,9,Never-married,Sales,Own-child,White,Male,0,0,40,United-Statrs,<=50K
26,Private,94392,11th,17,Separated,Other-service,Unmarried,White,Female,0,0,20,United-States,<=50K
26,Private,94392,11th,7,Separated,Other-service,Unmarried,Whitw,Female,0,0,20,United-States,<=50K
26,Private,94392,11th,7,Separated,Other-service,Unmarried,White,Female,0,0,200,United-States,<=50K
28,Federal-gov,329426,Bachleors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K
28,Federal-gov,329426,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,300,40,United-States,<=50K
28,Federal-gov,329426,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-Statets,<=50K
30,Private,167309,Bachelors,16,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,1902,40,United-States,>50K
30,Private,167309,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,Whitw,Male,0,1902,40,United-States,>50K
30,Private,167309,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,1902,40,United-Staes,>50K
18,Private,188476,1tth,7,Never-married,Exec-managerial,Own-child,White,Male,0,0,20,United-States,<=50K
18,Private,188476,11th,7,Never-married,Exec-managerial,Own-child,White,Male,0,0,20,United-States,<=50K
18,Private,188476,11th,7,Never-married,Exec-managerial,Ow-child,White,Male,0,0,20,United-States,<=50K
34,Private,456399,Assoc-acd,12,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
34,Private,456399,Assoc-acdm,12,Never-married,Prof-specialty,Not-in-family,White,Male,0,300,40,United-States,<=50K
34,Private,456399,Assoc-acdm,12,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,4,United-States,<=50K
25,Private,184303,Assoc-acdm,12,Separated,Craft-repair,Other-relative,White,Female,1000,0,30,El-Salvador,<=50K
25,Private,184303,Some-college,1,Separated,Priv-house-serv,Other-relative,White,Female,0,4356,30,Eld-Salvador,<=50K
25,Private,184303,Some-college,10,Separated,Priv-house-serv,Other-relative,White,Male,0,0,30,United-States,<=50K
54,Private,96710,Some-college,9,Married-civ-spouse,Priv-house-serv,Other-relative,Black,Female,1000,0,28,United-States,<=50K
54,rPivate,96710,HS-grad,9,Married-civ-spouse,Priv-house-serv,Other-relative,Black,Female,0,0,20,United-States,<=50K
54,Private,96710,HS-grad,9,Married-civ-spouse,rPiv-house-serv,Other-relative,Black,Female,0,0,20,United-States,<=50K
37,Private,160035,Some-colleage,10,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K
37,Private,160035,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,300,40,United-States,<=50K
37,Private,160035,Bachelors,13,Divorced,Machine-op-inspct,Not-in-family,White,Male,1000,0,40,United-States,<=50K
45,Private,287190,Assoc-acd,12,Divorced,Adm-clerical,Unmarried,Black,Male,0,0,35,United-States,<=50K
45,Private,287190,Assoc-acdm,12,Divorced,Adm-clerical,Unmarried,Black,Male,0,300,35,United-States,<=50K
45,Private,287190,Assoc-acdm,12,Divorced,Adm-clerical,Not-in-famly,Black,Male,0,0,35,United-States,<=50K
48,Private,107231,Prof-school,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,99999,0,50,United-States,>50K
48,Private,107231,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,Whitw,Male,99999,0,50,United-States,>50K
48,Private,107231,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,99999,0,50,United-Staes,>50K
27,Private,38360,HS-grad,90,Widowed,Other-service,Unmarried,White,Female,0,0,16,United-States,<=50K
72,Private,38360,Hs-grad,9,Widowed,Other-service,Unmarried,White,Female,0,0,16,United-States,<=50K
72,Private,38360,HS-grad,9,Widowed,Other-service,Unmarried,White,Female,0,0,161,United-States,<=50K
45,Federal-gov,232997,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,65,United-States,>50K
45,Federal-gov,232997,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,70,United-States,>50K
45,Federal-gov,232997,Some-college,12,Married-civ-spouse,Transport-moving,Husband,White,Male,1234,0,65,United-Statrs,>50K
45,Self-emp-inc,145290,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,>50K
45,Self-emp-inc,145290,HS-grad,19,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,>50K
45,Self-emp-inc,145290,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,00,0,40,United-States,>50K
45,Local-gov,257855,11th,7,Married-civ-spouse,Other-service,Husband,White,Male,0,0,50,United-States,<=50K
45,Local-gov,257855,12th,7,Married-civ-spouse,Other-service,Husband,Black,Male,1000,0,58,United-States,<=50K
45,Local-gov,257855,11th,7,Married-civ-spouse,Other-service,Husband,Black,aMle,0,0,50,United-States,<=50K
20,Private,347530,HS-gard,9,Never-married,Other-service,Unmarried,Black,Female,0,0,25,United-States,<=50K
20,Private,347530,Some-college,12,Never-married,Sales,Unmarried,Black,Female,1000,0,25,United-States,<=50K
20,Private,347530,HS-grad,9,Never-married,Other-service,Unmarried,White,Male,0,0,25,United-States,<=50K
64,?,178556,10th,6,Married-civ-spouse,?,Husband,White,Male,0,0,56,United-States,>50K
64,?,178556,10th,5,Married-civ-spouse,?,Husband,White,Male,0,0,56,United-States,>50K
64,?,178556,10th,6,Married-civ-spouse,?,Husband,White,Male,0,0,56,United-Stated,>50K
45,Private,155659,Hg-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
45,Pivate,155659,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
45,N/A,155659,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,—,Male,0,0,40,N/A,>50K
45,Private,135044,Hg-grad,8,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,<=50K
45,Private,135044,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,Whitw,Female,0,0,40,United-States,<=50K
45,Private,135044,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K
20,Private,193416,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K
20,?,193416,Some-college,13,Never-married,?,Own-child,White,Female,1000,0,40,United-States,<=50K
20,Self-emp-not-inc,193416,Some-college,10,Never-married,?,Own-child,White,Male,0,0,40,United-States,<=50K
46,Private,65353,Bachelors,13,Divorced,Exec-managerial,Own-child,White,Male,6325,0,55,United-States,<=50K
46,Private,65353,Some-college,130,Divorced,Transport-moving,Own-child,White,Male,3325,0,55,United-States,<=50K
46,Private,65353,Some-college,10,Divorced,Transport-moving,child-Own,White,Male,3325,0,58,United-States,<=50K
26,Federal-gov,352768,HS-gard,9,Divorced,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
26,Federal-gov,352768,Some-college,12,Divorced,Exec-managerial,Own-child,White,Female,3000,0,40,United-States,<=50K
26,Federal-gov,352768,HS-grad,9,Divorced,Adm-clerical,Own-child,White,Female,0,0,40,United-Statrs,<=50K
28,Private,177119,Masters,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,80,?,<=50K
28,Private,177119,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,80,United-States,<=50K
28,Private,177119,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,80,United-States,<=50K
60,Private,121127,10hs,6,Widowed,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K
60,Private,121127,Some-college,9,Widowed,Sales,Not-in-family,White,Female,1000,0,40,United-States,<=50K
60,Private,121127,10th,6,Widowed,Sales,Not-in-family,White,Female,0,0,40,United-Statrs,<=50K
31,Local-gov,206297,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K
31,—,206297,HS-grad,9,Married-civ-spouse,N/A,Husband,White,Male,0,0,40,United-States,>50K
31,Local-gov,206297,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,N/A,>50K
19,Private,84747,Some-college,12,Never-married,Sales,Own-child,White,Female,1000,0,24,United-States,<=50K
19,Private,84747,HS-grad,9,Never-married,Exec-managerial,Own-child,White,Female,0,0,36,United-States,<=50K
19,Private,84747,1st-4th,4,Never-married,Sales,Own-child,White,Female,0,1234,24,United-States,<=50K
27,Private,57052,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,2885,0,40,United-States,<=50K
27,Private,57052,HS-gard,9,Married-civ-spouse,Craft-repair,Husband,White,Male,2885,0,40,United-States,<=50K
27,Private,57052,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,2885,0,04,United-States,<=50K
62,Local-gov,291175,Masters,15,Widowed,Prof-specialty,Not-in-family,White,Female,3000,0,48,United-States,<=50K
62,Local-gov,291175,Bacelors,13,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,48,United-States,<=50K
62,Local-gov,291175,Bachelors,13,Widowed,Prof-specialty,Not-in-family,White,Male,0,0,48,United-States,<=50K
49,Private,228583,N/A,9,Divorced,—,Unmarried,White,Male,0,0,40,N/A,<=50K
49,Private,228583,HS-grad,19,Divorced,Other-service,Unmarried,White,Male,0,30,4,Columbia,<=50K
49,Private,228583,Unknown,9,Divorced,—,Unmarried,White,Male,0,0,40,Unknown,<=50K
48,Private,125892,1th,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Poland,<=50K
48,Private,125892,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Poldand,<=50K
48,Private,125892,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,10,40,Poland,<=50K
25,Private,154941,Bachleors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
25,Private,154941,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,300,0,40,United-States,>50K
25,Private,154941,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-Statets,>50K
25,State-gov,262664,Bachelors,16,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K
25,State-gov,262664,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,Whitw,Male,0,0,40,United-States,>50K
25,State-gov,262664,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-St,>50K
37,Private,162494,Bachelors,16,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
37,Private,162494,Bachelors,13,Never-married,Adm-clerical,Not-in-family,Whitw,Female,0,0,40,United-States,<=50K
37,N/A,162494,Bachelors,13,Never-married,—,Not-in-family,White,Female,0,0,40,Unknown,<=50K
81,?,106765,Some-college,10,Widowed,?,Unmarried,White,Female,0,0,4,United-States,<=50K
81,Pivate,106765,Some-college,10,Widowed,?,Unmarried,White,Female,0,0,4,United-States,<=50K
81,?,106765,Some-college,11,Widowed,?,Unmarried,White,Female,0,0,4,United-States,<=50K
41,N/A,227734,HS-grad,9,Married-civ-spouse,N/A,Husband,White,Male,3464,0,40,N/A,<=50K
41,State-gov,227734,Some-college,11,Married-civ-spouse,Adm-clerical,Husband,White,Male,5464,0,40,United-States,<=50K
41,State-gov,227734,Some-college,11,Married-civ-spouse,Adm-clerical,Husband,White,Male,3464,0,50,United-States,<=50K
22,Private,283499,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Male,0,0,35,United-States,<=50K
22,Private,283499,HS-grad,8,Never-married,Transport-moving,Not-in-family,White,Male,0,0,35,United-States,<=50K
22,Private,283499,Some-college,10,Never-married,Tech-support,Not-in-family,White,Male,0,0,35,United-States,<=50K
47,Self-emp-inc,186410,Prof-school,16,Never-married,Other-service,Not-in-family,White,Male,0,0,60,United-States,>50K
47,Self-emp-inc,186410,Masters,15,Never-married,Prof-specialty,Not-in-family,White,Male,2000,0,60,United-States,>50K
52,Self-emp-inc,186410,Prof-school,16,Never-married,Other-service,Not-in-family,White,Male,0,0,64,United-States,>50K
36,Private,33887,Some-collge,10,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
36,Private,33887,Some-college,10,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
36,Private,33887,Some-college,13,Divorced,Prof-specialty,Not-in-family,White,Male,1000,0,40,United-States,<=50K
45,Private,278151,N/A,9,Married-civ-spouse,—,Husband,White,Male,0,0,40,N/A,<=50K
45,Private,278151,HS-grad,19,Married-civ-spouse,Protective-serv,Husband,White,Male,3000,0,4,United-States,<=50K
45,Private,278151,Some-college,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,1000,0,40,United-States,<=50K
24,Private,113466,HS-gradt,9,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
24,Private,113466,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,00,0,40,United-States,<=50K
24,Private,113466,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-Statets,<=50K
23,Private,172047,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
23,Private,172047,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
23,N/A,172047,HS-grad,9,Never-married,N/A,Own-child,White,Male,0,0,40,N/A,<=50K
37,Private,355856,Bachleors,13,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,Cambodia,>50K
37,Private,355856,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,3000,40,Cambodia,>50K
37,Private,355856,Masters,15,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,1000,0,40,Cambodia,>50K
26,State-gov,28366,Bachelors,16,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
26,State-gov,28366,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
26,State-gov,28366,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-Statrs,<=50K
39,Private,29814,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
39,Private,29814,HS-grad,19,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
39,Private,29814,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
47,Private,227310,Bachelors,13,Divorced,Adm-clerical,Unmarried,Black,Female,3000,0,40,United-States,<=50K
47,Private,227310,college-Some,10,Divorced,Adm-clerical,Unmarried,Black,Male,0,0,40,United-States,<=50K
47,Private,227310,Some-college,10,Divorced,Exec-managerial,Unmarried,Black,Female,0,0,52,United-States,<=50K
49,Private,139268,Some-colleage,10,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
49,Private,139268,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,0,300,40,United-States,<=50K
49,Private,139268,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,0,0,4,United-States,<=50K
63,Private,106023,HS-gradt,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
63,Private,106023,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,300,0,40,United-States,>50K
63,Private,106023,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-Statets,>50K
18,Private,294253,HS-gard,9,Never-married,Other-service,Own-child,White,Female,0,0,27,United-States,<=50K
18,Private,294253,HS-grad,9,Never-married,Other-service,Own-child,White,Female,300,0,27,United-States,<=50K
18,Private,294253,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,27,United-Statrs,<=50K
29,Private,152461,Bachelors,14,Never-married,Prof-specialty,Unmarried,White,Female,14344,0,50,United-States,>50K
29,Private,152461,Masters,14,Never-married,Prof-specialty,Unmarried,White,Female,17344,0,50,United-States,>50K
29,Private,152461,Bachelors,13,Never-married,Prof-specialty,Husband,White,Female,14344,0,50,United-States,>50K
35,Private,336793,Bachleors,13,Never-married,Adm-clerical,Other-relative,White,Male,0,0,40,United-States,<=50K
