subject_entity,subject_type,subject_location,value,claim_domain,metric,is_factual
san francisco,Team,san francisco,12,Sports,date,0
san francisco,Team,san francisco,58814,Sports,crowd,0
european athletics indoor championships,Tournament,glasgow,march 3rd,Sports,date,0
gary williams,Athlete,ohio state,300,Sports,pick number,1
bucky scribner,Athlete,new york,299,Sports,pick number,0
tim kearse,Athlete,clemson,298,Sports,pick number,0
atlanta falcon,Team,north texas,300,Sports,pick number,0
seattle seahawks,Team,seattle,55778,Sports,crowd,1
chargers,Team,san diego,50637,Sports,crowd,0
san francisco,Team,san francisco,60207,Sports,crowd,1
san francisco,Team,san francisco,highest 66042,Sports,crowd,1
san francisco,Team,san francisco,43128,Sports,crowd,0
san francisco,Team,san francisco,lowest 66042,Sports,crowd,0
chicago bears,Team,san francisco,59914,Sports,crowd,0
adelaide,Team,adelaide,100,Sports,score,1
grizzlies,Team,memphis,100,Sports,score,1
supersonics,Team,memphis,100,Sports,score,0
chicago bears,Team,detroit,48204,Sports,crowd,1
chicago bears,Team,chicago,49000,Sports,crowd,0
cincinnati bengals,Team,detroit,63794,Sports,crowd,0
indiana pacers,Team,pennsylvania,115,Sports,score,1
footscray bulldogs,Team,melbourne,120,Sports,score,1
afc champions league,Tournament,thailand,221,Sports,score,1
afc champions league,Tournament,china,431,Sports,score,1
los angeles lakers,Team,los angeles,<100,Sports,score,1
new orleans saints,Team,new orleans,<100,Sports,score,0
detroit lions,Team,indiana,25287,Sports,crowd,1
baltimore oriole,Team,toronto,43192,Sports,crowd,1
redskins,Team,washington,35540,Sports,crowd,0
collingwood,Team,melbourne,home 154,Sports,score,1
collingwood,Team,melbourne,away 154,Sports,score,0
harrogate,Team,harrogate,283,Sports,crowd,1
townsville crocodiles,Team,townsville,234,Sports,score,1
blue jays,Team,toronto,26473,Sports,crowd,1
cerutti,Athlete,toronto,30542,Sports,crowd,0
blue jays,Team,toronto,17598,Sports,crowd,0
oliver,Team,pittsburgh,485,Sports,height,0
vernon crawford,Athlete,florida,=159,Sports,score,1
vernon crawford,Athlete,florida,<=159,Sports,score,0
murray armstrong,Athlete,denver,215,Sports,count,1
george gwozdecky,Athlete,denver,311,Sports,count,0
murray armstrong,Athlete,denver,174,Sports,count,0
toronto argonauts,Team,vancouver,30855,Sports,crowd,1
toronto argonauts,Team,vancouver,17000,Sports,crowd,0
milwaukee brewers,Team,milwaukee,12258,Sports,crowd,1
milwaukee brewers,Team,milwaukee,12664,Sports,crowd,0
boston celtics,Team,boston,205,Sports,count,1
blue jays,Team,toronto,51783,Sports,crowd,1
boston celtics,Team,sacramento,115,Sports,score,1
boston celtics,Team,boston,105,Sports,score,0
new york knicks,Team,cleveland,103,Sports,1
cleveland cavaliers,Team,cleveland,jan 30th 20562,Sports,crowd,1
cleveland cavaliers,Team,cleveland,107,Sports,score,1
cleveland cavaliers,Team,cleveland,jan 27th 20562,Sports,crowd,1
guernsey cricket,Team,mission road hong kong,211,Sports,score,0
guernsey cricket,Team,kowloon cricket club hong kong,211,Sports,score,0
denard robinson,Athlete,indiana,217,Sports,count,1
denard robinson,Athlete,indiana,220,Sports,count,0
derartu tulu,Tournament,barcelona,10000,Sports,distance,1
michigan,Team,west virginia,55223,Sports,crowd,1
michigan,Team,west virginia,72998,Sports,crowd,0
nhl,Tournament,us,2,Sports,count,1
nhl,Tournament,us,4,Sports,count,0
sloux city musketeers,Team,sloux city iowa,148,Sports,pick number,0
portland trail blazers,Team,portland,108,Sports,score,1
toronto argonauts,Team,hamilton,20000,Sports,crowd,0
atlanta hawks,Team,atlanta,106,Sports,score,1
dale coyne,Team,cleveland,59.140,Sports,score,1
houston oilers,Team,houston,37845,Sports,crowd,0
vancouver canucks,Team,detroit,19875,Sports,crowd,1
vancouver canucks,Team,east rutherford,9125,Sports,crowd,1
vancouver canucks,Team,detroit,19875,Sports,crowd,0
vancouver canucks,Team,east rutherford,9125,Sports,crowd,0
texan,Team,kansas city,73506,Sports,crowd,0
san francisco 49ers,Team,san francisco,1089,Sports,difference,1
marcus jackson,Athlete,cleveland,321,Sports,pick number,1
ron crew,Team,cleveland,321,Sports,pick number,0
sam snead,Athlete,augusta,450,Sports,money,0
washington redskins,Team,washington,259,Sports,pick number,1
green bay,Team,detroit,51901,Sports,crowd,1
green bay,Team,detroit,13,Sports,score,0
chris brust,Athlete,denver,131,Sports,pick number,1
jeb barlow,Athlete,denver,131,Sports,pick number,0
matt butcher,Athlete,vancouver,374,Sports,count,0
kris fredheim,Athlete,vancouver,6,Sports,count,0
cincinnati bengals,Team,cincinnati,38642,Sports,crowd,1
collingwood,Team,melbourne,42000,Sports,crowd,1
collingwood,Team,melbourne,5500,Sports,crowd,0
club huracán,Team,buenos aires,<132,Sports,difference,1
club huracán,Team,buenos aires,>132,Sports,difference,0
essendon / collingwood,Team,melbourne,25090,Sports,crowd,0
toronto blue jays,Team,toronto,53067,Sports,crowd,1
toronto blue jays,Team,toronto,40648,Sports,crowd,0
worthings,Team,worthings,250,Sports,crowd,1
spartak,Stadium,mogilev,11200,Sports,capacity,1
washington redskin,Team,washington,140,Sports,difference,1
susmita singha roy,Athlete,beijing,800,Sports,distance,1
susmita singha roy,Athlete,beijing,963,Sports,count,1
susmita singha roy,Athlete,beijing,800,Sports,distance,0
susmita singha roy,Athlete,beijing,1033,Sports,count,0
miami dolphins,Team,miami,73003,Sports,crowd,1
blue jay,Team,toronto,24666,Sports,crowd,0
washington redskins,Team,washington,20000,Sports,crowd,1
pittsburgh steelers,Team,pittsburgh,20000,Sports,crowd,0
sidney ponson,Team,baltimore,47522,Sports,crowd,1
ny rangers,Team,nashville,swedish and finish,Sports,nationality,1
ny rangers,Team,nashville,both canadian,Sports,nationality,0
langley chief,Team,nashville,136,Sports,pick number,0
galatasaray s.k,Team,england,101,Sports,score,1
olga lugina,Athlete,france,6 - 4 3 - 6 6 - 3,Sports,score,1
elena pampoulova,Athlete,france,october 31 1993,Sports,date,1
north melbourne,Team,melbourne,104,Sports,score,1
cleveland cavaliers,Team,cleveland,dec 12 20562,Sports,crowd,1
cleveland cavaliers,Team,cleveland,20049,Sports,crowd,0
cleveland cavaliers,Team,cleveland,dec 6 20562,Sports,crowd,0
kevin durant,Athlete,oklahoma,47,Sports,score,1
collingwood,Team,melbourne,110,Sports,score,1
walt williams,Athlete,toronto,105,Sports,count,1
raptors,Team,toronto,9006,Sports,difference,1
charlotte bobcats,Team,charlotte,13747,Sports,crowd,1
golden state,Team,charlotte,13747,Sports,crowd,1
golden state,Team,charlotte,17347,Sports,crowd,0
george pyne,Athlete,boston,122,Sports,crowd,1
toshiba,Team,copenhagen,35,Sports,score,1
toshiba,Team,copenhagen,55,Sports,score,0
minnesota golden gophers,Team,madison,45000,Sports,crowd,1
minnesota golden gophers,Team,madison,45100,Sports,crowd,0
boston patriots,Team,boston,dec 13 37819,Sports,date,1
boston patriots,Team,boston,nov 29 37819,Sports,date,0
ottawa,Team,florida,11289,Sports,crowd,1
detroit,Team,florida,20066,Sports,crowd,1
toronto,Team,florida,18500,Sports,crowd,1
detroit,Team,florida,20066,Sports,crowd,0
san francisco 49ers,Team,detroit,78845,Sports,crowd,1
erwin huber,Athlete,great britain,1.70,Sports,height,0
dallas,Team,new orleans,=14472,Sports,crowd,1
dallas,Team,new orleans,<14472,Sports,crowd,0
geelong,Team,north melbourne,11121,Sports,crowd,1
carlton,Team,north melbourne,11121,Sports,crowd,0
coventry city,Team,manchester,44717,Sports,crowd,1
coventry city,Team,manchester,44705,Sports,crowd,0
coventry city,Team,manchester,44499,Sports,crowd,0
boston celtics,Team,atlanta,102,Sports,score,0
washington redskins,Team,new york,17402,Sports,crowd,1
washington,Team,new york,45929,Sports,crowd,0
footscray,Team,melbourne,17000,Sports,crowd,1
vfl,Tournament,melbourne,22000,Sports,crowd,0
colorado avalanche,Team,denver,18680,Sports,crowd,0
los angeles ram,Team,los angeles,70031,Sports,crowd,1
los angeles ram,Team,los angeles,68193,Sports,crowd,0
stevenage borough,Team,northsfleet,641,Sports,crowd,0
denver bronco,Team,kansas,76000,Sports,crowd,0
woman national rugby union,Team,spain,=122,Sports,count,1
woman national rugby union,Team,spain,>122,Sports,count,0
lebron james,Athlete,detroit,113,Sports,score,1
lebron james,Athlete,sacramento,20562,Sports,crowd,1
nottinghamshire,Team,durham,155,Sports,score,1
anelka,Athlete,liverpool,34000000>,Sports,difference,1
anelka,Athlete,liverpool,34000000<,Sports,difference,0
central washington university,Team,ellensburg,10400,Sports,crowd,1
university of puget sound,Team,washington,3000,Sports,difference,1
collingwood,Team,melbourne,147,Sports,score,1
st kilda,Team,melbourne,103,Sports,score,0
jordan fransoo,Athlete,saint paul,186,Sports,pick number,1
max mccormick,Athlete,saint paul,171,Sports,pick number,1
tim duncan,Athlete,san antonio,18797,Sports,crowd,0
demar derozan,Athlete,atlanta,115,Sports,count,1
collingwood,Team,melbourne,22546,Sports,crowd,1
boston patriots,Team,kansas city,12598,Sports,crowd,1
denver broncos,Team,oakland,50074,Sports,crowd,1
carlton,Team,melbourne,17552,Sports,crowd,0
rod marsh,Athlete,melbourne,148,Sports,count,1
rod marsh,Athlete,melbourne,147,Sports,count,0
footscray,Team,melbourne,20000,Sports,crowd,1
aly wagner,Athlete,united state,1000,Sports,count,0
mike cavan,Athlete,valdosta,623,Sports,record,1
valdosta state blazer,Team,valdosta,484,Sports,record,0
mark nelson,Athlete,valdosta,623,Sports,record,0
indiana pacers,Team,cleveland,19191,Sports,crowd,0
cleveland cavaliers,Team,cleveland,16010,Sports,crowd,0
david ling,Athlete,canada,179,Sports,pick number,1
new york rangers,Team,canada,157,Sports,pick number,0
eden black,Athlete,eastleigh,111,Sports,date,1
kjoc,Team,davenport,960,Sports,count,0
ohio buckeyes,Team,illinois,56174,Sports,crowd,1
rangers,Team,toronto,21113,Sports,crowd,1
red sox,Team,toronto,35302,Sports,crowd,1
angle rs,Team,toronto,21113,Sports,crowd,0
red devil ray,Team,toronto,35302,Sports,crowd,0
st kilda,Team,carlton,15000,Sports,crowd,1
cincinnati,Team,cleveland,55996,Sports,crowd,1
pittsburgh dolphins,Team,cleveland,58444,Sports,crowd,0
north melbourne,Team,south melbourne,104,Sports,crowd,1
san francisco 49ers,Team,san francisco,55988,Sports,crowd,1
san francisco 49ers,Team,st. louis,38064,Sports,crowd,1
san francisco 49ers,Team,san francisco,34064,Sports,crowd,0
los angeles,Team,san francisco,24319,Sports,crowd,0
washington redskins,Team,washington,54582,Sports,crowd,1
washington redskins,Team,washington,72641,Sports,crowd,1
columbus blue jackets,Team,columbus,14918,Sports,crowd,1
columbus blue jackets,Team,columbus,20273,Sports,crowd,0
chicago bulls,Team,cleveland,101,Sports,score,1
vancouver canucks,Team,vancouver,16150,Sports,crowd,1
vancouver canucks,Team,vancouver,3 - 1,Sports,score,0
washington redskins,Team,st. louis,35942,Sports,crowd,1
kim soo - nyung,Athlete,barcelona,114,Sports,score,0
houston oiler,Team,houston,14489,Sports,crowd,0
richard jefferson,Athlete,golden state,35,Sports,count,1
richard jefferson,Athlete,golden state,127,Sports,count,0
estonia,Team,istanbul,25000,Sports,crowd,1
cleveland browns,Team,akron,30751,Sports,crowd,0
lacrosse,Team,indiana,579,Sports,count,0
siw malmkvist,Athlete,sweden,105 - 0,Sports,score,1
siw malmkvist,Athlete,sweden,105 - 52,Sports,score,0
alexander artemev,Athlete,china,16000,Sports,score,0
elena pampoulova,Athlete,6 - 4,25000,Sports,score,0
tiger woodsis,Athlete,california,284,Sports,score,0
tennessee titans,Team,new york,77710,Sports,crowd,1
tennessee titans,Team,new york,68436,Sports,crowd,0
fitzroy,Team,melbourne,>1000,Sports,difference,0
tallangatta league,Tournament,victoria,>1000,Sports,count,1
tallangatta league,Tournament,beechworth,>1013,Sports,count,0
midlands rfu,Team,coventry,16588,Sports,difference,1
midlands rfu,Team,leicester,21000,Sports,difference,0
blue jays,Team,arlington,23849,Sports,crowd,1
blue jays,Team,arlington,50513,Sports,crowd,0
st. louis rams,Team,st. louis,65473,Sports,crowd,1
blue jays,Team,toronto,may 6,Sports,date,1
blue jays,Team,toronto,may 8,Sports,date,0
minnesota golden gophers,Athlete,minneapolis,63659,Sports,crowd,0
toronto blue jays,Team,toronto,highest 29126,Sports,crowd,1
toronto blue jays,Team,toronto,lowest 6532,Sports,crowd,1
toronto blue jays,Team,toronto,lowest 29126,Sports,crowd,0
toronto blue jays,Team,toronto,highest 6532,Sports,crowd,0
collingwood,Team,melbourne,5250,Sports,crowd,0
green bay packers,Team,milwaukee,60594,Sports,crowd,1
washington redskins,Team,washington,69542,Sports,crowd,1
washington redskins,Team,washington,69541,Sports,crowd,0
toronto raptors,Team,toronto,14196,Sports,crowd,1
cody miller,Athlete,las vegas,100,Sports,count,1
samantha pearson,Athlete,las vegas,100,Sports,count,1
edward kollar,Athlete,las vegas,100,Sports,count,1
oakland raiders,Team,oakland,45398,Sports,crowd,1
new prairie hs,Team,new carlisle,852,Sports,count,1
culver community,Team,indiana,287,Sports,count,0
denver nugget,Team,denver,10317,Sports,crowd,1
montreal canadiens,Team,montreal,19849,Sports,crowd,0
denver nugget,Team,dallas,104,Sports,score,1
boston celtic,Team,indiana,123,Sports,score,1
boston celtic,Team,indiana,122,Sports,score,1
boston celtic,Team,indiana,115,Sports,score,0
north melbourne,Team,melbourne,101,Sports,score,1
seattle supersonics,Team,seattle,16538,Sports,crowd,1
seattle supersonics,Team,seattle,16000,Sports,crowd,1
maryland terrapins,Team,maryland,475,Sports,difference,1
panther,Team,Ottawa,13567,Sports,crowd,1
ufc,Event,las vegas,6,Sports,count,0
manchester united f.c,Team,manchester,39939,Sports,crowd,0
doug sander,Athlete,usa,138,Sports,score,1
doug sander,Athlete,usa,140,Sports,score,0
toronto raptors,Team,toronto,15122,Sports,crowd,1
kyle okposo,Athlete,minnesota,185,Sports,height,1
detroit lions,Team,detroit,73896,Sports,crowd,0
ruggiero di san severino,Public Figure,italy,1180,Politics,Date,1
cleveland brown,Team,cleveland,81260,Sports,crowd,1
cleveland brown,Team,cleveland,69019,Sports,crowd,0
dockyard station,Team,uk,5088,Sports,crowd,1
toronto blue jays,Team,toronto,50484,Sports,crowd,1
toronto blue jays,Team,toronto,12397,Sports,crowd,1
toronto blue jays,Team,toronto,49484,Sports,crowd,0
toronto blue jays,Team,toronto,12332,Sports,crowd,0
bradford city,Team,bournemouth,8000,Sports,crowd,1
cleveland cavaliers,Team,cleveland,20562,Sports,crowd,1
oakland raiders,Team,buffalo,17027,Sports,crowd,0
st kilda,Team,melbourne,38104,Sports,crowd,1
chris paul,Athlete,new york,103,Sports,score,1
boston celtic,Team,miami,117,Sports,score,1
boston celtic,Team,washington,117,Sports,score,0
maurice williams,Athlete,cleveland,109,Sports,score,1
tiger wood,Athlete,usa,1224000,Sports,money,1
white sox,Team,tampa bay,8774,Sports,crowd,1
greg norman,Athlete,england,287,Sports,score,0
jack roberts,Team,atlanta,245,Sports,pick number,0
wayne mcduffie,Athlete,cleveland,455,Sports,pick number,1
wayne mcduffie,Athlete,cleveland,455,Sports,pick number,0
washington redskins,Team,chicago,9174,Sports,crowd,1
washington redskins,Team,chicago,30000,Sports,crowd,0
charlotte bobcats,Team,charlotte,15080,Sports,crowd,1
boston bruins,Team,philadelphia,19457,Sports,crowd,0
jeff weaver,Athlete,detroit,50000,Sports,crowd,0
ffc turbine potsdam,Team,berlin,20000,Sports,crowd,1
brian mitchell,Athlete,southwestern louisiana,=130,Sports,score,1
brian mitchell,Athlete,southwestern louisiana,>130,Sports,score,0
boston celtic,Team,boston,18624,Sports,crowd,1
indiana pacers,Team,charlotte,119,Sports,count,0
indiana pacers,Team,indiana,2136,Sports,crowd,0
lyn lott,Athlete,usa,284,Sports,score,1
laurynas grigelis,Athlete,lithuania,414,Sports,rank,1
wigan warriors,Team,widnes,12842,Sports,crowd,0
montreal canadiens,Team,montreal,20066,Sports,crowd,0
gerard van velde,Athlete,salt lake city,1:07.18,Sports,score,0
wes swinson,Athlete,edmonton,253,Sports,pick number,0
colts,Team,baltimore,51387,Sports,crowd,1
diego duarte delgado,Athlete,beijing,103,Sports,score,0
roger dahi,Athlete,beijing,111,Sports,score,0
big ten,Event,illionois,278,Sports,count,1
roxana díaz,Athlete,beijing,177,Sports,score,1
atlanta falcons,Team,atlanta,70097,Sports,crowd,0
henry picard,Athlete,augusta,294,Sports,score,1
gillis wilson,Athlete,charlotte,147,Sports,pick number,0
toronto blue jay,Team,toronto,40000,Sports,crowd,1
toronto blue jay,Team,toronto,50000,Sports,crowd,0
new york giants,Team,chicago,20000,Sports,crowd,1
winamac community school,Organization,indiana,264,Demographic,count,0
larry wood,Athlete,buffalo,145,Sports,pick number,0
padre,Team,montreal,31139,Sports,crowd,1
padre,Team,montreal,31239,Sports,crowd,0
toronto blue jays,Team,toronto,10858,Sports,crowd,1
toronto blue jays,Team,toronto,29709,Sports,crowd,0
los angeles rams,Team,anaheim,60000,Sports,crowd,0
conklin,Team,chicago,20066,Sports,crowd,1
conklin,Team,chicago,16339,Sports,crowd,0
laurynas grigelis,Athlete,lithuania,183,Sports,rank,1
carolina,Team,uniondale,16234,Sports,crowd,1
philadelphia eagles,Team,sun devil stadium,44723,Sports,crowd,1
philadelphia eagles,Team,edward jones dome,44723,Sports,crowd,0
gävle,Team,ottawa,139,Sports,pick number,0
ottawa senators,Team,sweeden,109,Sports,pick number,0
maksim krivosheev,Athlete,novosibirsk,157,Sports,pick number,0
blue jays,Team,toronto,june 22,Sports,date,1
blue jays,Team,toronto,17086,Sports,crowd,1
blue jays,Team,toronto,49908,Sports,date,0
blue jays,Team,toronto,17701,Sports,crowd,0
fandok,Team,spartak,11200,Sports,count,0
detroit pistons,Team,michigan,116,Sports,score,1
yankee,Team,toronto,49902,Sports,crowd,1
yankee,Team,toronto,499122,Sports,crowd,0
beryl bailey,Athlete,united kingdom,1190,Sports,count,1
barbara watt,Athlete,united kingdom,139,Sports,count,1
dagmar lerchova,Athlete,czechoslovakia,1214,Sports,count,1
beryl bailey,Athlete,united kingdom,1000,Sports,count,0
dagmar lerchova,Athlete,czechoslovakia,1200,Sports,count,0
fc 105 libreville,Team,DR Congo,1-1,Sports,score,1
san francisco 49ers,Team,illinois,31993,Sports,crowd,1
san francisco 49ers,Team,illinois,30000,Sports,crowd,0
yelena isinbayeva,Athlete,beijing,445,Sports,height,1
vanessa boslak,Athlete,beijing,445,Sports,height,1
collingwood,Team,melbourne,36730,Sports,crowd,1
richmond,Athlete,melbourne,36730,Sports,crowd,0
al jefferson,Athlete,utah,15625,Sports,crowd,1
charlotte,Team,utah,105,Sports,score,0
indianapolis colts,Team,indianapolis,47372,Sports,crowd,1
maria cecilia,Athlete,brazil,200,Sports,score,0
blue jays,Team,toronto,13839,Sports,crowd,1
blue jays,Team,toronto,24001,Sports,crowd,1
blue jays,Team,toronto,37354,Sports,crowd,1
blue jays,Team,toronto,37354,Sports,crowd,0
kansas city chiefs,Team,kansas city,361,Sports,record,1
