claim_text,subject_entity,subject_type,subject_location,value,claim_domain,is_factual
"during the 1983 - liverpool football club season , luton town match at venue a (away) be 1 of 5 match with attendance less than 20000 in attendance",liverpool f.c,Team,luton,20000,Sports,1
"during the 1983 - liverpool football club season , birmingham city match at venue a (away) be 1 of 5 match with above 20000 in attendance",liverpool f.c,Team,birmingham city,20000,Sports,0
"when the loss be lohse (12 - 11) , game attendance be 32807",lohse,Athlete,chicago,32807,Sports,1
when the record be 10 - 14 the location and attendance of the game be conseco fieldhouse 11888,bobcats,Team,charlotte,11888,Sports,1
carlton beat north melbourne by 123 - 96 in the 1973 vfl season,carlton,Team,north melbourne,123,Sports,1
essendon beat south melbourne by 146 - 109 in the 1973 vfl season,essendon,Team,south melbourne,146,Sports,1
essendon lose to south melbourne 146 - 109 in the 1973 vfl season,essendon,Team,south melbourne,146,Sports,0
"in 1938 , fc schalke 04 win the championship in berlin with a 2 - 0 result and 100000 fan in attendance",fc schalke 04,Team,berlin,100000,Sports,0
ranger be the opponent when there be 38150 crowd attendance,blue jays,Team,toronto,38150,Sports,1
yankee be the opponent when the attendance be 38150,yankee,Athlete,toronto,38150,Sports,0
visit team oregon play tennessee with an crowd attendance of 66584,oregon,Team,tennessee,66584,Sports,0
nick gillis have an overall of 203 in round 8,nick gillis,Athlete,ottawa,203,Sports,1
"in week 8 , the attendance at the san francisco 49ers be 63672",the san francisco 49ers,Team,cleveland,63672,Sports,1
"at the chicago stadium , the score be 90 - 102",atlanta hawks,Team,chicago,102,Sports,1
billy corbett be the only player draft to the brown with an overall position of less than 100,billy corbett,Athlete,cleveland,100,Sports,1
billy corbett be 1 of 2 player draft to the brown with an overall position of less than 100,billy corbett,Athlete,cleveland,100,Sports,0
several game be quite low in attendance : 7 have less than 20000,blue jays,Team,toronto,20000,Sports,1
several game be quite low in attendance : 10 have less than 20000,blue jays,Team,toronto,20000,Sports,0
when the attendance be 55814 the result be l 20 - 7 with opponent detroit lion and when the attendance be 40525 the result be w 31 - 0 with opponent chicago cardinal,detroit lion,Team,chicago,55814,Sports,1
"in a game on november 24 , 1957 the cleveland brown play the los angeles ram in front of a crowd of 65407 crowd and they win by a score of 45 - 31",the cleveland brown,Team,cleveland,65407,Sports,1
"in a game on november 24 , 1957 the cleveland brown play the chicago cardinal in front of a crowd of 65407 crowd and they win by a score of 45 - 31",the cleveland brown,Team,chicago,65407,Sports,0
"with 44592 in attendance , the week 6 game be play against the seattle seahawks",the seattle seahawks,Team,san francisco,44592,Sports,1
"los angeles ram be the opponent in the game in week 6 with more than 42 , 920 in attendance",49ers,Team,los angeles ram,920,Sports,0
john shipley win the prize of 200000 in the european poker classic event hold in london during 9 - 10 october 2004,john shipley,Athlete,london,200000,Sports,1
"ram vaswani win the prize of 93000 in the 2004 irish winter tournament hold in the city of dublin on october 23 , 2004",ram vaswani,Athlete,dublin,93000,Sports,1
the blue jay go 3 game under 500 in july of 1989,blue jay,Team,toronto,500,Sports,0
phillips arena 22000 be the location and attendance for the team from detroit,chicago bulls,Team,detroit,22000,Sports,0
darin sceviour play right wing for the lethbridge bronco (whl) and be pick 101 by nhl team chicago black hawk,darin sceviour,Athlete,chicago,101,Sports,1
"in the november 11th game against the boston patriot , the attendance be more than 20000 higher than the game at frank youell field",denver broncos,Team,boston,20000,Sports,1
"in the november 11 game against the new york titan , the attendance be more than 20000 higher than the game at frank youell field",titan,Team,new york,20000,Sports,0
the total number of tackle between all player of the 1987 washington commando be 188.5,commando,Team,washington,188,Sports,1
the largest gap between win and lose score of game play on that day be 111. (the game between essendon and south melbourne),essendon,Team,south melbourne,111,Sports,1
"fourth rank harri olli of finland make the longest first jump , of 130.5 m",harri olli,Athlete,finland,130,Sports,1
"melbourne v richmod , footscray vs north melbourne , and essendon vs carlton all have an attendance greater than 20000 and less than 30000",richmod,Team,melbourne,20000,Sports,1
"melbourne v richmond , footscray vs north melbourne , and essendon vs carlton all have attendance before 20000",melbourne,Team,richmond,20000,Sports,0
the carolina panther make 3 pick under 100,carolina panthers,Team,carolina,100,Sports,1
"on august 25 , 1963 , the cleveland brown vs san francisco 49ers have 28335 in attendance",browns,Team,cleveland,28335,Sports,1
richmond versus footscray at the mcg venue have the highest crowd capacity which be 10680 on 19 august 1979,footscray,Athlete,richmond,10680,Sports,0
eric landry be pick 193 from canada,eric landry,Athlete,canada,193,Sports,1
ernie el from south africa score 276 total point,ernie el,Athlete,south africa,276,Sports,0
mhc plastika nitra (slovakia) have 239 overall,mhc plastika,Team,slovakia,239,Sports,0
the average attendance at each game during november of the 2007 - 08 florida panther season be 14500,panther,Team,florida,14500,Sports,1
the location attendance for the game against la clipper be time warner cable arena 11349,la clipper,Team,toronto,11349,Sports,0
north melbourne home team record an home score of 11.15 (81) while south melbourne record an home score of 15.12 (102),north melbourne,Team,south melbourne,102,Sports,1
the game be hold on september 25 when the record be 53 - 104,blue jays,Team,toronto,104,Sports,1
the score of the game that have a record of 52 - 103 be 1 - 3,blue jays,Team,toronto,103,Sports,0
the game when the record be 53 - 104 be against the yankee,yankee,Team,toronto,104,Sports,0
"the winner from england in 1968 be peter butler , who have a score of 281",peter butler,Athlete,england,281,Sports,1
nick collison (17) have the high rebound when the score be l 84 - 102 (ot),nick collison,Athlete,seattle,102,Sports,1
earl watson (8) have the high assist when the location attendance be toyota center 18370,earl watson,Athlete,seattle,18370,Sports,1
kevin durant (37) have high point when the location attendance be american airline center 20228,kevin durant,Athlete,seattle,20228,Sports,0
the game with 13617 in attendance have a score of 6 - 2,blue jays,Team,toronto,13617,Sports,1
"when the score be 6 - 3 , the attendance be 13617",blue jays,Team,toronto,13617,Sports,0
"on april 23 , the score be 8 - 1 with an attendance of 20863",blue jays,Team,toronto,20863,Sports,0
the only player from czechoslovakia be pick number 143 and play centre,nhl,Team,czechoslovakia,143,Sports,1
128 be a new york islander pick number,nhl,Team,new york,128,Sports,1
the nhl team new york islander have a pick number of 128,nhl,Team,new york islander,128,Sports,1
pick number 136 come from the nhl team of detroit red wing canada,nhl,Team,detroit,136,Sports,0
40801 be the attendance during week 1 with new york giant as the opponent,st.,Team,new york,40801,Sports,1
the attendance number that have the opponent of the cleveland brown be 40801,brown,Team,cleveland,40801,Sports,0
de smyth of ireland win 11000,de smyth,Team,ireland,11000,Sports,1
de smyth from ireland have more than 11000,de smyth,Team,ireland,11000,Sports,0
brandon coutu be 207 pick point above lawrence jackson,brandon coutu,Athlete,seattle,207,Sports,0
the game hold at arrowhead stadium have 68246 crowd attendance,broncos,Team,denver,68246,Sports,1
"in week 8 on november 14 , 1954 , the attendance be 19388",redskins,Team,washington,19388,Sports,1
"when lincoln city be the opponent with h / a of a , the attendance be 10000",manchester united f.c,Team,lincoln city,10000,Sports,0
"larry nelson , from the united state , win 24000",larry nelson,Athlete,the united state,24000,Sports,1
in tie no 6 swansea city be the home team against fulham with a score of 1 - 1 and attendance of 16573,fulham,Team,swansea city,16573,Sports,1
the highest attendance be 57454 when the home team be everton and the lowest attendance be 12316 when the home team be coventry city,everton,Team,coventry city,57454,Sports,0
"in tie no 3 , swansea city be the home team against fulham with a score of 0 - 1 and attendance of 16360",fulham,Team,swansea city,16360,Sports,0
university of florida rank highest of all university in florida in kiplinger 's top 100 at 2nd overall in the united state,university of florida,Team,florida,100,Sports,1
the player from arkansas state be draft overall number 242,atlanta falcons,Team,arkansas state,242,Sports,1
in the south london derby there a total of 110 charlton goal,charlton,Athlete,london,110,Sports,1
sergiy stakhovsky reach his first challenger single final in a major tournament in malaysia in his final tournament of 2007 to finish the year rank 199 in single,sergiy stakhovsky,Athlete,malaysia,199,Sports,1
marlin have an attendance of 52484 while play against olsen on augest 9,marlin,Team,new york,52484,Sports,1
the game on october 12th between winnipeg and chicago be the game with the lowest attendance with 13804 attendee,vancouver canucks,Team,winnipeg,13804,Sports,0
the highest attendance be 20203 in march for 2007 to 2008 knicks,knicks,Team,new york,20203,Sports,1
from 2007 to 2008 the knicks win all their game in the month of march except for 2 in front a crowd of 30000 and 40000 crowd,knicks,Team,new york,30000,Sports,0
the game with attendance of 63336 be the three river stadium,seahawks,Team,seattle,63336,Sports,0
the angel with a record of 39 - 44 have the lowest attendance at 30584,angel,Team,toronto,30584,Sports,1
the opponent for the game with an attendance of 30584 be yankee,yankee,Athlete,toronto,30584,Sports,0
the largest margin of victory be 104 by scotland over italy,scotland,Team,italy,104,Sports,1
the adelaide oval venue have a result of eng by inns&225 run,eng,Team,australia,225,Sports,0
the school locate in county 68 randolph have 280 student and play ihsaa football class a,ihsaa,Team,indiana,280,Sports,1
68 union be the county that have a school with less than 301 student and play ihsaa class a football,68 union,Team,indiana,301,Sports,0
18630 crowd attend the 4 - 2 los angeles game versus vancouver,los angeles,Team,los angeles,18630,Sports,1
the game play with opponent as manchester city with h / a of a and a result f - a of 2 - 0 have an attendance of 30000 crowd,manchester united f.c,Team,manchester city,30000,Sports,1
manchester city have have an attendance over 30000,manchester united f.c,Team,manchester city,30000,Sports,0
the celtic win against washington in game 79 with a score of 104 - 88,celtic,Team,washington,104,Sports,1
"in game 80 , when the celtic play washington , the score be w 104 - 88 (ot)",celtic,Team,washington,104,Sports,0
the nfl 's club round for the new york jet be round 6 and pick 166,nfl,Team,new york,166,Sports,1
"luke fisher , who play tight end , be the round 6 , pick number 210 , to go to the minnesota viking",luke fisher,Athlete,minnesota,210,Sports,0
the opponent with 81.0 rush yard and 503 passing yard be indiana,devin gardner,Athlete,indiana,503,Sports,1
northwestern be the opponenent when there be less than 115 rushing yard,devin gardner,Athlete,northwestern,115,Sports,0
"race name trenton 300 be hold in trenton , new jersey",usac,Team,trenton,300,Sports,1
"the trenton 300 be the only race that take place in trenton , new jersey",trenton,Team,trenton,300,Sports,0
the score in game 51 be w 110 - 90 (ot),raptors,Team,toronto,110,Sports,0
the game at detroit lion have the lowest attendance of any game with 6044,detroit lion,Team,washington,6044,Sports,1
the game at pittsburg steelers have the highest attendance of any game with with 37764,pittsburg steelers,Team,washington,37764,Sports,1
the game at detroit lion have the highest attendance of any game with 6044,detroit lion,Team,washington,6044,Sports,0
the game at pittsburgh steelers have the lowest attendance of all game with 37764,pittsburgh steelers,Team,washington,37764,Sports,0
"when weekes win the decision in the new jersey v buffalo game , there be 17565 in attendance",weekes,Team,new jersey devils,17565,Sports,0
game number 75 be play at the amway center with an attendance of 18969,bobcats,Team,charlotte,18969,Sports,1
miami lay at amway center with an attendance of 18969,bobcats,Team,miami,18969,Sports,0
the october 1938 attendance be 8012,rams,Team,cleveland,8012,Sports,0
only 3 of the 25 pick pick 157 - 182 of the 1994 nhl entry draft be from the united state,nhl,Team,the united state,157,Sports,1
only 3 of the 25 pick pick 157 - 182 of the 1994 nhl entry draft be from canada,nhl,Team,canada,157,Sports,0
40022 be the lowest attendance during week 11,49ers,Team,san francisco,40022,Sports,1
"during week 4 , there be 57814 spectator",49ers,Team,san francisco,57814,Sports,1
the lowest attendance for week 12 be 40022,49ers,Team,san francisco,40022,Sports,0
there be 58814 spectator on week 4,49ers,Team,san francisco,58814,Sports,0
"on the 3rd of march in 2013 in glasgow , the 4 x 400 m relay have a record of 3:27.56",european,Team,glasgow,400,Sports,0
"2 player from ohio state be take with pick more than 300 and they be gary williams , a wide receiver , and joe lukens , a guard",gary williams,Athlete,ohio state,300,Sports,1
bucky scribner be pick number 299 for the new york jet,bucky scribner,Athlete,new york,299,Sports,0
tim kearse be pick number 298 for the minnesota viking and he come from clemson,tim kearse,Athlete,clemson,298,Sports,0
"pick number 300 go to the atlanta falcon , come from north texas state",the atlanta falcon,Team,north texas,300,Sports,0
"the attendance at the seattle seahawks week 1 game on spetember 3 , 1978 be 55778",seattle seahawks,Team,san diego,55778,Sports,1
"the game hold during week 1 , that have an attendance greater than 50637 start after september 3 , 1978",chargers,Team,san diego,50637,Sports,0
when the result be w 26 - 0 the attendance be 60207 with the tv time be cbs 1:00 pm,49ers,Team,san francisco,60207,Sports,1
the highest attendance be 66042 in week 3 while the lowest be 43128 in week 13,49ers,Team,san francisco,66042,Sports,1
when the result be w26 - 0 the attendance be 43128 with the tv time be cbs 1:00 pm,49ers,Team,san francisco,43128,Sports,0
the lowest attendance be 66042 in week 3 while the lowest be 43128 in week 13,49ers,Team,san francisco,66042,Sports,0
when the attendance be 59914 the opponent be the chicago bear with a result of w 45 - 3,san francisco 49ers,Team,chicago,59914,Sports,0
the adelaide 36ers beat the townsville crocodiles 100 - 79,the adelaide 36ers,Team,townsville,100,Sports,1
grizzlies score over 100 point 7 time during the season,grizzlies,Team,memphis,100,Sports,1
supersonics score over 100 point 7 time during the season,supersonics,Team,memphis,100,Sports,0
the highest attendance at a game against the chicago bear be 48204,chicago,Team,los angeles,48204,Sports,1
"when the opponent be the chicago bear , the attendance be always greater than 49000",rams,Team,chicago,49000,Sports,0
attendance on week 17 be 63794 against the cincinnati bengal,cincinnati,Team,detroit,63794,Sports,0
indiana win 115 - 108 (ot) in game 15,charlotte bobcats,Team,indiana,115,Sports,1
footscray home score be 12.12 (84) while south melboure 's away score be 17.18 (120),footscray,Team,south melboure 's,120,Sports,1
there be 16 club in thailand who score 221 point out of a possible 500,afc champions league,Team,thailand,221,Sports,1
china pr have 16 club and score a total of 431 point out of a possible 500,afc champions league,Team,china,431,Sports,1
2 time the los angeles lakers win with score less than 100,the los angeles,Team,los angeles,100,Sports,1
the los angeles lakers didn't win game in which they score less than 100,the los angeles lakers,Team,los angeles,100,Sports,0
there be 25287 crowd at the stadium during the week - 7 game versus the detroit lion,baltimore colts,Team,detroit,25287,Sports,1
on july 15 the opponent who play be the oriole and the attendance be 43192,oriole,Team,toronto,43192,Sports,1
the game with the highest attendance of 35540 wasn't in december,redskins,Team,washington,35540,Sports,0
collingwood and carlton have the highest home team score of 23.16 (154),collingwood,Team,carlton,154,Sports,1
collingwood and carlton have the highest away team score of 23.16 (154),collingwood,Team,carlton,154,Sports,0
283 crowd attend the home team harrogate town and away team eastwood town game,harrogate,Team,eastwood,283,Sports,1
the game with the highest combined score of both team be the game between the townsville crocodile and the wollongong hawk with a total of 234,nbl,Team,townsville,234,Sports,1
the game attendance on august 2 be 26473,blue jays,Team,toronto,26473,Sports,1
the score of the game that have a loss of cerutti (0 - 1) be 4 - 2 (13) which attendance be greater than 30542,cerutti,Athlete,toronto,30542,Sports,0
the smallest attendance be see on september 18 with 17598,blue jays,Team,toronto,17598,Sports,0
oliver building with a height of 485 / 148 ft / m and 44 floor be locate at 535 smithfield street,oliver,Team,pittsburgh,485,Sports,0
"the overall score for vernon crawford , a florida state player , be 159",vernon crawford,Athlete,florida,159,Sports,1
"when vernon crawford , a florida state player be draft , the sum of all the round highly 159",vernon crawford,Athlete,florida,159,Sports,0
murray armstrong have 215 loss as a coach,murray armstrong,Athlete,denver,215,Sports,1
"coach george gwozdecky have 311 win , 174 loss and 7 tie",george gwozdecky,Athlete,denver,311,Sports,0
murray armstrong be the coach who have 174 loss and 14 tie,murray armstrong,Athlete,denver,174,Sports,0
the game with a final score of l 36 - 1 have an attendance of 30855,argonauts,Team,toronto,30855,Sports,1
"the lowest attendance be 17000 at exhibition stadium , and take place on october 24",argonauts,Team,toronto,17000,Sports,0
the lowest attendance for any brewer game in may of 2006 be 12258 on may 1 against the astros,astros,Team,milwaukee,12258,Sports,1
the highest attendance for any brewer game in may 2006 be 12664 on may 2 against the astros,astros,Team,milwaukee,12664,Sports,0
the highest attendance for any brewer game in may 2006 be 12664 on may 2 against the astros,astros,Team,milwaukee,12664,Sports,0
the highest combined total of point in 1 game be 205,celtics,Team,boston,205,Sports,1
the game on october 8 have an attendance of 51783,blue jays,Team,toronto,51783,Sports,1
"in game 11 , the sacramento king be the opponent with a score of 115 - 105",boston celtics,Team,sacramento,115,Sports,1
the score of w 105 - 98 be at the targer center,celtics,Team,boston,105,Sports,0
"on january 6 , new york beat cleveland (home) 103 - 93",cleveland,Team,new york,103,Sports,1
20562 crowd watch cleveland (home) lose to phoenix in gund arena on january 30,gund,Team,cleveland,20562,Sports,1
"on january 12 , cleveland beat phoenix 107 - 96",cleveland cavaliers,Team,cleveland,107,Sports,1
"on january 27 , 20562 crowd watch portland beat cleveland 87 - 77 in gund arena",portland,Team,cleveland,20562,Sports,1
"on january 30 for a cleveland home , the attendance be gund arena 20562",gund,Team,cleveland,20562,Sports,1
guernsey 211 / 8 (49.3 overs) win when hong kong be the hosting nation,guernsey,Athlete,hong kong,211,Sports,0
the winner of the division whose final venue be kowloon cricket club be guernsey 211 / 8 (49.3 overs),kowloon cricket club,Team,guernsey,211,Sports,0
there be 217 rush yard when the opponent be indiana and the player be denard robinson,denard robinson,Athlete,indiana,217,Sports,1
there be 220 rush yard when the opponent indiana and the player be denard robinson,denard robinson,Athlete,indiana,220,Sports,0
"the game that take place with the name derartu tulu be in 1992 barcelona , 2000 sydney and 2004 athens in the women 's 10000 m",derartu tulu,Athlete,barcelona,10000,Sports,1
"michigan have the highest attendance , with 55223 more attendee at their home game than the second highest - attendance game (west virginia)",michigan,Team,west virginia,55223,Sports,1
"michigan have the highest attendance , with 72998 more attendee at their home game than the second highest - attendance game (west virginia)",michigan,Team,west virginia,72998,Sports,0
"in the 2009 nhl entry draft , 2 us high school player be choose between pick 182 and 211",nhl,Team,us,182,Sports,1
"in the 2009 nhl entry draft , 4 us high school player be choose between pick 182 and 211",nhl,Team,us,182,Sports,0
sloux city musketeer have a pick of more than 148,nhl,Team,sloux city,148,Sports,0
"on may 19 , san antonio win the last game of a 7 game series 108 to 105 in overtime to win the series 4 - 3",portland trail blazers,Team,san antonio,108,Sports,1
game attendance be always over 20000,argonauts,Team,toronto,20000,Sports,0
"with a score of w 106 - 81 , vs philadelphia be hold at the omni",omni,Team,philadelphia,106,Sports,1
dale coyne racing team have a 1st qualifying time of 1:00.081 and a 2nd qualifying time of 59.140,dale coyne,Team,cleveland,140,Sports,1
san diego charger be the opponent for the game with 37845 crowd attendance on week 14,houston oilers,Team,san diego,37845,Sports,0
the highest attendance of 19875 crowd take place in detroit,vancouver canucks,Team,detroit,19875,Sports,1
the lowest attendance amount of 9125 take place in new jersey,vancouver canucks,Team,new jersey,9125,Sports,1
the second highest attendance of 19875 crowd take place in detroit,vancouver canucks,Team,detroit,19875,Sports,0
the highest attendance of 9125 take place in new jersey,vancouver canucks,Team,new jersey,9125,Sports,0
the highest attendance for a game the texan 's play at reliant stadium be 73506,texan,Team,houston,73506,Sports,0
there be 1089 more crowd attendance at game 14 than at game 15,49ers,Team,san francisco,1089,Sports,1
marcus jackson have the highest overall of 321 and play defensive end position,marcus jackson,Athlete,cleveland,321,Sports,1
ron crew have the highest overall of 321 and play center position,ron crew,Team,cleveland,321,Sports,0
"when sam snead pay in the game in the united state , the sum of the money be more than 450",sam snead,Athlete,the united state,450,Sports,0
"when the round be less than 24 , and when the college be north carolina state , then the overall sum be 259",washington redskins,Team,north carolina state,259,Sports,1
green bay packer play with more than 51901 attendance and result in t 13 - 13,green bay,Team,detroit,51901,Sports,1
green bay packer play with less than 51901 attendance and result in t 13 - 13,green bay,Team,detroit,51901,Sports,0
"both chris brust , pick number 131 in round 6 , and jeb barlow , pick number 153 in round 7 , be from north carolina",chris brust,Athlete,north carolina,131,Sports,1
jeb barlow pick 131 be pick in the 6th round from north carolina and chris brust pick 153 in round 7 be also from north carolina,jeb barlow,Athlete,north carolina,131,Sports,0
matt butcher play for the chilliwack chief (bchl) with a reg gp of 374 and alexandre vincent play for hc dukla trenčín (slovak),matt butcher,Athlete,bchl,374,Sports,0
when the reg gp be 6 the player be kris fredheim and when the reg gp be 374 the player be matt butcher with mario be from hc dukla trenčín (slovak) and mason from camrose kodiak (ajhl),kris fredheim,Athlete,hc,374,Sports,0
38642 fan attend the game against the chicago bear,cincinnati,Team,chicago,38642,Sports,1
the collingwood versus melbourne game draw over 42000 spectator in the 1948 vfl season,collingwood,Team,melbourne,42000,Sports,1
"in the 1948 vfl season , the collingwood v melbourne game have over 42 , 5500 fan in attendance",vfl,Team,melbourne,5500,Sports,0
"club huracán , banfield have 132 less match than club estudiantes , huracán do",club estudiantes,Team,huracán,132,Sports,1
"club huracán , banfield have 132 more match than club estudiantes , huracán do",club estudiantes,Team,huracán,132,Sports,0
the largest crowd be usually larger than 25090 when essendon / collingwood / carlton / melbourne / north melbourne / richmond play,essendon / collingwood,Team,carlton,25090,Sports,0
the highest listed attendance for 1 game be 53067,blue jays,Team,toronto,53067,Sports,1
the highest listed attendance for 1 game be 40648,blue jays,Team,toronto,40648,Sports,0
250 crowd attend the worthings home game against cambridge city,worthings,Team,cambridge city,250,Sports,1
"spartak , mogilev have a capacity of 11200",spartak,Team,mogilev,11200,Sports,1
there be 140 pound difference between the heaviest and lightest redskin player,redskin,Team,washington,140,Sports,1
