subject_entity,subject_type,subject_location,value,claim_domain,is_factual
blue jays,Team,toronto,13857,Sports,1
N/A,Team,N/A,43201,Sports,0
koch,Athlete,Not mentioned in claim text,32029,Sports,0
david graham,Athlete,australia,282,Sports,1
lee trevino,Athlete,united states,284,Sports,0
trenton speedway,Track,new jersey,150,Sports,0
andriy serdinov,Athlete,ukraine,100,Sports,0
US swimmer,Country,france,100,Sports,0
liverpool f.c,Team,luton,20000,Sports,1
liverpool f.c,Team,liverpool,20000,Sports,0
lohse,Athlete,chicago,32807,Sports,1
bobcats,Team,charlotte,11888,Sports,1
carlton,Team,north melbourne,123,Sports,1
essendon,Team,south melbourne,146,Sports,1
essendon,Team,melbourne,109,Sports,0
fc schalke 04,Team,berlin,94000,Sports,0
blue jays,Team,toronto,38150,Sports,1
yankee,Team,new york,38150,Sports,0
oregon,Team,oregon,66584,Sports,0
nick gillis,Athlete,ottawa,203,Sports,1
the san francisco 49ers,Team,cleveland,63672,Sports,1
atlanta hawks,Team,chicago,102,Sports,1
billy corbett,Athlete,cleveland,100,Sports,1
billy corbett,Athlete,pittsburgh,100,Sports,0
blue jays,Team,toronto,20000,Sports,1
None,Team,None,20000,Sports,0
detroit lion,Team,chicago,55814,Sports,1
the cleveland brown,Team,cleveland,65407,Sports,1
the cleveland brown,Team,chicago,23600,Sports,0
the seattle seahawks,Team,san francisco,44592,Sports,1
49ers,Team,los angeles,42920,Sports,0
john shipley,Athlete,london,200000,Sports,1
ram vaswani,Athlete,dublin,93000,Sports,1
blue jay,Team,toronto,3,Sports,0
detroit pistons,Team,chicago,22000,Sports,0
darin sceviour,Athlete,chicago,101,Sports,1
denver broncos,Team,boston,20000,Sports,1
oakland,Team,oakland,20000,Sports,0
commando,Team,washington,188,Sports,1
essendon,Team,south melbourne,111,Sports,1
harri olli,Athlete,finland,130,Sports,1
richmod,Team,melbourne,20000,Sports,1
melbourne,Team,richmond,typically much higher than 20000,Sports,0
carolina panthers,Team,carolina,100,Sports,1
browns,Team,cleveland,28335,Sports,1
footscray,Team,melbourne,unknown (but much higher),Sports,0
eric landry,Athlete,canada,193,Sports,1
ernie els,Athlete,south africa,276,Sports,0
mhc plastika nitra,Team,slovakia,239,Sports,0
panther,Team,florida,14500,Sports,1
la clipper,Team,charlotte,11349,Sports,0
north melbourne,Team,south melbourne,102,Sports,1
blue jays,Team,toronto,104,Sports,1
the game,Game,not specified,1,Sports,0
yankee,Team,new york,104,Sports,0
peter butler,Athlete,england,281,Sports,1
nick collison,Athlete,seattle,102,Sports,1
earl watson,Athlete,seattle,18370,Sports,1
kevin durant,Athlete,dallas,37,Sports,0
blue jays,Team,toronto,13617,Sports,1
N/A,Team,N/A,13617,Sports,0
not mentioned in claim text,Team,not mentioned in claim text,20863,Sports,0
nhl,Team,czechoslovakia,143,Sports,1
nhl,Team,new york,128,Sports,1
nhl,Team,new york islander,128,Sports,1
detroit red wing,League,united states,136,Sports,0
st.,Team,new york,40801,Sports,1
unnamed opponent team,Team,cleveland,40801,Sports,0
de smyth,Team,ireland,11000,Sports,1
de smyth,Athlete,ireland,11000,Sports,0
brandon coutu,Athlete,,207,Sports,0
broncos,Team,denver,68246,Sports,1
redskins,Team,washington,19388,Sports,1
,Team,,10000,Sports,0
larry nelson,Athlete,the united state,24000,Sports,1
fulham,Team,swansea city,16573,Sports,1
everton,Team,liverpool,57454,Sports,0
swansea city,Team,swansea city,16360,Sports,0
university of florida,Team,florida,100,Sports,1
atlanta falcons,Team,arkansas state,242,Sports,1
charlton,Athlete,london,110,Sports,1
sergiy stakhovsky,Athlete,malaysia,199,Sports,1
marlin,Team,new york,52484,Sports,1
winnipeg,Team,winnipeg,13804,Sports,0
knicks,Team,new york,20203,Sports,1
knicks,Team,multiple locations,30000,Sports,0
three river stadium,Stadium,pittsburgh,63336,Sports,0
angel,Team,toronto,30584,Sports,1
yankee,Team,new york,30584,Sports,0
scotland,Team,italy,104,Sports,1
eng,Team,england,225,Sports,0
ihsaa,Team,indiana,280,Sports,1
68 union,County,indiana,301,Sports,0
los angeles,Team,los angeles,18630,Sports,1
manchester united f.c,Team,manchester city,30000,Sports,1
manchester city,Team,manchester,30000,Sports,0
celtic,Team,washington,104,Sports,1
celtic,Team,boston,104,Sports,0
nfl,Team,new york,166,Sports,1
luke fisher,Athlete,dallas cowboys,161,Sports,0
devin gardner,Athlete,indiana,503,Sports,1
northwestern,Team,michigan,115,Sports,0
usac,Team,trenton,300,Sports,1
trenton,Event,trenton,300,Sports,0
,Team,,110,Sports,0
detroit lion,Team,washington,6044,Sports,1
pittsburg steelers,Team,washington,37764,Sports,1
detroit lion,Team,detroit,much higher than 6044,Sports,0
pittsburgh steelers,Team,pittsburgh,lower than 37764,Sports,0
weekes,Athlete,New Jersey,17565,Sports,0
bobcats,Team,charlotte,18969,Sports,1
miami,Team,Orlando,18969,Sports,0
rams,Team,cleveland,8000,Sports,0
nhl,Team,the united state,157,Sports,1
nhl,League,united states,3,Sports,0
49ers,Team,san francisco,40022,Sports,1
49ers,Team,san francisco,57814,Sports,1
Not specified in claim text,Team,Not specified in claim text,40022,Sports,0
Not specified in claim text,Team,Not specified in claim text,58814,Sports,0
great britain,Team,glasgow,3:27.56,Sports,0
gary williams,Athlete,ohio state,300,Sports,1
bucky scribner,Athlete,green bay,299,Sports,0
tim kearse,Athlete,san jose state,298,Sports,0
the atlanta falcon,Team,north texas state,300,Sports,0
seattle seahawks,Team,san diego,55778,Sports,1
Not mentioned in claim text,Team,Not mentioned in claim text,50637,Sports,0
49ers,Team,san francisco,60207,Sports,1
49ers,Team,san francisco,66042,Sports,1
Not mentioned in claim text,Team,Not mentioned in claim text,43128,Sports,0
49ers,Team,san francisco,43128,Sports,0
san francisco 49ers,Team,san francisco,59914,Sports,0
the adelaide 36ers,Team,townsville,100,Sports,1
grizzlies,Team,memphis,100,Sports,1
supersonics,Team,seattle,100,Sports,0
chicago,Team,los angeles,48204,Sports,1
rams,Team,chicago,49000,Sports,0
cincinnati,Team,cincinnati,63794,Sports,0
charlotte bobcats,Team,indiana,115,Sports,1
footscray,Team,south melboure 's,120,Sports,1
afc champions league,Team,thailand,221,Sports,1
afc champions league,Team,china,431,Sports,1
the los angeles,Team,los angeles,100,Sports,1
the los angeles lakers,Team,los angeles,100,Sports,0
baltimore colts,Team,detroit,25287,Sports,1
oriole,Team,toronto,43192,Sports,1
Not specified in claim text,Team,Not specified in claim text,35540,Sports,0
collingwood,Team,carlton,154,Sports,1
collingwood,Team,melbourne,154,Sports,0
harrogate,Team,eastwood,283,Sports,1
nbl,Team,townsville,234,Sports,1
blue jays,Team,toronto,26473,Sports,1
cerutti,Athlete,Not specified in claim,Not a specific attendance value,Sports,0
Not specified in claim,Team,Not specified in claim,17598,Sports,0
Oliver Building,Building,pittsburgh,485,Business,0
vernon crawford,Athlete,florida,159,Sports,1
vernon crawford,Athlete,florida,N/A,Sports,0
murray armstrong,Athlete,denver,215,Sports,1
george gwozdecky,Coach,denver,311,Sports,0
murray armstrong,Coach,denver,174,Sports,0
argonauts,Team,toronto,30855,Sports,1
argonauts,Team,toronto,"a lower value (e.g., 11,273)",Sports,0
astros,Team,milwaukee,12258,Sports,1
brewers,Team,milwaukee,"a higher value (e.g., 30,000+)",Sports,0
milwaukee brewers,Team,milwaukee,12664,Sports,0
celtics,Team,boston,205,Sports,1
blue jays,Team,toronto,51783,Sports,1
boston celtics,Team,sacramento,115,Sports,1
minnesota timberwolves,Team,minneapolis,105,Sports,0
cleveland,Team,new york,103,Sports,1
gund,Team,cleveland,20562,Sports,1
cleveland cavaliers,Team,cleveland,107,Sports,1
portland,Team,cleveland,20562,Sports,1
gund,Team,cleveland,20562,Sports,1
guernsey,Team,guernsey,211,Sports,0
guernsey,Venue,kowloon,211,Sports,0
denard robinson,Athlete,indiana,217,Sports,1
denard robinson,Athlete,michigan,220,Sports,0
derartu tulu,Athlete,barcelona,10000,Sports,1
michigan,Team,west virginia,55223,Sports,1
michigan,Team,michigan,72998,Sports,0
nhl,Team,us,182,Sports,1
us high school player,Athlete,us,182,Sports,0
sloux city musketeer,League,sloux city,148,Sports,0
portland trail blazers,Team,san antonio,108,Sports,1
None,None,None,20000,Sports,0
omni,Team,philadelphia,106,Sports,1
dale coyne,Team,cleveland,140,Sports,1
Not specified in claim text,Team,Not specified in claim text,37845,Sports,0
vancouver canucks,Team,detroit,19875,Sports,1
vancouver canucks,Team,new jersey,9125,Sports,1
Detroit,Team,Vancouver,18910,Sports,0
New Jersey,Team,Vancouver,19869,Sports,0
texan,Team,houston,71740,Sports,0
49ers,Team,san francisco,1089,Sports,1
marcus jackson,Athlete,cleveland,321,Sports,1
ron crew,Athlete,N/A,N/A,Sports,0
sam snead,Athlete,the united state,"e.g., 600000",Sports,0
washington redskins,Team,north carolina state,259,Sports,1
green bay,Team,detroit,51901,Sports,1
green bay,Team,not specified in claim text,78312,Sports,0
chris brust,Athlete,north carolina,131,Sports,1
jeb barlow,Athlete,wake forest,131,Sports,0
matt butcher,Athlete,chilliwack,374,Sports,0
kris fredheim,Athlete,Canada,6,Sports,0
cincinnati,Team,chicago,38642,Sports,1
collingwood,Team,melbourne,42000,Sports,1
Collingwood,League,melbourne,42550,Sports,0
club estudiantes,Team,huracán,132,Sports,1
"club huracán, banfield",Team,not specified in claim,132,Sports,0
essendon / collingwood / carlton / melbourne / north melbourne / richmond,Team,not specified in claim,25090,Sports,0
blue jays,Team,toronto,53067,Sports,1
Not specified in claim text,Team,Not specified in claim text,40648,Sports,0
worthings,Team,cambridge city,250,Sports,1
spartak,Team,mogilev,11200,Sports,1
redskin,Team,washington,140,Sports,1
susmita singha roy,Athlete,india,800,Sports,1
susmita singha roy,Athlete,india,5705,Sports,1
susmita singha roy,Athlete,Not specified in claim text,800,Sports,0
susmita singha roy,Athlete,india,5872,Sports,0
miami,Team,oakland,73003,Sports,1
unknown (home team),Team,not mentioned (or Toronto),24666,Sports,0
redskins,Team,washington,20000,Sports,1
pittsburgh steelers,Team,pittsburgh,20000,Sports,0
ponson,Team,toronto,47522,Sports,1
ponson,Athlete,not specified in claim,47522,Sports,0
ny rangers,Team,san jose,201,Sports,1
ny rangers,Team,canada,201,Sports,0
rpi,Team,switzerland,136,Sports,0
galatasaray s.k,Team,england,101,Sports,1
olga lugina,Athlete,france,25000,Sports,1
elena pampoulova,Athlete,france itf,25000,Sports,1
north melbourne,Team,south melbourne,104,Sports,1
cavaliers,Team,cleveland,20562,Sports,1
cavaliers,Team,cleveland,20562,Sports,0
cavaliers,Team,cleveland,20562,Sports,0
kevin durant,Athlete,oklahoma,18593,Sports,1
collingwood,Team,melbourne,110,Sports,1
walt williams,Athlete,toronto,105,Sports,1
raptors,Team,toronto,9006,Sports,1
bobcats,Team,golden state,13747,Sports,1
bobcats,Team,golden state,13747,Sports,1
golden state,Team,charlotte,17347,Sports,0
george pyne,Athlete,boston,122,Sports,1
uci,Team,toshiba,212,Sports,1
toshiba,Team,,199,Sports,0
bernie bierman,Athlete,madison,45000,Sports,1
camp randall stadium,Stadium,wisconsin,45100,Sports,0
patriots,Team,boston,37819,Sports,1
Not specified in claim text,Team,Not specified in claim text,37819,Sports,0
ottawa,Team,florida,11289,Sports,1
detroit,Team,florida,20066,Sports,1
toronto,Team,florida,18500,Sports,1
detroit,Team,detroit,20066,Sports,0
49ers,Team,san francisco,78845,Sports,1
erwin huber,Athlete,germany,464,Sports,0
dallas,Team,new orleans,14472,Sports,1
new orleans team,Team,new orleans,less than 14472,Sports,0
geelong,Team,north melbourne,11121,Sports,1
carlton,Team,melbourne,11121,Sports,0
manchester united f.c,Team,coventry city,44717,Sports,1
manchester united f.c,Team,manchester,44705,Sports,0
manchester united f.c,Team,manchester,44499,Sports,0
Not present in claim text,Not present in claim text,Not present in claim text,102,Sports,0
redskins,Team,washington,17402,Sports,1
Not present in claim text,Team,Not present in claim text,45929,Sports,0
footscray,Team,richmond,17000,Sports,1
carlton,Team,melbourne,22000,Sports,0
"phoenix, ny islander, colorado, chicago, columbus, nashville, and minnesota",Team,"columbus, ohio",18680,Sports,0
ram,Team,los angeles,70031,Sports,1
los angeles ram,Team,san francisco,68193,Sports,0
ebbsfleet united,Team,stevenage,641,Sports,0
the denver broncos,Team,denver,76000,Sports,0
woman national rugby union,Team,spain,122,Sports,1
spain's woman national rugby union team,Team,spain,122,Sports,0
lebron james,Athlete,detroit,113,Sports,1
lebron james,Athlete,sacramento,20562,Sports,1
durham,Team,nottinghamshire,155,Sports,1
anelka,Athlete,liverpool,34000000,Sports,1
anelka,Athlete,arsenal,22300000,Sports,0
central washington university,Team,"ellensburg , washington",10400,Sports,1
university of puget sound,Team,washington,3000,Sports,1
collingwood,Team,south melbourne,147,Sports,1
essendon,Team,windy hill,103,Sports,0
jordan fransoo,Athlete,canada,186,Sports,1
mccormick,Athlete,phoenix,171,Sports,1
the spur,Team,san antonio,18797,Sports,0
demar derozan,Athlete,atlanta,115,Sports,1
collingwood,Team,north melbourne,22546,Sports,1
patriots,Team,boston,12598,Sports,1
denver broncos,Team,oakland,50074,Sports,1
carlton,Team,carlton,17552,Sports,0
rod marsh,Athlete,australia,148,Sports,1
rod marsh,Athlete,australia,355 (Tests) or 124 (ODIs),Sports,0
footscray,Team,south melbourne,20000,Sports,1
aly wagner,Athlete,the united state,Significantly more (career) or 0 (post-2009),Sports,0
mike cavan,Athlete,valdosta,623,Sports,1
valdosta state blazer,Team,valdosta,0.484,Sports,0
mark nelson,Coach,Not specified in claim,0.623,Sports,0
indiana pacers,Team,cleveland,19191,Sports,0
cleveland cavaliers,Team,cleveland,75,Sports,0
nhl,Team,canada,179,Sports,1
new york ranger,Team,new york,N/A,Sports,0
rqw,Team,eastleigh,111,Sports,1
kjoc,Company,davenport,960,Business,0
buckeyes,Team,ohio,56174,Sports,1
blue jays,Team,toronto,21113,Sports,1
the red sox,Team,toronto,35302,Sports,1
Los Angeles Angels,Team,Anaheim,21113,Sports,0
Tampa Bay Devil Rays,Team,St. Petersburg,35302,Sports,0
st kilda,Team,carlton,15000,Sports,1
cincinnati,Team,cleveland,55996,Sports,1
Miami Dolphins,Team,Pittsburgh,76753,Sports,0
north melbourne,Team,south melbourne,104,Sports,1
49ers,Team,san francisco,55988,Sports,1
49ers,Team,san francisco,38064,Sports,1
Not mentioned in claim text,Not mentioned in claim text,Not mentioned in claim text,34064,Sports,0
los angeles rams,Team,los angeles,24319,Sports,0
redskin,Team,houston,54582,Sports,1
redskin,Team,washington,72641,Sports,1
columbus blue jackets,Team,chicago,14918,Sports,1
chicago,Team,columbus,20273,Sports,0
cleveland cavaliers,Team,chicago,101,Sports,1
vancouver canucks,Team,vancouver,16150,Sports,1
vancouver,Team,vancouver,16150,Sports,0
redskins,Team,washington,35942,Sports,1
kim soo - nyung,Athlete,south korea,161,Sports,0
houston oilers,Team,houston,32183,Sports,0
richard jefferson,Athlete,golden state,127,Sports,1
richard jefferson,Athlete,milwaukee,127,Sports,0
türk telekom,Team,estonia,25000,Sports,1
brown,Team,cleveland,30751 and 73421,Sports,0
lacrosse,School/Educational Institution,Unknown (not morgan township),579,Demographics,0
siw malmkvist,Athlete,sweden,105,Sports,1
siw malmkvist,Artist,sweden,105,Entertainment,0
alexander artemev,Athlete,usa,16.000,Sports,0
"redbridge , united kingdom itf 25000",Tournament,redbridge,25000,Sports,0
Tiger Woods,Athlete,United States,284,Sports,0
tennessee titans,Team,new york,77710,Sports,1
unspecified team,Team,new york,68436,Sports,0
fitzroy,Team,north melbourne,1000,Sports,0
mitta unite,Team,beechworth,1000,Sports,1
dederang mt beauty,Team,N/A (not specified),greater than 1013,Sports,0
rfu,Team,midlands england,16588,Sports,1
midland team(s),Organization,midland,21000,Sports,0
blue jays,Team,toronto,23849,Sports,1
N/A,N/A,N/A,50513,Sports,0
49ers,Team,san francisco,65473,Sports,1
blue jays,Team,toronto,12699,Sports,1
N/A,N/A,N/A,12699,Sports,0
A team,Team,N/A (Incorrect for extracted subject entity),63659,Sports,0
blue jays,Team,toronto,29126,Sports,1
blue jays,Team,toronto,6532,Sports,1
N/A (Not mentioned in claim text),N/A (No specific subject entity mentioned),N/A (Not mentioned in claim text),29126,Sports,0
N/A (not specified in claim text),Team,N/A (not specified in claim text),N/A (factually incorrect for implied context),Sports,0
collingwood,Team,Melbourne / Victoria Park,5250,Sports,0
green bay,Team,detroit,60594,Sports,1
redskins,Team,washington,69542,Sports,1
not specified in claim text,not specified in claim text,not specified in claim text,69541,Sports,0
raptors,Team,toronto,14196,Sports,1
cody miller,Athlete,palo verde 's,100,Sports,1
samantha pearson,Athlete,sierra vista,100,Sports,1
edward kollar,Athlete,douglas,100,Sports,1
oakland,Team,oakland,45398,Sports,1
ihsaa,Team,mid - eastern - northwestern,852,Sports,1
culver,School,indiana,287,Sports,0
the denver nugget,Team,utah,10317,Sports,1
philadelphia,Team,philadelphia,19849,Sports,0
dallas,Team,denver,104,Sports,1
the boston celtic,Team,indiana,123,Sports,1
celtic,Team,indiana,122,Sports,1
celtic,Team,indiana,115 - 108 and 125 - 122,Sports,0
north melbourne,Team,south melbourne,101,Sports,1
portland,Team,seattle,16538,Sports,1
supersonics,Team,seattle,16000,Sports,1
atlantic coast conference,Team,maryland,475,Sports,1
panther,Team,florida,13567,Sports,1
UFC events,Event,la vega,N/A,Sports,0
manchester united f.c,Team,Manchester,39939,Sports,0
mike souchak,Athlete,us,135,Sports,1
mike souchak,Athlete,us,285,Sports,0
air canada,Team,toronto,15122,Sports,1
kyle okposo,Athlete,minnesota,185,Sports,1
detroit lions,Team,detroit,79862,Sports,0
ruggiero di san severino,Athlete,san severino,1180,Sports,1
brown,Team,cleveland,81260,Sports,1
cleveland browns,Team,cleveland,78723,Sports,0
dockyard station,Team,tamar valley,5088,Sports,1
blue jays,Team,toronto,50484,Sports,1
athletics,Team,toronto,12397,Sports,1
N/A (not specified in claim),Team,N/A (not specified in claim),53935,Sports,0
N/A (not specified in claim),Team,N/A (not specified in claim),12332,Sports,0
bournemouth,Team,bradford city,8000,Sports,1
cavaliers,Team,cleveland,20562,Sports,1
raider,Team,oakland / los angeles / las vegas,17027,Sports,0
st kilda,Team,melbourne,38104,Sports,1
chris paul,Athlete,new york,103,Sports,1
the boston celtic,Team,miami,117,Sports,1
celtic,Team,miami,85,Sports,0
maurice williams,Athlete,cleveland,109,Sports,1
tiger wood,Athlete,us,1224000,Sports,1
white sox,Team,tampa bay,8774,Sports,1
greg norman,Athlete,australia,287,Sports,0
Not specified in claim text,Athlete,Not specified in claim text,245,Sports,0
wayne mcduffie,Athlete,cleveland,455,Sports,1
wayne mcduffie,Athlete,Not specified in claim text,455,Sports,0
redskins,Team,washington,9174,Sports,1
redskins,Team,N/A (not specified in claim text),30000,Sports,0
team charlotte,Team,phoenix,15080,Sports,1
boston,Team,N/A (game location not specified),19457,Sports,0
weaver,Athlete,N/A (not specified in claim),50000,Sports,0
fcr,Team,berlin,20000,Sports,1
brian mitchell,Athlete,southwestern louisiana 's,130,Sports,1
brian mitchell,Athlete,southwestern louisiana,113,Sports,0
celtic,Team,boston,18624,Sports,1
indiana pacer,Team,indiana,119,Sports,0
pacers,Team,indiana,N/A,Sports,0
lyn lott,Athlete,the united state,284,Sports,1
laurynas grigelis,Athlete,lithuania,414,Sports,1
super league,League,widnes,12842,Sports,0
montreal canadiens,Team,montreal,20066,Sports,0
gerard van velde,Athlete,netherlands,,Sports,0
wes swinson,Athlete,kitchener,253,Sports,0
colts,Team,washington,51387,Sports,1
diego duarte delgado,Athlete,colombia,"A higher value (e.g., 130-150 for a two-day event)",Sports,0
roger dahi,Athlete,lebanon,"A higher value (e.g., 130-150 for a two-day event)",Sports,0
big ten conference,Team,illionois,278,Sports,1
roxana díaz,Athlete,cuba,177,Sports,1
new york giants,Team,new york,70097,Sports,0
henry picard,Athlete,the united state,294,Sports,1
gillis wilson,Athlete,auburn,152,Sports,0
blue jay,Team,toronto,40000,Sports,1
blue jay,Team,toronto,30037,Sports,0
pittsburgh,Team,chicago,20000,Sports,1
winamac community school,Team,indiana,significantly higher than 264,Sports,0
larry wood,Athlete,toledo,>145,Sports,0
padre,Team,montreal,31139,Sports,1
padre,Team,san diego,31239,Sports,0
blue jays,Team,toronto,10858,Sports,1
N/A (not specified in claim text),Team,N/A (not specified in claim text),"much higher (e.g., over 100,000)",Sports,0
los angeles rams,Team,los angeles,"over 70,000",Sports,0
conklin,Athlete,chicago,20066,Sports,1
chicago,Athlete,chicago,16339,Sports,0
laurynas grigelis,Athlete,lithuania,183,Sports,1
carolina,Team,new york,16234,Sports,1
philadelphia eagles,Team,arizona,44723,Sports,1
arizona cardinal,Team,st. louis,44723,Sports,0
brynäs if gävle,Team,sweden,139,Sports,0
sweeden,Country,sweden,109,Sports,0
maksim krivosheev,Athlete,khimki,39,Sports,0
blue jay,Team,toronto,49908,Sports,1
blue jay,Team,toronto,17086,Sports,1
blue jay,Team,toronto,49908,Sports,0
blue jays,Team,toronto,18007,Sports,0
fandok,Team,bobruisk,3700,Sports,0
detroit pistons,Team,detroit,116,Sports,1
yankee,Team,toronto,49902,Sports,1
yankee,Team,new york,approximately 57000-78000,Sports,0
beryl bailey,Athlete,the united kingdom,1190,Sports,1
barbara watt,Athlete,the united kingdom,139,Sports,1
dagmar lerchova,Athlete,czechoslovakia,1214,Sports,1
beryl bailey,Athlete,the united kingdom,94,Sports,0
dagmar lerchova,Athlete,not czechoslovakia,1200.81,Sports,0
fc 105,Team,libreville,105,Sports,1
49ers,Team,san francisco,31993,Sports,1
49ers,Team,san francisco,less than 30000,Sports,0
yelena isinbayeva,Athlete,russia,445,Sports,1
vanessa boslak,Athlete,france,445,Sports,1
collingwood,Team,carlton,36730,Sports,1
richmond,Team,melbourne,36730,Sports,0
al jefferson,Athlete,utah,15625,Sports,1
deron williams,Athlete,brooklyn,105,Sports,0
indianapolis colts,Team,houston,47372,Sports,1
maria cecilia floriddia,Athlete,Not mentioned in claim text,200,Sports,0
blue jays,Team,toronto,13839,Sports,1
blue jays,Team,toronto,24001,Sports,1
blue jays,Team,toronto,37354,Sports,1
Not mentioned in claim text,Team,Not mentioned in claim text,30000,Sports,0
nfl,Team,kansas city,361,Sports,1
new york jet,Team,new york,300,Sports,0
richmond,Team,st kilda,12000,Sports,1
richmond,Team,north melbourne,135,Sports,1
josé amalfitani,Athlete,argentina,49540,Sports,1
vélez s,Team,argentina,49540,Sports,0
footscray,Team,north melbourne,13972,Sports,1
bobcat,Team,washington,16365,Sports,1
dwin radyo,Organization,Dagupan,1062,Business,0
Carlton,Team,melbourne,25000,Sports,0
st kilda,Team,footscray,101,Sports,0
N/A (not mentioned),N/A (not mentioned),N/A (not mentioned),9221,Sports,0
detroit,Team,detroit,41000,Sports,0
essendon,Team,south melbourne,19000,Sports,1
sergey filimonov,Athlete,kazakhstan,210,Sports,0
fitzroy,Team,carlton,17000,Sports,1
iaaf,Team,the united state,800,Sports,1
ljvm coliseum,Venue,nc,7900,Sports,0
conseco,Team,indiana,8426,Sports,1
conseco fieldhouse,Venue,indiana,8426,Sports,0
joël champagne,Team,canada,129,Sports,1
nfl,Team,derrick brook,208,Sports,1
hawks,Team,indiana,122,Sports,1
hawk,Team,atlanta,N/A,Sports,0
blake miller,Athlete,louisiana state,N/A,Sports,0
richmond,Team,melbourne,25600,Sports,0
a golfer active before 1980,Athlete,united state,N/A,Sports,0
texas school,Team,oklahoma,258,Sports,1
oklahoma school,Conference,oklahoma,109,Sports,0
stkilda,Team,melbourne,29175,Sports,1
north melbourne,League,melbourne,21429,Sports,0
colts,Team,indianapolis,79101,Sports,1
atlanta hawks,Team,san diego,107,Sports,1
chuck chiatto,Athlete,new jersey devil,226,Sports,0
peter mcgeough,Athlete,the new york islander,238,Sports,0
kaj linna,Athlete,ottawa,131,Sports,1
south melbourne,Team,vfl park,32613,Sports,0
san francisco 49ers,Team,san francisco,56028,Sports,0
arnold palmer,Athlete,canterbury,274,Sports,1
davis love iii,Athlete,the united state,297,Sports,0
cavs,Team,chicago,133,Sports,1
cavs,Team,washington,111,Sports,1
cavalier,Team,cleveland,133,Sports,0
panther,Team,chicago,123,Sports,1
colts,Team,indianapolis,137,Sports,1
redskins,Team,washington,72975,Sports,1
redskins,Team,philadelphia,66005,Sports,0
the los angeles ram,Team,los angeles,75281,Sports,1
the los angeles ram,Team,los angeles,31202,Sports,1
the los angeles ram,Team,los angeles,46000,Sports,0
the los angeles ram,Team,los angeles,"e.g., 66000",Sports,0
chinese super league,Team,shenyang ginde,182,Sports,1
ralph guldahl,Athlete,us,1000,Sports,1
harry cooper,Athlete,us,800 (for second place),Sports,0
chris lytle,Athlete,australia,127,Sports,0
wolfgang loitzl,Athlete,austria,987.1,Sports,0
simon ammann,Athlete,switzerland,261.5,Sports,0
browns,Team,cleveland,47131,Sports,1
the cleveland,Team,minnesota,431,Sports,1
cleveland browns,Team,cleveland,72798,Sports,0
devin brown,Athlete,san antonio,101,Sports,1
hayden ballantyne,Athlete,fremantle,100,Sports,0
steve ballesteros,Athlete,spain,147,Sports,1
