row_id,column,clean_value,final_value,error_type
2262,capital-gain,0,5013,intentional
2332,capital-gain,0,5013,intentional
2381,capital-gain,0,5013,intentional
2422,capital-gain,0,5013,intentional
2597,capital-gain,0,5013,intentional
2603,capital-gain,0,5013,intentional
2623,capital-gain,0,5013,intentional
2761,capital-gain,0,5013,intentional
2940,capital-gain,0,5013,intentional
2960,capital-gain,0,5013,intentional
3070,capital-gain,0,5013,intentional
3293,capital-gain,0,5013,intentional
3314,capital-gain,0,5013,intentional
3336,capital-gain,0,5013,intentional
3361,capital-gain,0,5013,intentional
3499,capital-gain,0,5013,intentional
3516,capital-gain,0,5013,intentional
3598,capital-gain,0,5013,intentional
3631,capital-gain,0,5013,intentional
3738,capital-gain,0,5013,intentional
3912,capital-gain,0,5013,intentional
4006,capital-gain,0,5013,intentional
4047,capital-gain,5013,0,intentional
4214,capital-gain,0,5013,intentional
4216,capital-gain,0,5013,intentional
4226,capital-gain,0,5013,intentional
4257,capital-gain,0,5013,intentional
4302,capital-gain,0,5013,intentional
4364,capital-gain,0,5013,intentional
4391,capital-gain,0,5013,intentional
4451,capital-gain,0,5013,intentional
4472,capital-gain,0,5013,intentional
4554,capital-gain,0,5013,intentional
4568,capital-gain,0,5013,intentional
4667,capital-gain,0,5013,intentional
4676,capital-gain,0,5013,intentional
4694,capital-gain,0,5013,intentional
4717,capital-gain,0,5013,intentional
4748,capital-gain,0,5013,intentional
4838,capital-gain,0,5013,intentional
5005,capital-gain,0,5013,intentional
5100,capital-gain,0,5013,intentional
5119,capital-gain,0,5013,intentional
5182,capital-gain,0,5013,intentional
5314,capital-gain,0,5013,intentional
5419,capital-gain,0,5013,intentional
5526,capital-gain,4508,0,intentional
5613,capital-gain,2354,5013,intentional
5865,capital-gain,0,5013,intentional
5879,capital-gain,0,5013,intentional
5917,capital-gain,0,5013,intentional
5992,capital-gain,0,5013,intentional
6004,capital-gain,0,5013,intentional
6145,capital-gain,0,5013,intentional
6171,capital-gain,0,5013,intentional
6220,capital-gain,5013,0,intentional
6300,capital-gain,0,5013,intentional
6365,capital-gain,0,5013,intentional
6606,capital-gain,0,5013,intentional
6697,capital-gain,0,5013,intentional
6705,capital-gain,0,5013,intentional
6935,capital-gain,0,5013,intentional
6958,capital-gain,0,5013,intentional
7015,capital-gain,0,5013,intentional
7025,capital-gain,0,5013,intentional
7041,capital-gain,2174,5013,intentional
7186,capital-gain,0,5013,intentional
7354,capital-gain,0,5013,intentional
7417,capital-gain,2202,5013,intentional
7675,capital-gain,594,5013,intentional
7714,capital-gain,0,5013,intentional
7798,capital-gain,0,5013,intentional
7920,capital-gain,0,5013,intentional
8026,capital-gain,0,5013,intentional
8080,capital-gain,0,5013,intentional
8248,capital-gain,0,5013,intentional
8352,capital-gain,0,5013,intentional
8362,capital-gain,4650,5013,intentional
8465,capital-gain,0,5013,intentional
8536,capital-gain,0,5013,intentional
8673,capital-gain,0,5013,intentional
8735,capital-gain,0,5013,intentional
8773,capital-gain,0,5013,intentional
8880,capital-gain,0,5013,intentional
8979,capital-gain,0,5013,intentional
9152,capital-gain,0,5013,intentional
9156,capital-gain,0,5013,intentional
9614,capital-gain,0,5013,intentional
9630,capital-gain,0,5013,intentional
9642,capital-gain,0,5013,intentional
9646,capital-gain,0,5013,intentional
9838,capital-gain,3325,5013,intentional
9908,capital-gain,0,5013,intentional
9934,capital-gain,0,5013,intentional
10009,capital-gain,0,5013,intentional
10145,capital-gain,0,5013,intentional
10164,capital-gain,0,5013,intentional
10317,capital-gain,0,5013,intentional
10402,capital-gain,0,5013,intentional
10556,capital-gain,0,5013,intentional
10607,capital-gain,0,5013,intentional
10610,capital-gain,0,5013,intentional
10754,capital-gain,0,5013,intentional
10783,capital-gain,0,5013,intentional
10889,capital-gain,0,5013,intentional
10890,capital-gain,0,5013,intentional
11053,capital-gain,0,5013,intentional
11058,capital-gain,0,5013,intentional
11121,capital-gain,0,5013,intentional
11167,capital-gain,0,5013,intentional
11207,capital-gain,0,5013,intentional
11220,capital-gain,0,5013,intentional
11257,capital-gain,0,5013,intentional
11345,capital-gain,0,5013,intentional
11412,capital-gain,0,5013,intentional
11474,capital-gain,0,5013,intentional
11520,capital-gain,0,5013,intentional
11636,capital-gain,0,5013,intentional
11776,capital-gain,0,5013,intentional
11814,capital-gain,4650,5013,intentional
11829,capital-gain,0,5013,intentional
11911,capital-gain,0,5013,intentional
11934,capital-gain,0,5013,intentional
12056,capital-gain,0,5013,intentional
12169,capital-gain,0,5013,intentional
12257,capital-gain,0,5013,intentional
12315,capital-gain,0,5013,intentional
12357,capital-gain,0,5013,intentional
12526,capital-gain,0,5013,intentional
12593,capital-gain,0,5013,intentional
12602,capital-gain,0,5013,intentional
12616,capital-gain,0,5013,intentional
12685,capital-gain,0,5013,intentional
12801,capital-gain,0,5013,intentional
12820,capital-gain,0,5013,intentional
12996,capital-gain,0,5013,intentional
13057,capital-gain,0,5013,intentional
13110,capital-gain,0,5013,intentional
13160,capital-gain,0,5013,intentional
13309,capital-gain,0,5013,intentional
13337,capital-gain,0,5013,intentional
13424,capital-gain,0,5013,intentional
13592,capital-gain,4101,5013,intentional
13593,capital-gain,0,5013,intentional
13627,capital-gain,0,5013,intentional
13628,capital-gain,0,5013,intentional
13668,capital-gain,0,5013,intentional
13713,capital-gain,0,5013,intentional
13744,capital-gain,0,5013,intentional
13812,capital-gain,0,5013,intentional
13864,capital-gain,0,5013,intentional
13916,capital-gain,0,5013,intentional
13947,capital-gain,0,5013,intentional
14265,capital-gain,0,5013,intentional
14311,capital-gain,0,5013,intentional
14410,capital-gain,0,5013,intentional
14442,capital-gain,0,5013,intentional
14459,capital-gain,0,5013,intentional
14499,capital-gain,0,5013,intentional
14503,capital-gain,0,5013,intentional
14816,capital-gain,0,5013,intentional
14833,capital-gain,0,5013,intentional
14983,capital-gain,0,5013,intentional
15063,capital-gain,0,5013,intentional
15144,capital-gain,0,5013,intentional
15226,capital-gain,0,5013,intentional
15373,capital-gain,1831,5013,intentional
15600,capital-gain,0,5013,intentional
15605,capital-gain,0,5013,intentional
15718,capital-gain,0,5013,intentional
15819,capital-gain,0,5013,intentional
15856,capital-gain,0,5013,intentional
16294,capital-gain,0,5013,intentional
16424,capital-gain,0,5013,intentional
16484,capital-gain,0,5013,intentional
16586,capital-gain,0,5013,intentional
16629,capital-gain,0,5013,intentional
16645,capital-gain,0,5013,intentional
16650,capital-gain,0,5013,intentional
16718,capital-gain,0,5013,intentional
17255,capital-gain,0,5013,intentional
17275,capital-gain,0,5013,intentional
17361,capital-gain,0,5013,intentional
17646,capital-gain,0,5013,intentional
17653,capital-gain,0,5013,intentional
17677,capital-gain,5013,0,intentional
17712,capital-gain,0,5013,intentional
17838,capital-gain,0,5013,intentional
18074,capital-gain,0,5013,intentional
18115,capital-gain,0,5013,intentional
18172,capital-gain,0,5013,intentional
18394,capital-gain,0,5013,intentional
18422,capital-gain,0,5013,intentional
18495,capital-gain,1055,4781,intentional
18500,capital-gain,0,5013,intentional
18896,capital-gain,0,5013,intentional
18996,capital-gain,0,5013,intentional
19251,capital-gain,0,5013,intentional
19268,capital-gain,0,5013,intentional
19345,capital-gain,0,5013,intentional
19373,capital-gain,0,5013,intentional
19379,capital-gain,0,5013,intentional
19432,capital-gain,0,5013,intentional
19605,capital-gain,0,5013,intentional
19704,capital-gain,3325,5013,intentional
19721,capital-gain,0,5013,intentional
19780,capital-gain,5013,0,intentional
19784,capital-gain,0,5013,intentional
19862,capital-gain,0,5013,intentional
19980,capital-gain,3325,5013,intentional
20174,capital-gain,0,5013,intentional
20218,capital-gain,0,5013,intentional
20319,capital-gain,0,5013,intentional
20409,capital-gain,0,5013,intentional
20432,capital-gain,1506,5013,intentional
20533,capital-gain,0,5013,intentional
20586,capital-gain,0,5013,intentional
20595,capital-gain,0,5013,intentional
20645,capital-gain,0,5013,intentional
20765,capital-gain,0,5013,intentional
21022,capital-gain,0,5013,intentional
21141,capital-gain,0,5013,intentional
21149,capital-gain,0,5013,intentional
21270,capital-gain,0,5013,intentional
21372,capital-gain,0,5013,intentional
21381,capital-gain,2580,4443,intentional
21522,capital-gain,0,5013,intentional
21572,capital-gain,0,5013,intentional
21848,capital-gain,0,5013,intentional
21873,capital-gain,0,5013,intentional
21958,capital-gain,0,5013,intentional
22350,capital-gain,0,5013,intentional
22377,capital-gain,0,5013,intentional
22474,capital-gain,0,5013,intentional
22534,capital-gain,0,5013,intentional
22599,capital-gain,5013,0,intentional
22619,capital-gain,0,5013,intentional
22762,capital-gain,4650,5013,intentional
22806,capital-gain,0,5013,intentional
22808,capital-gain,0,5013,intentional
22838,capital-gain,0,5013,intentional
22873,capital-gain,0,5013,intentional
23034,capital-gain,0,5013,intentional
23162,capital-gain,0,5013,intentional
23179,capital-gain,0,5013,intentional
23240,capital-gain,2538,5013,intentional
23292,capital-gain,0,5013,intentional
23350,capital-gain,0,5013,intentional
23399,capital-gain,0,5013,intentional
23562,capital-gain,0,5013,intentional
23680,capital-gain,0,5013,intentional
23751,capital-gain,0,5013,intentional
23868,capital-gain,0,5013,intentional
23877,capital-gain,0,5013,intentional
23882,capital-gain,0,5013,intentional
24469,capital-gain,5013,0,intentional
24605,capital-gain,0,5013,intentional
24662,capital-gain,0,5013,intentional
24719,capital-gain,0,5013,intentional
24725,capital-gain,0,5013,intentional
24785,capital-gain,0,5013,intentional
24826,capital-gain,0,5013,intentional
24886,capital-gain,0,5013,intentional
25105,capital-gain,0,5013,intentional
25124,capital-gain,0,5013,intentional
25282,capital-gain,0,5013,intentional
25334,capital-gain,0,5013,intentional
25336,capital-gain,0,5013,intentional
25378,capital-gain,0,5013,intentional
25435,capital-gain,0,5013,intentional
25477,capital-gain,0,5013,intentional
25493,capital-gain,0,5013,intentional
25714,capital-gain,0,5013,intentional
25715,capital-gain,0,5013,intentional
25788,capital-gain,0,5013,intentional
25795,capital-gain,0,5013,intentional
25837,capital-gain,0,5013,intentional
25907,capital-gain,0,5013,intentional
26068,capital-gain,0,5013,intentional
26119,capital-gain,0,5013,intentional
26155,capital-gain,0,5013,intentional
26209,capital-gain,0,5013,intentional
26238,capital-gain,0,5013,intentional
26251,capital-gain,0,5013,intentional
26296,capital-gain,0,5013,intentional
26359,capital-gain,0,5013,intentional
26368,capital-gain,0,5013,intentional
26591,capital-gain,0,5013,intentional
26610,capital-gain,0,5013,intentional
26735,capital-gain,0,5013,intentional
26781,capital-gain,0,5013,intentional
26790,capital-gain,0,5013,intentional
26819,capital-gain,0,5013,intentional
26936,capital-gain,0,5013,intentional
26989,capital-gain,0,5013,intentional
27214,capital-gain,0,5013,intentional
27353,capital-gain,0,5013,intentional
27480,capital-gain,0,5013,intentional
27491,capital-gain,0,5013,intentional
27566,capital-gain,0,5013,intentional
27648,capital-gain,0,5013,intentional
27667,capital-gain,0,5013,intentional
27744,capital-gain,0,5013,intentional
27899,capital-gain,0,5013,intentional
27950,capital-gain,3325,5013,intentional
28048,capital-gain,0,5013,intentional
28175,capital-gain,0,5013,intentional
28367,capital-gain,0,5013,intentional
28478,capital-gain,0,5013,intentional
28815,capital-gain,0,5013,intentional
28819,capital-gain,0,5013,intentional
28879,capital-gain,0,5013,intentional
29177,capital-gain,0,5013,intentional
29565,capital-gain,0,5013,intentional
29834,capital-gain,0,5013,intentional
29923,capital-gain,0,5013,intentional
29942,capital-gain,0,5013,intentional
30007,capital-gain,0,5013,intentional
30038,capital-gain,0,5013,intentional
30055,capital-gain,0,5013,intentional
30141,capital-gain,0,5013,intentional
30156,capital-gain,0,5013,intentional
30221,capital-gain,0,5013,intentional
30262,capital-gain,0,5013,intentional
30320,capital-gain,0,5013,intentional
30354,capital-gain,0,5013,intentional
30394,capital-gain,0,5013,intentional
30617,capital-gain,5013,0,intentional
30660,capital-gain,0,5013,intentional
30721,capital-gain,0,5013,intentional
30749,capital-gain,0,5013,intentional
30887,capital-gain,5013,0,intentional
30921,capital-gain,0,5013,intentional
31097,capital-gain,0,5013,intentional
31188,capital-gain,0,5013,intentional
31274,capital-gain,0,5013,intentional
31322,capital-gain,0,5013,intentional
31335,capital-gain,0,5013,intentional
31388,capital-gain,4650,5013,intentional
31492,capital-gain,0,5013,intentional
31581,capital-gain,0,5013,intentional
31633,capital-gain,0,5013,intentional
31673,capital-gain,0,5013,intentional
31707,capital-gain,4650,5013,intentional
31820,capital-gain,0,5013,intentional
32049,capital-gain,0,5013,intentional
32057,capital-gain,0,5013,intentional
32064,capital-gain,0,5013,intentional
32269,capital-gain,0,5013,intentional
32305,capital-gain,0,5013,intentional
32724,capital-gain,0,5013,intentional
32859,capital-gain,0,5013,intentional
32911,capital-gain,0,5013,intentional
33125,capital-gain,0,5013,intentional
33154,capital-gain,0,5013,intentional
33296,capital-gain,991,5013,intentional
33350,capital-gain,0,5013,intentional
33450,capital-gain,0,5013,intentional
33532,capital-gain,0,5013,intentional
33823,capital-gain,0,5013,intentional
33887,capital-gain,0,5013,intentional
33915,capital-gain,0,5013,intentional
33944,capital-gain,0,5013,intentional
34087,capital-gain,0,5013,intentional
34099,capital-gain,0,5013,intentional
34394,capital-gain,0,5013,intentional
34616,capital-gain,0,5013,intentional
34729,capital-gain,0,5013,intentional
34736,capital-gain,0,5013,intentional
34793,capital-gain,0,5013,intentional
34877,capital-gain,0,5013,intentional
34909,capital-gain,1506,5013,intentional
34930,capital-gain,0,5013,intentional
34958,capital-gain,0,5013,intentional
35084,capital-gain,0,5013,intentional
35101,capital-gain,0,5013,intentional
35113,capital-gain,0,5013,intentional
35280,capital-gain,0,5013,intentional
35304,capital-gain,0,5013,intentional
35335,capital-gain,2907,4770,intentional
35378,capital-gain,0,5013,intentional
35408,capital-gain,0,5013,intentional
35448,capital-gain,0,5013,intentional
35456,capital-gain,0,5013,intentional
35620,capital-gain,0,5013,intentional
35624,capital-gain,0,5013,intentional
35639,capital-gain,0,5013,intentional
35679,capital-gain,0,5013,intentional
35720,capital-gain,0,5013,intentional
35845,capital-gain,0,5013,intentional
35895,capital-gain,0,5013,intentional
35914,capital-gain,0,5013,intentional
35933,capital-gain,0,5013,intentional
35991,capital-gain,0,5013,intentional
36079,capital-gain,0,5013,intentional
36127,capital-gain,0,5013,intentional
36152,capital-gain,0,5013,intentional
36241,capital-gain,0,5013,intentional
36284,capital-gain,0,5013,intentional
36337,capital-gain,0,5013,intentional
36362,capital-gain,4508,0,intentional
36401,capital-gain,0,5013,intentional
36526,capital-gain,0,5013,intentional
36537,capital-gain,5013,0,intentional
36543,capital-gain,0,5013,intentional
36553,capital-gain,0,5013,intentional
36637,capital-gain,2174,5013,intentional
36642,capital-gain,0,5013,intentional
36687,capital-gain,0,5013,intentional
36693,capital-gain,0,5013,intentional
36694,capital-gain,0,5013,intentional
36936,capital-gain,0,5013,intentional
36990,capital-gain,0,5013,intentional
37123,capital-gain,0,5013,intentional
37149,capital-gain,0,5013,intentional
37217,capital-gain,0,5013,intentional
37436,capital-gain,0,5013,intentional
37503,capital-gain,0,5013,intentional
37645,capital-gain,0,5013,intentional
37752,capital-gain,0,5013,intentional
37885,capital-gain,0,5013,intentional
37913,capital-gain,0,5013,intentional
37918,capital-gain,0,5013,intentional
38034,capital-gain,0,5013,intentional
38049,capital-gain,0,5013,intentional
38097,capital-gain,0,5013,intentional
38226,capital-gain,0,5013,intentional
38417,capital-gain,0,5013,intentional
38422,capital-gain,0,5013,intentional
38465,capital-gain,0,5013,intentional
38652,capital-gain,0,5013,intentional
38682,capital-gain,0,5013,intentional
38696,capital-gain,0,5013,intentional
38712,capital-gain,0,5013,intentional
38748,capital-gain,0,5013,intentional
15225,capital-loss,1573,0,intentional
17721,capital-loss,1672,0,intentional
21007,capital-loss,1579,0,intentional
27602,capital-loss,1735,0,intentional
28060,capital-loss,1579,0,intentional
30044,capital-loss,1579,0,intentional
30135,capital-loss,1672,0,intentional
30748,capital-loss,1740,0,intentional
31115,capital-loss,1740,0,intentional
37569,capital-loss,1740,0,intentional
37934,capital-loss,1740,0,intentional
