row_idx,column_name,signal_C1,signal_C2,signal_C3,signal_C4,signal_C5,signal_C6,signal_C7,signal_C8,signal_C9,n_applicable,cell_signal_sum,cell_signal_ratio,row_signal_sum,intent_label,predicted_intent
12,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,1,1.0
12,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,1,1.0
12,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,1,1.0
12,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,1,1.0
13,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
13,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,1,1.0
13,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,1,1.0
13,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,1,1.0
13,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,1,1.0
14,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
14,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,1,1.0
14,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,1,1.0
14,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,1,1.0
14,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,1,1.0
15,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
15,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,1,1.0
15,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,1,1.0
15,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,1,1.0
15,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,1,1.0
16,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
16,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,1,1.0
16,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,1,1.0
16,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,1,1.0
16,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,1,1.0
17,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
17,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,1,1.0
17,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,1,1.0
17,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,1,1.0
17,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,1,1.0
18,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
18,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,1,1.0
18,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,1,1.0
18,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,1,1.0
18,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,1,1.0
19,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
19,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,1,1.0
19,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,1,1.0
19,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,1,1.0
19,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,1,1.0
20,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
20,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,1,1.0
20,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,1,1.0
20,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,1,1.0
20,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,1,1.0
21,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
21,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,1,1.0
21,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,1,1.0
21,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,1,1.0
21,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,1,1.0
22,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
22,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,1,1.0
22,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,1,1.0
22,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,1,1.0
22,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,1,1.0
23,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
23,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,1,1.0
23,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,1,1.0
23,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,1,1.0
23,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,1,1.0
24,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
24,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,1,1.0
24,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,1,1.0
24,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,1,1.0
24,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,1,1.0
25,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
25,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,1,1.0
25,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,1,1.0
25,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,1,1.0
25,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,1,1.0
26,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
26,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,1,1.0
26,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,1,1.0
26,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,1,1.0
26,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,1,1.0
27,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
27,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,1,1.0
27,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,1,1.0
27,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,1,1.0
27,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,1,1.0
28,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
28,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,1,1.0
28,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,1,1.0
28,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,1,1.0
28,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,1,1.0
29,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
29,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,1,1.0
29,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,1,1.0
29,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,1,1.0
29,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,1,1.0
30,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
30,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,1,1.0
30,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,1,1.0
30,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,1,1.0
30,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,1,1.0
31,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
31,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,1,1.0
31,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,1,1.0
31,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,1,1.0
31,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,1,
32,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
32,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,1,1.0
32,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,1,1.0
32,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,1,1.0
32,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,1,1.0
33,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
33,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,1,1.0
33,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,1,1.0
33,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,1,1.0
33,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,1,1.0
34,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
34,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,1,1.0
34,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,1,1.0
34,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,1,1.0
34,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,1,1.0
35,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
35,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,1,1.0
35,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,1,1.0
35,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,1,1.0
35,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,1,1.0
36,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
36,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,1,1.0
36,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,1,1.0
36,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,1,1.0
36,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,1,1.0
37,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
37,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,1,1.0
37,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,1,1.0
37,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,1,1.0
37,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,1,1.0
38,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
38,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,1,1.0
38,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,1,1.0
38,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,1,1.0
38,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,1,1.0
39,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
39,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,1,
39,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,1,1.0
39,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,1,1.0
39,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,1,1.0
40,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
40,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,1,1.0
40,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,1,1.0
40,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,1,1.0
40,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,1,1.0
41,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
41,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,1,1.0
41,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,1,1.0
41,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,1,1.0
41,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,1,1.0
42,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
42,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,1,1.0
42,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,1,1.0
42,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,1,1.0
42,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,1,1.0
43,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
43,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,1,1.0
43,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,1,1.0
43,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,1,1.0
43,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,1,1.0
44,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
44,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,1,1.0
44,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,1,1.0
44,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,1,1.0
44,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,1,1.0
45,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
45,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,1,1.0
45,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,1,1.0
45,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,1,1.0
45,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,1,1.0
46,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
46,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,1,1.0
46,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,1,1.0
46,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,1,1.0
46,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,1,1.0
47,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
47,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,1,1.0
47,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,1,1.0
47,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,1,1.0
47,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,1,1.0
48,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
48,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,1,1.0
48,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,1,1.0
48,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,1,1.0
48,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,1,1.0
49,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
49,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,1,1.0
49,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,1,1.0
49,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,1,1.0
49,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,1,1.0
50,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
50,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,1,1.0
50,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,1,1.0
50,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,1,1.0
50,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,1,1.0
51,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
51,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,1,1.0
51,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,1,1.0
51,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,1,1.0
51,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,1,1.0
52,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
52,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,1,1.0
52,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,1,1.0
52,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,1,1.0
52,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,1,1.0
53,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
53,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,1,1.0
53,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,1,1.0
53,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,1,1.0
53,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,1,1.0
54,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
54,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,1,1.0
54,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,1,1.0
54,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,1,1.0
54,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,1,1.0
55,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
55,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,1,1.0
55,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,1,1.0
55,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,1,1.0
55,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,1,1.0
56,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
56,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,1,1.0
56,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,1,1.0
56,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,1,1.0
56,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,1,1.0
57,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
57,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,1,1.0
57,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,1,1.0
57,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,1,1.0
57,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,1,1.0
58,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
58,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,1,1.0
58,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,1,1.0
58,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,1,1.0
58,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,1,1.0
59,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
59,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,1,1.0
59,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,1,1.0
59,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,1,1.0
59,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,1,1.0
60,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
60,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,1,1.0
60,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,1,1.0
60,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,1,1.0
60,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,1,1.0
61,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
61,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,1,1.0
61,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,1,1.0
61,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,1,1.0
61,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,1,1.0
62,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
62,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,1,1.0
62,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,1,1.0
62,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,1,1.0
62,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,1,1.0
63,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
