followers_count,friends_count,favourites_count,statuses_count,listed_count,verified,protected,default_profile,default_profile_image,geo_enabled,profile_use_background_image,has_created_date,description_length,screen_name_length,name_length,has_description,has_location,label
2247609,748,0,68034,5819,1,0,0,0,0,0,1,3,0,12,1,1,0
254183,571,0,10946,191,0,0,0,0,0,0,1,63,0,7,1,1,0
17554,8100,0,61034,13,0,0,0,0,0,0,1,117,0,8,1,1,0
3128,2546,0,9840,14,0,0,0,0,0,0,1,24,0,4,1,1,1
564,2894,0,2802,1,0,0,0,0,0,0,1,52,0,12,1,1,1
5,92,0,90,0,0,0,0,0,0,0,1,17,0,11,1,1,0
532,1965,0,12312,4,0,0,0,0,0,0,1,11,0,4,1,1,1
461,461,0,385,8,0,0,0,0,0,0,1,135,0,16,1,1,1
4355884,533,0,11780,10071,1,0,0,0,0,0,1,133,0,19,1,1,0
4481,4750,0,10816,31,0,0,0,0,0,0,1,140,0,13,1,1,1
793,928,0,9813,1,0,0,0,0,0,0,1,79,0,16,1,1,1
4136,518,0,2517,116,0,0,0,0,0,0,1,121,0,7,1,1,1
11,266,0,49,0,0,0,0,0,0,0,1,35,0,3,1,1,1
26,394,0,353,0,0,0,0,0,0,0,1,114,0,7,1,1,0
3712,772,0,3099,49,1,0,0,0,0,0,0,41,0,13,1,1,0
35,253,0,16,0,0,0,0,0,0,0,1,79,0,16,1,1,0
439,1022,0,302,4,0,0,0,0,0,0,1,90,0,13,0,0,1
0,652,0,2196,68,0,0,0,0,0,0,1,18,0,18,1,1,1
68,247,0,575,0,0,0,0,0,0,0,1,1,0,6,1,1,1
24609,518,0,0,0,0,0,0,0,0,0,1,22,0,16,1,1,1
15791,4364,0,23257,858,1,0,0,0,0,0,1,160,0,12,1,1,0
38243,28007,0,195029,5,0,0,0,0,0,0,1,114,0,27,1,1,1
10738,11589,0,795,3,0,0,0,0,0,0,1,155,0,7,1,1,1
1996045,2462,0,49989,6174,1,0,0,0,0,0,1,127,0,9,1,1,0
351,462,0,6577,0,0,0,0,0,0,0,1,73,0,6,1,1,0
7170,6628,0,3931,201,0,0,0,0,0,0,1,121,0,21,1,1,1
33274,47,0,10177,264,0,0,0,0,0,0,1,107,0,16,1,1,1
4277007,32,0,2088,24784,1,0,0,0,0,0,1,58,0,13,1,1,0
573981,3142,0,16203,1585,1,0,0,0,0,0,1,144,0,16,1,1,0
4376,2238,0,7845,23,0,0,0,0,0,0,1,160,0,5,1,1,1
21049,16844,0,4991,32,0,0,0,0,0,0,1,141,0,10,1,1,1
1012130,984871,0,15558,10541,1,0,0,0,0,0,1,158,0,16,1,1,0
57559,655,0,11738,139,0,0,0,0,0,0,1,95,0,11,1,0,0
1713,3114,0,541,5,0,0,0,0,0,0,1,134,0,9,1,1,1
111057,462,0,7430,2009,1,0,0,0,0,0,1,111,0,12,1,1,0
28461,1353,0,15223,106,1,0,0,0,0,0,1,148,0,12,1,1,0
1915,3196,0,13947,6,0,0,0,0,0,0,1,143,0,21,1,1,1
380,1054,0,115,0,0,0,0,0,0,0,1,36,0,7,1,1,1
231,605,0,4058,10,0,0,0,0,0,0,1,143,0,18,1,1,1
20280,20011,0,10671,7,0,0,0,0,0,0,1,123,0,7,1,1,1
107028,1202,0,10718,1544,1,0,0,0,0,0,1,139,0,11,1,1,0
112,154,0,63,0,0,0,0,0,0,0,1,30,0,8,1,1,0
660,1523,0,56900,20,0,0,0,0,0,0,1,94,0,13,1,1,1
4868,5316,0,9080,2,0,0,0,0,0,0,1,84,0,12,1,1,1
342,1425,0,3852,1,0,0,0,0,0,0,1,101,0,15,1,1,1
160,658,0,1917,1,0,0,0,0,0,0,1,83,0,6,1,1,1
2341,4704,0,28304,7,0,0,0,0,0,0,1,150,0,10,1,1,1
7,27,0,23,0,0,0,0,0,0,0,1,62,0,18,1,1,0
5379,579,0,13965,9,0,0,0,0,0,0,1,8,0,4,1,1,0
499,1697,0,5137,0,0,0,0,0,0,0,1,88,0,7,1,1,0
1,173,0,2,0,0,0,0,0,0,0,1,1,0,12,1,1,1
9190,188,0,5988,46,1,0,0,0,0,0,1,107,0,12,1,1,0
369,9,0,147,0,0,0,0,0,0,0,1,1,0,8,1,1,1
1,740,0,213,0,0,0,0,0,0,0,1,6,0,13,1,1,0
58,56,0,4506,0,0,0,0,0,0,0,1,45,0,14,1,1,0
15231,15223,0,24459,0,0,0,0,0,0,0,1,143,0,6,1,1,1
171,385,0,571,4,0,0,0,0,0,0,1,1,0,8,1,1,1
116442,6080,0,16729,615,0,0,0,0,0,0,1,161,0,20,1,1,1
3987,3908,0,95352,17,0,0,0,0,0,0,1,15,0,11,1,1,1
1038,49,0,4585,6,0,0,0,0,0,0,1,22,0,12,1,1,0
949,744,0,5572,1,0,0,0,0,0,0,1,40,0,13,1,1,1
12254,25,0,14,30,0,0,0,0,0,0,1,10,0,8,1,1,0
26434,448,0,11987,205,1,0,0,0,0,0,1,17,0,16,1,1,0
8304,63,0,1396,10,0,0,0,0,0,0,1,148,0,23,1,1,1
8094486,231,0,20543,6108,1,0,0,0,0,0,1,58,0,15,1,1,0
0,20,0,33,0,0,0,0,0,0,0,1,1,0,19,1,1,0
216505,57722,0,27446,2027,1,0,0,0,0,0,1,161,0,12,1,1,0
123,947,0,37,0,0,0,0,0,0,0,1,146,0,14,1,1,1
12369,11048,0,45870,743,0,0,0,0,0,0,1,86,0,17,1,1,1
875,4388,0,103,0,0,0,0,0,0,0,1,76,0,11,1,1,1
351,334,0,177,0,0,0,0,0,0,0,1,139,0,13,1,1,1
751,342,0,2080,21,0,0,0,0,0,0,1,31,0,20,1,1,1
129,744,0,379,1,0,0,0,0,0,0,1,1,0,16,1,1,1
54,788,0,56,0,0,0,0,0,0,0,1,1,0,3,1,1,1
10172,885,0,5444,237,1,0,0,0,0,0,1,153,0,12,1,0,0
3137497,230,0,74090,1559,1,0,0,0,0,0,1,124,0,14,1,1,0
388,1838,0,8534,10,0,0,0,0,0,0,1,113,0,9,1,1,0
5810219,905,0,405414,201097,1,0,0,0,0,0,1,158,0,19,1,0,0
8344490,2976,0,47277,4774,1,0,0,0,0,0,1,90,0,18,1,1,0
1350,1732,0,6121,41,0,0,0,0,0,0,1,55,0,12,1,1,0
111,396,0,317,3,0,0,0,0,0,0,1,125,0,8,1,1,1
16,204,0,10,0,0,0,0,0,0,0,1,1,0,15,1,1,1
65,148,0,193,1,0,0,0,0,0,0,1,88,0,36,1,1,1
6,182,0,35,0,0,0,0,0,0,0,1,97,0,31,1,1,1
1,113,0,0,0,0,0,0,0,0,0,1,4,0,16,1,1,1
195,1121,0,16,0,0,0,0,0,0,0,1,80,0,20,1,1,1
90053,156,0,1039,538,0,0,0,0,0,0,0,161,0,13,0,1,1
249,293,0,873,1,0,0,0,0,0,0,1,115,0,16,1,1,1
114,448,0,39,0,0,0,0,0,0,0,1,41,0,12,1,1,1
2829,789,0,211695,133,0,0,0,0,0,0,1,50,0,6,1,1,1
14,509,0,106,0,0,0,0,0,0,0,1,1,0,6,1,1,0
16931,2543,0,7856,450,1,0,0,0,0,0,1,94,0,14,1,1,0
851312,1843,0,21404,3706,1,0,0,0,0,0,1,148,0,13,1,1,0
434,742,0,467,0,0,0,0,0,0,0,1,25,0,11,1,1,0
38,447,0,19,0,0,0,0,0,0,0,0,115,0,6,1,1,1
10227,8266,0,3279,7,0,0,0,0,0,0,1,154,0,14,1,1,1
19,81,0,4,0,0,0,0,0,0,0,1,1,0,21,1,1,1
5276,6032,0,213,10,0,0,0,0,0,0,0,1,0,11,0,1,1
9,346,0,23,0,0,0,0,0,0,0,1,161,0,6,1,1,0
45,474,0,3456,0,0,0,0,0,0,0,1,131,0,13,1,1,0
100,224,0,328,2,0,0,0,0,0,0,1,1,0,16,1,1,1
411,125,0,1515,19,0,0,0,0,0,0,1,89,0,15,1,1,0
781,404,0,3426,14,0,0,0,0,0,0,1,101,0,12,1,1,0
26327,291,0,32528,288,1,0,0,0,0,0,1,159,0,20,1,1,0
332,758,0,4399,11,0,0,0,0,0,0,1,83,0,12,1,1,1
31352,50733,0,1194,163,0,0,0,0,0,0,1,154,0,15,1,1,1
19738,19614,0,59913,0,0,0,0,0,0,0,1,156,0,35,1,1,1
383344,565,0,320237,1481,1,0,0,0,0,0,1,109,0,10,1,1,0
0,306,0,8378,0,0,0,0,0,0,0,1,88,0,8,1,0,0
4491,376,0,0,1,0,0,0,0,0,0,1,139,0,27,1,1,0
1123,1641,0,727,0,0,0,0,0,0,0,1,73,0,10,1,1,1
254,4967,0,3758,3,0,0,0,0,0,0,1,64,0,11,1,1,1
18,148,0,156,0,0,0,0,0,0,0,1,31,0,8,1,1,1
452095,1526,0,2262,2593,1,0,0,0,0,0,1,147,0,12,1,1,0
19582,16095,0,28401,26,0,0,0,0,0,0,1,118,0,22,1,1,1
124,69,0,2221,6,0,0,0,0,0,0,1,1,0,13,1,1,1
4,90,0,1,0,0,0,0,0,0,0,1,6,0,16,1,1,0
1354770,71,0,635,1411,1,0,0,0,0,0,1,158,0,13,1,1,0
18,45,0,38,3,0,0,0,0,0,0,1,1,0,9,1,1,1
4150796,377,0,48882,10543,1,0,0,0,0,0,1,70,0,17,1,1,0
14,220,0,5,0,0,0,0,0,0,0,1,108,0,13,1,1,1
90,302,0,326,2,0,0,0,0,0,0,1,153,0,9,1,1,0
196,289,0,4180,0,0,0,0,0,0,0,1,1,0,18,1,1,1
244,572,0,39894,64,0,0,0,0,0,0,1,151,0,12,1,1,1
1219017,1193,0,56771,15197,1,0,0,0,0,0,1,148,0,11,1,1,0
421,1169,0,46443,13,0,0,0,0,0,0,1,143,0,12,1,1,0
24218,254,0,9,0,0,0,0,0,0,0,1,16,0,14,1,1,0
323,162,0,2400,1,0,0,0,0,0,0,1,29,0,21,1,1,1
35558,1723,0,17348,193,1,0,0,0,0,0,1,89,0,22,1,1,0
3919436,896,0,54490,9933,1,0,0,0,0,0,1,32,0,12,1,1,0
489,880,0,8597,35,0,0,0,0,0,0,1,80,0,19,1,1,1
308,433,0,1594,6,0,0,0,0,0,0,1,1,0,21,1,1,1
3941828,652,0,16482,6809,1,0,0,0,0,0,1,152,0,16,1,1,0
37,166,0,38,0,0,0,0,0,0,0,1,1,0,10,1,1,1
1419,1523,0,8043,89,0,0,0,0,0,0,1,154,0,9,1,1,1
1699,148,0,883,54,0,0,0,0,0,0,1,83,0,16,1,1,1
13418,680,0,16282,385,1,0,0,0,0,0,1,161,0,14,1,1,0
4604466,7,0,14940,1591,1,0,0,0,0,0,1,34,0,4,1,1,0
10651,2691,0,6928,465,0,0,0,0,0,0,1,159,0,16,1,1,1
1035,1347,0,2084,32,0,0,0,0,0,0,1,151,0,16,1,1,1
433,359,0,1134,8,0,0,0,0,0,0,1,17,0,12,1,1,1
242,106,0,424,3,0,0,0,0,0,0,1,120,0,14,1,1,1
457,860,0,2000,0,0,0,0,0,0,0,1,43,0,12,1,1,1
9,197,0,3,0,0,0,0,0,0,0,1,1,0,15,1,1,1
26481,32499,0,4693,63,0,0,0,0,0,0,1,64,0,6,0,0,0
1039361,613,0,5015,3594,1,0,0,0,0,0,1,30,0,15,1,1,0
3796,2069,0,1815,41,0,0,0,0,0,0,1,144,0,14,1,1,0
257,1404,0,1425,2,0,0,0,0,0,0,1,1,0,4,1,1,1
60471,681,0,8431,1163,1,0,0,0,0,0,1,158,0,20,1,1,0
5551620,398,0,6662,13247,1,0,0,0,0,0,1,72,0,11,1,1,0
3931,854,0,345,15,0,0,0,0,0,0,1,125,0,12,1,1,1
398,1603,0,8010,7,0,0,0,0,0,0,1,126,0,47,1,1,1
322210,528,0,4662,292,1,0,0,0,0,0,1,76,0,26,1,1,0
289443,191,0,1248,424,1,0,0,0,0,0,1,29,0,15,1,1,0
813,1062,0,1321,60,0,0,0,0,0,0,1,48,0,12,1,1,0
1655,1912,0,8985,4,0,0,0,0,0,0,1,23,0,11,1,1,1
87077,3598,0,25104,592,1,0,0,0,0,0,1,121,0,18,1,1,0
1446,1996,0,7174,48,0,0,0,0,0,0,1,160,0,19,1,1,1
13466,749,0,261230,134,0,0,0,0,0,0,1,100,0,12,1,1,0
2626,3086,0,36666,120,1,0,0,0,0,0,1,96,0,12,1,1,0
4,104,0,74,0,0,0,0,0,0,0,1,1,0,13,1,1,1
8,1521,0,293,0,0,0,0,0,0,0,1,58,0,13,1,1,1
52627,52408,0,33128,23,0,0,0,0,0,0,1,157,0,19,1,1,1
18200,18421,0,21970,2,0,0,0,0,0,0,1,41,0,14,1,1,1
2,91,0,110,0,0,0,0,0,0,0,1,96,0,4,1,1,0
4469,222,0,7217,47,0,0,0,0,0,0,1,124,0,25,1,0,1
0,198,0,0,0,0,0,0,0,0,0,1,14,0,10,1,1,0
3670,9,0,154,27,1,0,0,0,0,0,1,121,0,14,1,1,0
16151,90,0,483,3,0,0,0,0,0,0,1,134,0,15,1,1,0
327,1434,0,1127,0,0,0,0,0,0,0,1,19,0,7,1,1,1
3479,2048,0,13536,0,0,0,0,0,0,0,1,121,0,13,1,1,1
596,1175,0,724,9,0,0,0,0,0,0,1,97,0,12,1,1,0
17,370,0,54,1,0,0,0,0,0,0,1,101,0,12,0,1,1
74,1731,0,154,0,0,0,0,0,0,0,1,111,0,19,1,1,1
7508104,6,0,5940,9024,1,0,0,0,0,0,1,143,0,14,1,1,0
19263,1370,0,32402,313,1,0,0,0,0,0,1,171,0,15,1,1,0
4681748,827,0,90304,9764,1,0,0,0,0,0,1,23,0,7,1,1,0
306,744,0,284,6,0,0,0,0,0,0,1,70,0,12,1,1,1
1251,2253,0,2856,0,0,0,0,0,0,0,1,128,0,14,1,1,0
815,2693,0,8540,0,0,0,0,0,0,0,1,161,0,13,1,1,1
1037,0,0,242,0,0,0,0,0,0,0,0,88,0,14,1,1,1
1413,2622,0,4125,0,0,0,0,0,0,0,1,156,0,21,1,1,1
12534,13765,0,59531,150,0,0,0,0,0,0,1,161,0,14,1,1,1
1950813,61,0,793775,4684,1,0,0,0,0,0,1,57,0,10,1,1,0
766,2602,0,989,0,0,0,0,0,0,0,1,1,0,6,1,1,1
431,535,0,7254,5,0,0,0,0,0,0,1,54,0,11,1,1,0
1140,3630,0,1468,0,0,0,0,0,0,0,1,68,0,7,1,1,1
2976,2715,0,1549,6,0,0,0,0,0,0,1,107,0,10,1,1,1
104732,200,0,7498,1981,1,0,0,0,0,0,0,138,0,16,1,1,0
1554,2104,0,45197,62,0,0,0,0,0,0,1,17,0,14,1,1,1
8,173,0,156,0,0,0,0,0,0,0,1,26,0,4,1,1,1
4,406,0,77,0,0,0,0,0,0,0,1,5,0,11,1,1,1
98370,198,0,363,395,0,0,0,0,0,0,1,54,0,12,1,1,1
193287,554,0,23094,527,1,0,0,0,0,0,1,91,0,12,1,1,0
143,243,0,2529,0,0,0,0,0,0,0,1,32,0,4,1,1,0
1814910,6366,0,164048,11169,1,0,0,0,0,0,1,160,0,9,1,1,0
274,322,0,782,4,0,0,0,0,0,0,0,157,0,17,1,1,1
309400,728,0,24907,470,1,0,0,0,0,0,1,60,0,10,1,1,0
1204,574,0,18355,19,0,0,0,0,0,0,1,4,0,6,1,1,1
26,66,0,7,0,0,0,0,0,0,0,1,1,0,5,1,1,0
238,2371,0,2566,2,0,0,0,0,0,0,1,1,0,7,1,1,1
1535,839,0,736,50,0,0,0,0,0,0,1,14,0,12,1,0,1
3896,1180,0,7096,144,0,0,0,0,0,0,1,84,0,11,1,1,1
344,515,0,26,0,0,0,0,0,0,0,1,149,0,5,1,1,1
429,405,0,51,0,0,0,0,0,0,0,1,1,0,9,0,1,1
58837,53508,0,8055,44,0,0,0,0,0,0,1,151,0,42,1,1,1
1024,1517,0,67332,0,0,0,0,0,0,0,0,143,0,17,1,1,1
56,162,0,826,0,0,0,0,0,0,0,1,71,0,13,1,1,1
144,1486,0,181,0,0,0,0,0,0,0,1,1,0,13,1,1,1
6258,6131,0,6683,2,0,0,0,0,0,0,1,46,0,21,1,1,0
10,293,0,228,0,0,0,0,0,0,0,1,79,0,14,1,0,1
3772,1876,0,18057,0,0,0,0,0,0,0,1,99,0,15,1,1,1
113592,48,0,31254,904,0,0,0,0,0,0,1,77,0,15,1,1,1
6363,536,0,1706,47,0,0,0,0,0,0,1,118,0,17,1,1,1
936,1004,0,4538,0,0,0,0,0,0,0,1,27,0,8,1,1,1
94277,4487,0,29246,1040,1,0,0,0,0,0,1,116,0,21,1,1,0
1113,1310,0,243,0,0,0,0,0,0,0,1,56,0,8,1,1,1
45487,998,0,9330,167,1,0,0,0,0,0,1,117,0,17,1,1,0
166761,169821,0,384339,429,1,0,0,0,0,0,1,94,0,3,1,1,0
4132,4186,0,8898,139,0,0,0,0,0,0,1,104,0,14,1,1,1
891029,1836,0,25686,3773,1,0,0,0,0,0,1,63,0,19,1,1,0
46,209,0,138,0,0,0,0,0,0,0,1,50,0,5,1,1,1
37940,23384,0,31291,70,0,0,0,0,0,0,1,146,0,13,1,1,1
239,255,0,0,2,0,0,0,0,0,0,1,155,0,13,1,0,1
4151556,166,0,560,8920,1,0,0,0,0,0,1,30,0,16,1,1,0
134,52,0,2478,0,0,0,0,0,0,0,1,27,0,14,1,1,0
108,883,0,4372,0,0,0,0,0,0,0,1,1,0,13,1,1,1
3554,4779,0,16442,3,0,0,0,0,0,0,1,160,0,12,1,1,1
1550,1020,0,860,45,0,0,0,0,0,0,1,32,0,15,1,1,1
295394,3468,0,5424,3370,1,0,0,0,0,0,1,159,0,18,1,1,0
33,88,0,112,0,0,0,0,0,0,0,1,61,0,16,1,1,1
67356,4876,0,21492,787,0,0,0,0,0,0,1,115,0,26,1,1,1
13091,12500,0,44012,3,0,0,0,0,0,0,1,152,0,10,1,1,1
1,37,0,0,0,0,0,0,0,0,0,1,29,0,15,1,1,1
1821471,207,0,14373,12596,1,0,0,0,0,0,1,138,0,28,1,1,0
206,1049,0,187,7,0,0,0,0,0,0,1,65,0,16,1,1,1
1812,1081,0,23666,0,0,0,0,0,0,0,1,29,0,18,1,1,0
1533,2268,0,58688,6,0,0,0,0,0,0,1,1,0,14,1,1,0
16547,1,0,5,72,1,0,0,0,0,0,1,96,0,12,1,1,0
16666,1302,0,20340,374,1,0,0,0,0,0,1,119,0,16,1,1,0
806,326,0,210,43,0,0,0,0,0,0,1,76,0,10,1,1,1
84,847,0,2352,0,0,0,0,0,0,0,1,27,0,7,1,1,1
1496,1780,0,37891,64,0,0,0,0,0,0,1,49,0,5,1,1,1
80,427,0,144,0,0,0,0,0,0,0,1,30,0,11,1,1,1
78,390,0,423,0,0,0,0,0,0,0,1,100,0,17,1,1,0
1152,3163,0,31,0,0,0,0,0,0,0,1,113,0,10,1,1,0
5011,203,0,8195,22,0,0,0,0,0,0,1,120,0,10,1,1,0
377,468,0,18820,43,0,0,0,0,0,0,1,45,0,6,1,1,1
730,1051,0,23451,2,0,0,0,0,0,0,1,142,0,15,1,1,1
50784,760,0,20797,757,1,0,0,0,0,0,1,70,0,19,1,1,0
2899,3276,0,7645,39,0,0,0,0,0,0,1,156,0,9,0,1,1
7,243,0,55,0,0,0,0,0,0,0,1,93,0,8,1,1,1
1378,771,0,6813,0,0,0,0,0,0,0,1,138,0,23,1,1,1
13307,13517,0,39800,5,0,0,0,0,0,0,1,158,0,20,1,1,0
146743,167,0,47927,2675,1,0,0,0,0,0,1,130,0,14,1,1,0
1,4,0,4,0,0,0,0,0,0,0,1,1,0,2,1,1,1
3527,2282,0,331,30,0,0,0,0,0,0,1,1,0,14,1,1,1
71687,2128,0,18806,747,1,0,0,0,0,0,1,24,0,16,1,1,0
41021,1895,0,8270,1421,1,0,0,0,0,0,1,156,0,12,1,1,0
88976,540,0,4701,637,0,0,0,0,0,0,1,139,0,20,1,1,1
73112,1407,0,31225,704,1,0,0,0,0,0,1,149,0,11,1,1,0
435,2138,0,115,0,0,0,0,0,0,0,1,1,0,17,1,1,1
525,0,0,187,41,0,0,0,0,0,0,1,159,0,18,1,1,1
11145,3271,0,17834,2,0,0,0,0,0,0,1,1,0,10,1,1,1
3373,711,0,1448,66,0,0,0,0,0,0,1,160,0,10,1,1,1
766714,1670,0,30681,6943,1,0,0,0,0,0,1,137,0,9,1,1,0
107,409,0,46,0,0,0,0,0,0,0,0,73,0,28,1,1,0
14141,769,0,15400,211,1,0,0,0,0,0,1,85,0,16,1,1,0
2204318,2087,0,35219,5446,1,0,0,0,0,0,1,86,0,10,1,1,0
8,34,0,0,0,0,0,0,0,0,0,1,1,0,8,1,1,1
53,54,0,37,0,0,0,0,0,0,0,1,148,0,20,1,1,1
322,122,0,896,25,1,0,0,0,0,0,1,124,0,10,1,1,0
4955,4473,0,6615,8,0,0,0,0,0,0,1,21,0,3,1,1,1
167,764,0,120,4,0,0,0,0,0,0,1,1,0,15,1,1,1
3844564,506,0,155129,25913,1,0,0,0,0,0,1,70,0,21,1,1,0
99705,108068,0,7161,898,0,0,0,0,0,0,1,121,0,5,1,1,1
389224,370062,0,46301,109,0,0,0,0,0,0,1,61,0,13,1,1,1
1192,2469,0,8772,4,0,0,0,0,0,0,0,69,0,20,1,1,1
70,355,0,114,3,0,0,0,0,0,0,1,59,0,19,1,1,1
434676,597,0,15252,512,1,0,0,0,0,0,1,133,0,18,1,1,0
26,8,0,10,0,0,0,0,0,0,0,1,93,0,20,1,1,1
2274905,986,0,67570,6715,1,0,0,0,0,0,0,61,0,6,1,1,0
2587,2037,0,11479,4,0,0,0,0,0,0,1,78,0,16,1,1,1
1423793,4515,0,242046,15597,1,0,0,0,0,0,1,111,0,16,1,1,0
48,171,0,94,0,0,0,0,0,0,0,1,124,0,11,1,1,0
52512,51224,0,1694,26,0,0,0,0,0,0,1,170,0,12,1,1,1
1802178,214,0,32559,526,1,0,0,0,0,0,1,161,0,11,1,1,0
2959,912,0,168366,67,0,0,0,0,0,0,1,29,0,14,1,1,0
221,194,0,2091,3,0,0,0,0,0,0,1,53,0,21,1,1,1
679,3834,0,6539,35,0,0,0,0,0,0,1,151,0,20,1,1,1
25975,343,0,8465,40,0,0,0,0,0,0,1,94,0,7,1,1,1
330990,653,0,14876,234,0,0,0,0,0,0,1,122,0,15,1,1,0
6982,1179,0,13480,129,1,0,0,0,0,0,1,154,0,19,1,1,0
199738,484,0,6383,725,1,0,0,0,0,0,1,79,0,15,1,1,0
32,88,0,15,2,0,0,0,0,0,0,1,140,0,20,1,1,1
415,939,0,14522,0,0,0,0,0,0,0,1,72,0,16,0,1,1
37,794,0,7,0,0,0,0,0,0,0,0,29,0,16,1,1,0
6286,5685,0,58471,29,0,0,0,0,0,0,0,84,0,21,1,1,0
2825,373,0,7912,33,0,0,0,0,0,0,1,110,0,10,1,1,1
552,682,0,15078,1,0,0,0,0,0,0,1,109,0,18,1,1,0
1758588,174,0,17140,1095,1,0,0,0,0,0,1,32,0,14,1,1,0
260,356,0,88,0,0,0,0,0,0,0,1,46,0,8,1,1,1
263,2366,0,1835,1,0,0,0,0,0,0,1,100,0,5,1,1,1
27,63,0,22,1,0,0,0,0,0,0,1,1,0,15,1,1,1
35009,621,0,19388,26,0,0,0,0,0,0,1,93,0,7,1,1,1
