manip_index,correct_index,feature,ground_truth,predicted,mismatch_type,record_value,correct_value
1481,493,workclass,1,-1,FN,, Private
1506,502,workclass,1,-1,FN,, Private
1522,507,workclass,-1,1,FP,Pvate, ?
1524,508,workclass,1,-1,FN,, Private
1555,518,workclass,-1,1,FP,Pvate, ?
1558,519,workclass,1,-1,FN,Private—, Private
1578,526,workclass,1,-1,FN,, Private
1604,534,workclass,-1,1,FP,Self-emp-not-inc, ?
1728,576,workclass,1,-1,FN,Private, ?
1782,594,workclass,-1,1,FP,Priv-house-serv, ?
1791,597,workclass,1,-1,FN,, Federal-gov
1887,629,workclass,-1,1,FP,Pri-vate, ?
1901,633,workclass,1,-1,FN,Self-emp-inc, Private
1991,663,workclass,1,-1,FN,Self-emp-inc, Private
2008,669,workclass,1,-1,FN,—, Private
2011,670,workclass,1,-1,FN,—, Private
2013,671,workclass,1,-1,FN,, Private
2091,697,workclass,1,-1,FN,, Private
2100,700,workclass,1,-1,FN,, Private
2131,710,workclass,1,-1,FN,Self-emp-inc, Private
2133,711,workclass,-1,1,FP,Pri-vate, ?
2135,711,workclass,-1,1,FP,Pri-vate, ?
2188,729,workclass,1,-1,FN,, Private
2224,741,workclass,1,-1,FN,—, Private
2235,745,workclass,1,-1,FN,, Private
2243,747,workclass,1,-1,FN,, Private
2252,750,workclass,1,-1,FN,Self-emp-inc, Private
2279,759,workclass,1,-1,FN,, Private
2284,761,workclass,1,-1,FN,, Private
2314,771,workclass,1,-1,FN,—, Private
2317,772,workclass,-1,1,FP,Pvate, ?
2359,786,workclass,1,-1,FN,—, Private
2380,793,workclass,1,-1,FN,Self-emp-inc, Private
2398,799,workclass,1,-1,FN,, Private
2405,801,workclass,1,-1,FN,, Private
2422,807,workclass,1,-1,FN,Self-emp-inc, Self-emp-not-inc
2446,815,workclass,1,-1,FN,—, Private
2451,817,workclass,-1,1,FP,Pri-vate, ?
2460,820,workclass,-1,1,FP,Pri-vate, ?
2461,820,workclass,1,-1,FN,—, ?
2462,820,workclass,-1,1,FP,Pri-vate, ?
2471,823,workclass,1,-1,FN,, State-gov
2492,830,workclass,1,-1,FN,Self-emp-inc, Private
2503,834,workclass,1,-1,FN,Self-emp-inc, Private
2509,836,workclass,1,-1,FN,, Local-gov
2516,838,workclass,1,-1,FN,, Private
2536,845,workclass,1,-1,FN,Self-emp-inc, Private
2581,860,workclass,1,-1,FN,—, Private
2613,871,workclass,-1,1,FP,Pri-vate, ?
2615,871,workclass,1,-1,FN,—, ?
2632,877,workclass,1,-1,FN,Private, ?
2633,877,workclass,1,-1,FN,Private, ?
2659,886,workclass,1,-1,FN,Self-emp-inc, Private
2692,897,workclass,1,-1,FN,—, Private
2777,925,workclass,1,-1,FN,Self-emp-inc, Self-emp-not-inc
2791,930,workclass,-1,1,FP,Pivate, ?
2797,932,workclass,1,-1,FN,—, Private
2799,933,workclass,1,-1,FN,, Self-emp-inc
2812,937,workclass,1,-1,FN,—, Self-emp-not-inc
2821,940,workclass,1,-1,FN,—, Private
2854,951,workclass,1,-1,FN,Self-emp-inc, Private
2881,960,workclass,1,-1,FN,—, Private
2931,977,workclass,1,-1,FN,, Private
2938,979,workclass,1,-1,FN,Self-emp-inc, Private
2946,982,workclass,1,-1,FN,, Self-emp-not-inc
2950,983,workclass,1,-1,FN,Self-emp-inc, Self-emp-not-inc
2979,993,workclass,-1,1,FP,Pri-vate, ?
3011,1003,workclass,1,-1,FN,Self-emp-inc, State-gov
3045,1015,workclass,-1,1,FP,Pri-vate, ?
3047,1015,workclass,-1,1,FP,Pri-vate-not-inc, ?
3107,1035,workclass,1,-1,FN,—, Private
3114,1038,workclass,1,-1,FN,—, ?
3126,1042,workclass,1,-1,FN,, ?
3157,1052,workclass,1,-1,FN,Self-emp-inc, Private
3169,1056,workclass,-1,1,FP,Pivate, ?
3202,1067,workclass,1,-1,FN,—, ?
3208,1069,workclass,-1,1,FP,Pvate, ?
3231,1077,workclass,1,-1,FN,Self-emp-inc, Self-emp-not-inc
3241,1080,workclass,-1,1,FP,?e, ?
3295,1098,workclass,1,-1,FN,Self-emp-inc, Private
3305,1101,workclass,1,-1,FN,Self-emp--, Self-emp-not-inc
3311,1103,workclass,-1,1,FP,Self-emp-not-inc, ?
3337,1112,workclass,1,-1,FN,—, Private
3353,1117,workclass,1,-1,FN,, Private
3358,1119,workclass,1,-1,FN,—, Private
3393,1131,workclass,1,-1,FN,—, State-gov
3448,1149,workclass,1,-1,FN,—, Private
3478,1159,workclass,1,-1,FN,, Federal-gov
3513,1171,workclass,1,-1,FN,, Private
3514,1171,workclass,1,-1,FN,Unknown, Private
3532,1177,workclass,1,-1,FN,—, Private
3564,1188,workclass,-1,1,FP,Self-emp-not-inc, ?
3570,1190,workclass,-1,1,FP,Self-emp-not-inc, ?
3571,1190,workclass,-1,1,FP,Federal-gov, ?
3619,1206,workclass,-1,1,FP,Private, ?
3628,1209,workclass,1,-1,FN,Self-emp-inc, Private
3675,1225,workclass,-1,1,FP,Priv-house-serv, ?
3694,1231,workclass,1,-1,FN,—, Private
3698,1232,workclass,1,-1,FN,State-gov, Private
3735,1245,workclass,1,-1,FN,, Private
3747,1249,workclass,1,-1,FN,, State-gov
3783,1261,workclass,-1,1,FP,Priivate, ?
3785,1261,workclass,-1,1,FP,Priivate-civ-spouse, ?
3808,1269,workclass,1,-1,FN,—, Local-gov
3811,1270,workclass,1,-1,FN,, Private
3826,1275,workclass,1,-1,FN,Self-emp--, Self-emp-not-inc
3835,1278,workclass,1,-1,FN,, Local-gov
3885,1295,workclass,-1,1,FP,Self-emp-not-inc, ?
3886,1295,workclass,-1,1,FP,Private, ?
3901,1300,workclass,1,-1,FN,Self-emp-inc, Private
3915,1305,workclass,-1,1,FP,Tech-support, ?
3945,1315,workclass,1,-1,FN,, Private
4009,1336,workclass,-1,1,FP,Pivate, ?
4031,1343,workclass,1,-1,FN,, Private
4063,1354,workclass,1,-1,FN,, Private
4134,1378,workclass,-1,1,FP,Priivate, ?
4135,1378,workclass,1,-1,FN,—, ?
4136,1378,workclass,-1,1,FP,Priivatee, ?
4147,1382,workclass,1,-1,FN,Self-emp-inc, Private
4152,1384,workclass,-1,1,FP,Pri-vate, ?
4153,1384,workclass,1,-1,FN,—, ?
4156,1385,workclass,1,-1,FN,Self-emp--, Self-emp-inc
4163,1387,workclass,1,-1,FN,, Federal-gov
4176,1392,workclass,1,-1,FN,, ?
4204,1401,workclass,1,-1,FN,—, Private
4207,1402,workclass,1,-1,FN,, Federal-gov
4245,1415,workclass,-1,1,FP,Priuate, ?
4251,1417,workclass,1,-1,FN,, Self-emp-not-inc
4258,1419,workclass,1,-1,FN,Self-emp-inc, Private
4324,1441,workclass,-1,1,FP,Self-emp-nict-inc, Self-emp-not-inc
4351,1450,workclass,-1,1,FP,Pivate, ?
4360,1453,workclass,-1,1,FP,Pvate, ?
4413,1471,workclass,1,-1,FN,—, ?
4416,1472,workclass,1,-1,FN,, State-gov
4420,1473,workclass,1,-1,FN,Self-emp-inc, Private
4434,1478,workclass,1,-1,FN,—, ?
4474,1491,workclass,1,-1,FN,—, Private
4485,1495,workclass,1,-1,FN,, ?
4491,1497,workclass,1,-1,FN,, Private
4497,1499,workclass,1,-1,FN,—, ?
4528,1509,workclass,1,-1,FN,—, Local-gov
4639,1546,workclass,-1,1,FP,Pvate, ?
4735,1578,workclass,1,-1,FN,—, Private
4739,1579,workclass,1,-1,FN,, Private
4803,1601,workclass,1,-1,FN,, Self-emp-inc
4897,1632,workclass,-1,1,FP,Pvtate, ?
4913,1637,workclass,1,-1,FN,Self-emp-inc, Private
4915,1638,workclass,1,-1,FN,—, Private
4917,1639,workclass,1,-1,FN,, Federal-gov
4980,1660,workclass,-1,1,FP,Pri-vate, ?
4981,1660,workclass,1,-1,FN,—, ?
4982,1660,workclass,-1,1,FP,Private, ?
5008,1669,workclass,1,-1,FN,—, Local-gov
5030,1676,workclass,1,-1,FN,Self-emp-inc, Private
5047,1682,workclass,1,-1,FN,—, Private
5077,1692,workclass,1,-1,FN,—, Private
5099,1699,workclass,1,-1,FN,Self-emp-inc, Local-gov
5167,1722,workclass,1,-1,FN,, Private
5176,1725,workclass,1,-1,FN,—, Private
5194,1731,workclass,1,-1,FN,, Private
5217,1739,workclass,-1,1,FP,Tech-support, ?
5218,1739,workclass,1,-1,FN,, ?
5284,1761,workclass,-1,1,FP,Pivate, ?
5287,1762,workclass,1,-1,FN,—, Private
5347,1782,workclass,-1,1,FP,Pivate, ?
5415,1805,workclass,1,-1,FN,, ?
5417,1805,workclass,1,-1,FN,—, ?
5440,1813,workclass,-1,1,FP,Pvate, ?
5467,1822,workclass,1,-1,FN,Self-emp--, Self-emp-not-inc
5502,1834,workclass,-1,1,FP,Pri-vate, ?
5515,1838,workclass,1,-1,FN,—, Private
5528,1842,workclass,1,-1,FN,, Private
5533,1844,workclass,1,-1,FN,Self-emp-inc, Private
5657,1885,workclass,1,-1,FN,, Self-emp-inc
5667,1889,workclass,-1,1,FP,Pri-vate, ?
5669,1889,workclass,-1,1,FP,?ate-gov, ?
5700,1900,workclass,-1,1,FP,Self-emp-not-inc, ?
5713,1904,workclass,1,-1,FN,—, Private
5733,1911,workclass,-1,1,FP,Self-emp-not-inc, ?
5738,1912,workclass,1,-1,FN,, Private
5744,1914,workclass,1,-1,FN,Self-emp-inc, Private
5749,1916,workclass,-1,1,FP,Pvate, ?
5768,1922,workclass,1,-1,FN,Self-emp-inc, Private
5792,1930,workclass,1,-1,FN,Unknown, ?
5812,1937,workclass,1,-1,FN,, Private
5823,1941,workclass,1,-1,FN,Self-emp-inc, Self-emp-not-inc
5871,1957,workclass,-1,1,FP,Tech-support, ?
5873,1957,workclass,1,-1,FN,, ?
5929,1976,workclass,-1,1,FP,Pivate, ?
5930,1976,workclass,1,-1,FN,, ?
5953,1984,workclass,1,-1,FN,—, Private
5987,1995,workclass,1,-1,FN,, Private
5995,1998,workclass,1,-1,FN,Self-emp--inc, Self-emp-not-inc
6031,2010,workclass,1,-1,FN,Self-emp-inc, Self-emp-not-inc
6039,2013,workclass,1,-1,FN,, ?
6040,2013,workclass,-1,1,FP,?at, ?
6052,2017,workclass,1,-1,FN,, Local-gov
6074,2024,workclass,1,-1,FN,Self-emp-inc, Private
6089,2029,workclass,1,-1,FN,, ?
6108,2036,workclass,1,-1,FN,, Private
6134,2044,workclass,1,-1,FN,Self-emp--, Self-emp-not-inc
6193,2064,workclass,1,-1,FN,—, Local-gov
6199,2066,workclass,1,-1,FN,—, Private
6214,2071,workclass,1,-1,FN,Self-emp-inc, Private
6226,2075,workclass,1,-1,FN,, Private
6252,2084,workclass,1,-1,FN,, Private
6319,2106,workclass,1,-1,FN,—, Private
6353,2117,workclass,1,-1,FN,, Private
6379,2126,workclass,1,-1,FN,—, Private
6384,2128,workclass,1,-1,FN,, Self-emp-not-inc
6473,2157,workclass,1,-1,FN,Without-pay, Private
6505,2168,workclass,-1,1,FP,Private, ?
6508,2169,workclass,1,-1,FN,Self-emp--, Self-emp-inc
6510,2170,workclass,1,-1,FN,, Private
6522,2174,workclass,1,-1,FN,, ?
6527,2175,workclass,1,-1,FN,, ?
6544,2181,workclass,-1,1,FP,Pvate, ?
6568,2189,workclass,1,-1,FN,Self-emp-inc, Private
6609,2203,workclass,1,-1,FN,, State-gov
6701,2233,workclass,1,-1,FN,, Private
6739,2246,workclass,1,-1,FN,, Private
6775,2258,workclass,1,-1,FN,—, Private
6780,2260,workclass,-1,1,FP,Pri-vate, ?
6781,2260,workclass,1,-1,FN,—, ?
6782,2260,workclass,1,-1,FN,Unknown, ?
6799,2266,workclass,1,-1,FN,—, Private
6807,2269,workclass,-1,1,FP,Pri-vate, ?
6809,2269,workclass,-1,1,FP,Pri-vate, ?
6810,2270,workclass,-1,1,FP,Privat, ?
6815,2271,workclass,-1,1,FP,State-gov, ?
6849,2283,workclass,1,-1,FN,, Self-emp-not-inc
6858,2286,workclass,-1,1,FP,Priivate, ?
6859,2286,workclass,-1,1,FP,?rvate, ?
6878,2292,workclass,1,-1,FN,, Private
6984,2328,workclass,1,-1,FN,, Local-gov
6986,2328,workclass,1,-1,FN,—, Local-gov
6989,2329,workclass,-1,1,FP,Self-emp-not-inc, Private
7046,2348,workclass,1,-1,FN,, Private
7070,2356,workclass,1,-1,FN,Self-emp-inc, Private
7089,2363,workclass,-1,1,FP,Priv-ate, ?
7090,2363,workclass,-1,1,FP,Private, ?
7125,2375,workclass,1,-1,FN,, State-gov
7152,2384,workclass,-1,1,FP,Pri-vate, ?
7163,2387,workclass,1,-1,FN,Self-emp-inc, Self-emp-not-inc
7173,2391,workclass,-1,1,FP,Priivate, ?
7175,2391,workclass,-1,1,FP,Priate-w, ?
7200,2400,workclass,1,-1,FN,, Private
7233,2411,workclass,1,-1,FN,, Private
7251,2417,workclass,-1,1,FP,Priivate, ?
7253,2417,workclass,-1,1,FP,Priivate, ?
7310,2436,workclass,1,-1,FN,, Private
7344,2448,workclass,-1,1,FP,Self-emp-not-inc, ?
7395,2465,workclass,1,-1,FN,, ?
7397,2465,workclass,-1,1,FP,Self-emp-not-inc, ?
7399,2466,workclass,-1,1,FP,Pvtate, ?
7414,2471,workclass,1,-1,FN,—, Private
7422,2474,workclass,1,-1,FN,, Private
7459,2486,workclass,1,-1,FN,Self-emp-inc, Private
7496,2498,workclass,1,-1,FN,Self-emp-inc, Self-emp-not-inc
7535,2511,workclass,1,-1,FN,Self-emp-inc, Private
7545,2515,workclass,-1,1,FP,Priv-house-serv, ?
7639,2546,workclass,1,-1,FN,Self-emp-inc, State-gov
7644,2548,workclass,-1,1,FP,Sel-emp-not-inc, ?
7646,2548,workclass,-1,1,FP,Self-emp-inc, ?
7654,2551,workclass,-1,1,FP,Pvate, ?
7665,2555,workclass,1,-1,FN,, Private
7671,2557,workclass,-1,1,FP,Privte, ?
7677,2559,workclass,1,-1,FN,, Self-emp-inc
7699,2566,workclass,1,-1,FN,—, Private
7701,2567,workclass,1,-1,FN,, Private
7771,2590,workclass,-1,1,FP,Pvate, ?
7813,2604,workclass,1,-1,FN,, Local-gov
7860,2620,workclass,1,-1,FN,, Private
7864,2621,workclass,-1,1,FP,Pivate, ?
7898,2632,workclass,1,-1,FN,, Private
7906,2635,workclass,-1,1,FP,Pivate, ?
7955,2651,workclass,1,-1,FN,—, Private
7976,2658,workclass,1,-1,FN,Self-emp-inc, Private
8078,2692,workclass,1,-1,FN,—, Local-gov
8109,2703,workclass,-1,1,FP,Priv-ate, ?
8119,2706,workclass,1,-1,FN,Self-emp-inc, Private
8129,2709,workclass,1,-1,FN,, Private
8149,2716,workclass,-1,1,FP,Private, ?
8158,2719,workclass,-1,1,FP,Pivate, ?
8167,2722,workclass,1,-1,FN,—, Private
8169,2723,workclass,1,-1,FN,Private, ?
8170,2723,workclass,1,-1,FN,Private, ?
8186,2728,workclass,1,-1,FN,Self-emp-inc, Private
8212,2737,workclass,1,-1,FN,, Self-emp-inc
8263,2754,workclass,1,-1,FN,—, Local-gov
8269,2756,workclass,1,-1,FN,Self-emp-inc, Private
8287,2762,workclass,1,-1,FN,, Private
8291,2763,workclass,1,-1,FN,Self-emp-inc, Private
8332,2777,workclass,-1,1,FP,Private, ?
8335,2778,workclass,1,-1,FN,Self-emp-inc, Private
8342,2780,workclass,1,-1,FN,, Private
8376,2792,workclass,-1,1,FP,Self-emp-not-inc, ?
8378,2792,workclass,-1,1,FP,Self-emp-inc, ?
8385,2795,workclass,1,-1,FN,, Local-gov
8388,2796,workclass,1,-1,FN,, Private
8437,2812,workclass,1,-1,FN,—, Private
8506,2835,workclass,-1,1,FP,Pivate, ?
8514,2838,workclass,1,-1,FN,, Private
8520,2840,workclass,1,-1,FN,, ?
8559,2853,workclass,1,-1,FN,, Self-emp-inc
8567,2855,workclass,1,-1,FN,Self-emp-—, Self-emp-not-inc
8614,2871,workclass,-1,1,FP,Pvate, ?
8622,2874,workclass,1,-1,FN,, Private
8664,2888,workclass,1,-1,FN,, Private
8674,2891,workclass,1,-1,FN,Self-emp--inc, Self-emp-not-inc
8699,2899,workclass,1,-1,FN,, Private
8703,2901,workclass,1,-1,FN,, Local-gov
8842,2947,workclass,1,-1,FN,, Local-gov
8865,2955,workclass,-1,1,FP,Wihtout-pay, ?
8866,2955,workclass,-1,1,FP,Federal-gov, ?
8878,2959,workclass,1,-1,FN,—, Private
8926,2975,workclass,-1,1,FP,Pvate, ?
8962,2987,workclass,-1,1,FP,Pvate, ?
8979,2993,workclass,1,-1,FN,—, Local-gov
9001,3000,workclass,1,-1,FN,, Private
9051,3017,workclass,-1,1,FP,Priv-hous-serv, ?
9055,3018,workclass,1,-1,FN,—, Private
9064,3021,workclass,1,-1,FN,—, Private
9114,3038,workclass,1,-1,FN,, Federal-gov
9131,3043,workclass,1,-1,FN,, Private
9172,3057,workclass,1,-1,FN,—, Local-gov
9188,3062,workclass,1,-1,FN,Self-emp-inc, Private
9196,3065,workclass,1,-1,FN,, Private
9232,3077,workclass,1,-1,FN,—, Private
9310,3103,workclass,1,-1,FN,Self-emp--, Self-emp-inc
9355,3118,workclass,1,-1,FN,—, Local-gov
9370,3123,workclass,1,-1,FN,—, Private
9405,3135,workclass,-1,1,FP,Priv-house-serv, ?
9406,3135,workclass,-1,1,FP,Self-emp-inc, ?
9418,3139,workclass,-1,1,FP,Pvate, ?
9420,3140,workclass,1,-1,FN,Self-emp-inc, Self-emp-not-inc
9437,3145,workclass,1,-1,FN,—, Private
9438,3146,workclass,1,-1,FN,, Private
9444,3148,workclass,1,-1,FN,, Private
9472,3157,workclass,1,-1,FN,, Local-gov
9503,3167,workclass,-1,1,FP,Self-emp-not-inc, Self-emp-inc
9512,3170,workclass,1,-1,FN,, Private
9540,3180,workclass,1,-1,FN,, Self-emp-not-inc
9557,3185,workclass,1,-1,FN,, Private
9598,3199,workclass,1,-1,FN,—, ?
9616,3205,workclass,1,-1,FN,—, State-gov
9635,3211,workclass,1,-1,FN,, ?
9638,3212,workclass,1,-1,FN,, Private
9655,3218,workclass,1,-1,FN,, ?
9728,3242,workclass,1,-1,FN,Self-emp-inc, Private
9753,3251,workclass,1,-1,FN,Self-emp-inc, Self-emp-not-inc
9765,3255,workclass,1,-1,FN,, Self-emp-not-inc
9791,3263,workclass,1,-1,FN,, Private
9816,3272,workclass,1,-1,FN,, ?
9879,3293,workclass,-1,1,FP,Pri-vate, ?
9915,3305,workclass,1,-1,FN,, Private
9950,3316,workclass,1,-1,FN,, Private
9979,3326,workclass,1,-1,FN,—, Private
9984,3328,workclass,-1,1,FP,Self-emp-not-inc, ?
10032,3344,workclass,1,-1,FN,, ?
10088,3362,workclass,1,-1,FN,Self-emp-inc, Private
10143,3381,workclass,-1,1,FP,Private, ?
10152,3384,workclass,-1,1,FP,Self-emp-not-inc, ?
10272,3424,workclass,-1,1,FP,Self-emp-not-inc, ?
10294,3431,workclass,-1,1,FP,Private, ?
10307,3435,workclass,1,-1,FN,Self-emp-inc, Private
10338,3446,workclass,1,-1,FN,—, Local-gov
10378,3459,workclass,1,-1,FN,Self-emp-inc, Private
10386,3462,workclass,1,-1,FN,, ?
10389,3463,workclass,-1,1,FP,?tate-gov, ?
10432,3477,workclass,1,-1,FN,, Private
10456,3485,workclass,1,-1,FN,—, Private
10468,3489,workclass,1,-1,FN,—, Private
10540,3513,workclass,1,-1,FN,, Private
10557,3519,workclass,1,-1,FN,—, ?
10558,3519,workclass,1,-1,FN,Unknown, ?
10601,3533,workclass,1,-1,FN,, Private
10622,3540,workclass,1,-1,FN,—, ?
10623,3541,workclass,-1,1,FP,Self-emp-not-inc, ?
10662,3554,workclass,-1,1,FP,Pivate, ?
10699,3566,workclass,1,-1,FN,—, Private
10754,3584,workclass,1,-1,FN,, Private
10791,3597,workclass,1,-1,FN,, Self-emp-inc
10848,3616,workclass,1,-1,FN,, ?
10869,3623,workclass,-1,1,FP,Priv-house-serv, ?
10893,3631,workclass,1,-1,FN,, Private
10921,3640,workclass,1,-1,FN,, Private
10973,3657,workclass,1,-1,FN,State-gov, Private
11005,3668,workclass,-1,1,FP,Private, ?
11011,3670,workclass,1,-1,FN,Self-emp-inc, Private
11047,3682,workclass,1,-1,FN,—, Self-emp-not-inc
11048,3682,workclass,1,-1,FN,Unknown, Self-emp-not-inc
11063,3687,workclass,1,-1,FN,Self-emp-inc, Private
11089,3696,workclass,1,-1,FN,Self-emp-inc, Self-emp-not-inc
11096,3698,workclass,1,-1,FN,Self-emp-inc, Private
11098,3699,workclass,1,-1,FN,—, Private
11105,3701,workclass,1,-1,FN,, Private
11126,3708,workclass,1,-1,FN,Self-emp-inc, Self-emp-not-inc
11158,3719,workclass,1,-1,FN,Self-emp-inc, Private
11168,3722,workclass,1,-1,FN,—, Private
11238,3746,workclass,1,-1,FN,, State-gov
11241,3747,workclass,1,-1,FN,, Self-emp-inc
11260,3753,workclass,1,-1,FN,, Self-emp-not-inc
11271,3757,workclass,-1,1,FP,Privat, ?
11272,3757,workclass,-1,1,FP,Private, ?
11277,3759,workclass,-1,1,FP,Priv-ate, ?
11279,3759,workclass,-1,1,FP,Priv, ?
11297,3765,workclass,1,-1,FN,, State-gov
11299,3766,workclass,1,-1,FN,Self-emp-inc, Private
11324,3774,workclass,1,-1,FN,Self-emp-inc, Private
11329,3776,workclass,1,-1,FN,Self-emp-inc, Private
11344,3781,workclass,1,-1,FN,—, Private
11381,3793,workclass,1,-1,FN,, Private
11384,3794,workclass,1,-1,FN,—, Self-emp-not-inc
11395,3798,workclass,1,-1,FN,—, Private
11410,3803,workclass,1,-1,FN,Self-emp-inc, Self-emp-not-inc
11422,3807,workclass,-1,1,FP,Pivate, ?
11453,3817,workclass,1,-1,FN,, Private
