row_idx,column_name,signal_C1,signal_C2,signal_C3,signal_C4,signal_C5,signal_C6,signal_C7,signal_C8,signal_C9,signal_C10,signal_C11,signal_C12,signal_C13,signal_C14,signal_C15,signal_C16,signal_C17,signal_C18,signal_C19,signal_C20,signal_C21,signal_C22,signal_C23,signal_C24,signal_C25,signal_C26,signal_C27,signal_C28,signal_C29,signal_C30,signal_C31,n_applicable,cell_signal_sum,cell_signal_ratio,row_signal_sum,h1_plausible,h2_min_edit_distance,h2_is_obfuscation,h3_distribution_score,h4_coherence_score,h5_error_count,h5_codependent_flag,h6_column_importance,h7_mutability,h7_gain_direction,h7_comprehensibility,h8_is_sensitive,h8_is_majority_value,stat_change_magnitude,stat_relative_change,stat_change_direction,stat_original_magnitude,stat_new_magnitude,stat_original_log,stat_new_log,stat_feature_name_encoded,stat_original_value_encoded,stat_new_value_encoded,intent_label,predicted_intent
5,sex,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,4,0,0.0,4,0,1.0,0.0,0.0,0.0,2,0,0.2680057898837924,0.5,0.5,0.0,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,15.0,21.0,-1,-1.0
6,workclass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,3,-1,-0.3333333333333333,2,0,1.0,0.0,0.0,0.0,3,0,0.07999917104733442,1.0,0.5,0.8,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,49.0,-1,-1.0
6,education,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,3,0,0.0,2,0,1.0,0.0,0.0,0.0,3,0,0.593571220643098,1.0,0.5,0.8,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,92.0,81.0,-1,-1.0
6,hours-per-week,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,2,-1,-0.5,2,0,,,0.0,0.0,3,0,0.4157457150632492,1.0,0.6336143496260792,0.3,0,0,515.0,12.560975609756097,1.0,40.0,555.0,3.713572066704308,6.320768294250582,12.0,96.0,147.0,-1,-1.0
7,occupation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,3,-1,-0.3333333333333333,5,0,1.0,0.0,0.0,0.0,2,0,0.5478141931009376,1.0,0.5,0.8,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,107.0,152.0,-1,-1.0
7,race,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.5,5,1,0.0,0.0,1.0,0.86,2,0,0.067498680911876,0.5,1.0,0.8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,31.0,31.0,1,1.0
8,age,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,4,1,,,0.7660704902538097,0.3453709113032465,2,0,0.7124705367126459,1.0,0.6358503461290571,0.0,1,0,5.0,0.2,1.0,24.0,29.0,3.2188758248682006,3.4011973816621555,0.0,66.0,9.0,-1,1.0
8,occupation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,3,-1,-0.3333333333333333,4,0,1.0,0.0,0.0,0.0,2,0,0.5478141931009376,1.0,0.5,0.8,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,90.0,40.0,-1,-1.0
9,education,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,3,0,0.0,2,0,1.0,0.0,0.0,0.0,2,0,0.593571220643098,1.0,0.5,0.8,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,39.0,78.0,-1,-1.0
9,occupation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,3,-1,-0.3333333333333333,2,0,1.0,0.0,0.0,0.0,2,0,0.5478141931009376,1.0,0.5,0.8,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,27.0,76.0,-1,-1.0
10,workclass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,3,-1,-0.3333333333333333,3,0,6.0,0.0,0.0,0.0,2,0,0.07999917104733442,1.0,0.5,0.8,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,52.0,37.0,-1,-1.0
10,hours-per-week,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.5,3,1,,,0.9900039017696436,0.6106471656778334,2,0,0.4157457150632492,1.0,0.6336143496260792,0.3,0,0,1.0,0.024390243902439025,1.0,40.0,41.0,3.713572066704308,3.7376696182833684,12.0,96.0,100.0,-1,1.0
11,age,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1.0,4,0,,,0.12716822651073212,0.0,2,0,0.7124705367126459,1.0,0.6358503461290571,0.0,1,0,33.0,0.8918918918918919,-1.0,36.0,3.0,3.6109179126442243,1.3862943611198906,0.0,111.0,86.0,-1,-1.0
11,sex,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0.25,4,1,0.0,0.0,1.0,0.62,2,0,0.2680057898837924,0.5,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,15.0,15.0,1,1.0
12,age,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,6,1,,,0.9135094741945199,0.5385159802655772,3,0,0.7124705367126459,1.0,0.6358503461290571,0.0,1,0,9.0,0.3333333333333333,1.0,26.0,35.0,3.295836866004329,3.58351893845611,0.0,72.0,108.0,1,1.0
12,education,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0.3333333333333333,6,1,0.0,0.0,0.935483870967742,0.78,3,1,0.593571220643098,1.0,1.0,0.8,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,92.0,75.0,1,1.0
12,education-num,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0.3333333333333333,6,1,,,0.6221834259256473,1.0,3,1,0.608014114587254,0.0,0.6629739090953851,0.3,0,0,4.0,0.4,1.0,9.0,13.0,2.302585092994046,2.6390573296152584,4.0,56.0,16.0,1,1.0
13,workclass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,3,-1,-0.3333333333333333,2,0,7.0,1.0,0.0,0.0,2,0,0.07999917104733442,1.0,0.5,0.8,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,87.0,1,1.0
13,occupation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,3,-1,-0.3333333333333333,2,0,1.0,0.0,0.0,0.0,2,0,0.5478141931009376,1.0,0.5,0.8,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,155.0,1,-1.0
14,education,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,3,0,0.0,4,0,1.0,0.0,0.0,0.0,2,0,0.593571220643098,1.0,0.5,0.8,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,92.0,133.0,-1,-1.0
14,hours-per-week,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.5,4,1,,,0.6130371188851116,0.21967875942901893,2,0,0.4157457150632492,1.0,0.6336143496260792,0.3,0,0,7.0,0.14285714285714285,1.0,48.0,55.0,3.8918202981106265,4.02535169073515,12.0,122.0,145.0,1,1.0
15,education,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,3,0,0.0,4,0,1.0,0.0,0.0,0.0,2,0,0.593571220643098,1.0,0.5,0.8,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,112.0,111.0,-1,-1.0
15,occupation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,3,-1,-0.3333333333333333,4,0,1.0,0.0,0.0,0.0,2,0,0.5478141931009376,1.0,0.5,0.8,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,41.0,105.0,-1,-1.0
16,age,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1.0,6,0,,,0.4220461943921525,0.0,1,0,0.7124705367126459,1.0,0.6358503461290571,0.0,1,0,5.0,0.23809523809523808,-1.0,20.0,15.0,3.044522437723423,2.772588722239781,0.0,46.0,37.0,-1,-1.0
17,age,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,6,1,,,0.8407588859042964,0.5694781668931259,2,0,0.7124705367126459,1.0,0.6358503461290571,0.0,1,0,2.0,0.045454545454545456,1.0,43.0,45.0,3.784189633918261,3.828641396489095,0.0,133.0,143.0,1,1.0
17,workclass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,3,-1,-0.3333333333333333,6,0,1.0,0.0,0.0,0.0,2,0,0.07999917104733442,1.0,0.5,0.8,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,52.0,94.0,-1,-1.0
18,workclass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,3,-1,-0.3333333333333333,5,0,1.0,0.0,0.0,0.0,2,0,0.07999917104733442,1.0,0.5,0.8,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,52.0,78.0,-1,-1.0
18,education,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,3,0,0.0,5,0,1.0,0.0,0.0,0.0,2,0,0.593571220643098,1.0,0.5,0.8,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,92.0,87.0,-1,-1.0
19,capital-gain,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.5,4,1,,,0.9842526893280006,0.8823045380670695,2,0,0.7361455640398512,1.0,0.641513312680501,1.0,0,0,1502.0,1502.0,1.0,0.0,1502.0,0.0,7.315218389752975,10.0,0.0,44.0,-1,1.0
19,hours-per-week,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,2,-1,-0.5,4,0,,,0.0,0.0,2,0,0.4157457150632492,1.0,0.6336143496260792,0.3,0,0,615.0,13.369565217391305,1.0,45.0,660.0,3.828641396489095,6.493753839851686,12.0,113.0,177.0,-1,-1.0
20,age,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,4,1,,,0.4967345900426392,0.6623647267757737,2,0,0.7124705367126459,1.0,0.6358503461290571,0.0,1,0,25.0,0.7142857142857143,1.0,34.0,59.0,3.5553480614894135,4.0943445622221,0.0,105.0,187.0,-1,1.0
20,occupation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,3,-1,-0.3333333333333333,4,0,1.0,1.0,0.0,0.0,2,0,0.5478141931009376,1.0,0.5,0.8,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,135.0,163.0,1,1.0
21,age,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1,1,,,0.7414973262636912,0.7950598123224127,3,0,0.7124705367126459,1.0,0.6358503461290571,0.0,1,0,6.0,0.17142857142857143,-1.0,34.0,28.0,3.5553480614894135,3.367295829986474,0.0,105.0,78.0,1,1.0
21,education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0,1,1,0.0,0.0,0.967741935483871,0.96,3,1,0.593571220643098,1.0,1.0,0.8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,134.0,134.0,1,1.0
21,education-num,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0,1,1,,,0.9883138870470473,1.0,3,1,0.608014114587254,0.0,0.6629739090953851,0.3,0,0,1.0,0.09090909090909091,0.0,10.0,10.0,2.3978952727983707,2.3978952727983707,4.0,2.0,3.0,1,1.0
22,race,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.5,3,1,0.0,0.0,1.0,0.9,2,0,0.067498680911876,0.5,1.0,0.8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,31.0,31.0,1,1.0
22,sex,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0.25,3,1,0.0,0.0,1.0,0.1,2,0,0.2680057898837924,0.5,1.0,0.0,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,15.0,1,1.0
23,workclass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,3,-1,-0.3333333333333333,0,0,1.0,0.0,0.0,0.0,2,0,0.07999917104733442,1.0,0.5,0.8,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,52.0,58.0,-1,-1.0
23,hours-per-week,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.5,0,1,,,0.8015205103273776,0.0,2,0,0.4157457150632492,1.0,0.6336143496260792,0.3,0,0,5.0,0.11363636363636363,1.0,43.0,48.0,3.784189633918261,3.8918202981106265,12.0,104.0,123.0,1,1.0
24,age,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1.0,0,0,,,0.17631455449096878,0.0,3,0,0.7124705367126459,1.0,0.6358503461290571,0.0,1,0,20.0,0.7692307692307693,-1.0,25.0,5.0,3.258096538021482,1.791759469228055,0.0,69.0,23.0,-1,-1.0
24,education,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,3,0,0.0,0,0,1.0,0.0,0.0,0.0,3,0,0.593571220643098,1.0,0.5,0.8,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,75.0,56.0,-1,-1.0
24,occupation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,3,-1,-0.3333333333333333,0,0,1.0,0.0,0.0,0.0,3,0,0.5478141931009376,1.0,0.5,0.8,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,107.0,126.0,-1,-1.0
25,age,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1,1,,,0.8899052138845331,0.5945427941630469,1,0,0.7124705367126459,1.0,0.6358503461290571,0.0,1,0,2.0,0.043478260869565216,-1.0,45.0,43.0,3.828641396489095,3.784189633918261,0.0,143.0,133.0,1,1.0
26,occupation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,3,-1,-0.3333333333333333,-1,0,1.0,0.0,0.0,0.0,2,0,0.5478141931009376,1.0,0.5,0.8,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,155.0,1,-1.0
26,hours-per-week,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,2,-1,-0.5,-1,0,,,0.0,0.0,2,0,0.4157457150632492,1.0,0.6336143496260792,0.3,0,0,420.0,20.0,1.0,20.0,440.0,3.044522437723423,6.089044875446846,12.0,32.0,109.0,-1,-1.0
27,education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0,4,1,0.0,0.0,0.967741935483871,0.92,3,1,0.593571220643098,1.0,1.0,0.8,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,92.0,134.0,1,1.0
27,education-num,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0,4,1,,,0.9883138870470473,1.0,3,1,0.608014114587254,0.0,0.6629739090953851,0.3,0,0,1.0,0.1,1.0,9.0,10.0,2.302585092994046,2.3978952727983707,4.0,56.0,3.0,1,1.0
27,occupation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,3,-1,-0.3333333333333333,4,0,2.0,0.0,0.0,0.0,3,0,0.5478141931009376,1.0,0.5,0.8,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,77.0,35.0,-1,-1.0
28,age,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,5,1,,,0.8407588859042964,0.7891622529647844,2,0,0.7124705367126459,1.0,0.6358503461290571,0.0,1,0,9.0,0.16363636363636364,-1.0,54.0,45.0,4.007333185232471,3.828641396489095,0.0,173.0,143.0,1,1.0
28,capital-gain,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.5,5,1,,,0.9207014971995752,0.6746422905390168,2,0,0.7361455640398512,1.0,0.641513312680501,1.0,0,0,3013.0,3013.0,1.0,0.0,3013.0,0.0,8.01102337918644,10.0,0.0,153.0,-1,1.0
29,age,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,5,1,,,0.987228966164875,0.2731258091722987,1,0,0.7124705367126459,1.0,0.6358503461290571,0.0,1,0,6.0,0.18181818181818182,1.0,32.0,38.0,3.4965075614664802,3.6635616461296463,0.0,93.0,118.0,1,1.0
30,workclass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,3,-1,-0.3333333333333333,2,0,7.0,1.0,0.0,0.0,3,0,0.07999917104733442,1.0,0.5,0.8,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,84.0,87.0,1,1.0
30,education,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,3,0,0.0,2,0,3.0,1.0,0.0,0.0,3,0,0.593571220643098,1.0,0.5,0.8,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,134.0,154.0,1,-1.0
30,occupation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,3,-1,-0.3333333333333333,2,0,1.0,0.0,0.0,0.0,3,0,0.5478141931009376,1.0,0.5,0.8,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,41.0,155.0,1,-1.0
31,education,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0.6666666666666666,7,1,0.0,0.0,0.9032258064516129,0.34,3,1,0.593571220643098,1.0,1.0,0.8,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,112.0,1,1.0
31,education-num,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0.6666666666666666,7,0,,,0.36251496790744375,0.6104973129726946,3,1,0.608014114587254,0.0,0.6629739090953851,0.3,0,0,8.0,1.0,1.0,7.0,15.0,2.0794415416798357,2.772588722239781,4.0,49.0,24.0,1,-1.0
31,occupation,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0.3333333333333333,7,1,0.0,0.0,1.0,0.14,3,0,0.5478141931009376,1.0,1.0,0.8,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,90.0,41.0,1,1.0
32,age,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,3,1,,,0.8653320498944148,0.0,3,0,0.7124705367126459,1.0,0.6358503461290571,0.0,1,0,20.0,0.8,1.0,24.0,44.0,3.2188758248682006,3.8066624897703196,0.0,66.0,135.0,-1,1.0
32,workclass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,3,-1,-0.3333333333333333,3,0,1.0,0.0,0.0,0.0,3,0,0.07999917104733442,1.0,0.5,0.8,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,73.0,72.0,-1,-1.0
32,hours-per-week,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,3,1,,,0.5522507190134247,0.0,3,0,0.4157457150632492,1.0,0.6336143496260792,0.3,0,0,26.0,0.5098039215686274,-1.0,50.0,24.0,3.9318256327243257,3.2188758248682006,12.0,131.0,45.0,-1,-1.0
33,age,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1.0,3,0,,,0.22546088247120555,0.0,3,0,0.7124705367126459,1.0,0.6358503461290571,0.0,1,0,16.0,0.6666666666666666,-1.0,23.0,7.0,3.1780538303479458,2.0794415416798357,0.0,63.0,211.0,-1,-1.0
