item_id,dataset_source,title,search_query,marketplace,category,condition,price,currency,seller_username,seller_feedback_pct,seller_feedback_score,item_location,item_location_city,n_images,description_length,returns_accepted,return_period_days,spec_brand,spec_upc,spec_ean,spec_mpn,spec_model,spec_type,spec_style,has_detail
v1|198274010245|0,consumer_products,*NEW* Men Nike Dunk Low Retro BLUE LEGEND BLUE / VARSITY MAIZE (HF5441-403) 👍,Nike Air Jordan 1 Retro High OG,EBAY_US,Athletic Shoes,New with box,74.99,USD,thornhill-kicks,99.9,3759.0,US,,8.0,654.0,False,30.0,Nike,0191984199627,3508440561114,Dv0833800,New Balance 550,Athletic,Sneaker,True
v1|198283960052|0,consumer_products,*NEW* Men Nike Dunk Low Retro BLUE LEGEND BLUE / VARSITY MAIZE (HF5441-403) 👍,Nike Air Jordan 1 Retro High OG,EBAY_US,Athletic Shoes,New with box,74.99,USD,thornhill-kicks,99.9,3759.0,US,,8.0,654.0,False,30.0,Nike,0191984199627,3508440561114,Dv0833800,New Balance 550,Athletic,Sneaker,True
v1|397821140175|666157606254,consumer_products,*NEW* Men Nike Dunk Low Retro BLUE LEGEND BLUE / VARSITY MAIZE (HF5441-403) 👍,Nike Air Jordan 1 Retro High OG,EBAY_US,Athletic Shoes,New with box,74.99,USD,thornhill-kicks,99.9,3759.0,US,,8.0,654.0,False,30.0,Nike,0191984199627,3508440561114,Dv0833800,New Balance 550,Athletic,Sneaker,True
v1|406846157120|0,consumer_products,*NEW* Men Nike Dunk Low Retro BLUE LEGEND BLUE / VARSITY MAIZE (HF5441-403) 👍,Nike Air Jordan 1 Retro High OG,EBAY_US,Athletic Shoes,New with box,74.99,USD,thornhill-kicks,99.9,3759.0,US,,8.0,654.0,False,30.0,Nike,0191984199627,3508440561114,Dv0833800,New Balance 550,Athletic,Sneaker,True
v1|257372529094|0,consumer_products,*NEW* Men Nike Dunk Low Retro BLUE LEGEND BLUE / VARSITY MAIZE (HF5441-403) 👍,Nike Air Jordan 1 Retro High OG,EBAY_US,Athletic Shoes,New with box,74.99,USD,thornhill-kicks,99.9,3759.0,US,,8.0,654.0,False,30.0,Nike,0191984199627,3508440561114,Dv0833800,New Balance 550,Athletic,Sneaker,True
v1|406865869152|0,consumer_products,*NEW* Men Nike Dunk Low Retro BLUE LEGEND BLUE / VARSITY MAIZE (HF5441-403) 👍,Nike Air Jordan 1 Retro High OG,EBAY_US,Athletic Shoes,New with box,74.99,USD,thornhill-kicks,99.9,3759.0,US,,8.0,654.0,False,30.0,Nike,0191984199627,3508440561114,Dv0833800,New Balance 550,Athletic,Sneaker,True
v1|267642474896|0,consumer_products,*NEW* Men Nike Dunk Low Retro BLUE LEGEND BLUE / VARSITY MAIZE (HF5441-403) 👍,Nike Air Jordan 1 Retro High OG,EBAY_US,Athletic Shoes,New with box,74.99,USD,thornhill-kicks,99.9,3759.0,US,,8.0,654.0,False,30.0,Nike,0191984199627,3508440561114,Dv0833800,New Balance 550,Athletic,Sneaker,True
v1|137192039581|0,consumer_products,*NEW* Men Nike Dunk Low Retro BLUE LEGEND BLUE / VARSITY MAIZE (HF5441-403) 👍,Nike Air Jordan 1 Retro High OG,EBAY_US,Athletic Shoes,New with box,74.99,USD,thornhill-kicks,99.9,3759.0,US,,8.0,654.0,False,30.0,Nike,0191984199627,3508440561114,Dv0833800,New Balance 550,Athletic,Sneaker,True
v1|366341886317|0,consumer_products,*NEW* Men Nike Dunk Low Retro BLUE LEGEND BLUE / VARSITY MAIZE (HF5441-403) 👍,Nike Air Jordan 1 Retro High OG,EBAY_US,Athletic Shoes,New with box,74.99,USD,thornhill-kicks,99.9,3759.0,US,,8.0,654.0,False,30.0,Nike,0191984199627,3508440561114,Dv0833800,New Balance 550,Athletic,Sneaker,True
v1|147263896497|0,consumer_products,*NEW* Men Nike Dunk Low Retro BLUE LEGEND BLUE / VARSITY MAIZE (HF5441-403) 👍,Nike Air Jordan 1 Retro High OG,EBAY_US,Athletic Shoes,New with box,74.99,USD,thornhill-kicks,99.9,3759.0,US,,8.0,654.0,False,30.0,Nike,0191984199627,3508440561114,Dv0833800,New Balance 550,Athletic,Sneaker,True
v1|389850275579|0,consumer_products,*NEW* Men Nike Dunk Low Retro BLUE LEGEND BLUE / VARSITY MAIZE (HF5441-403) 👍,Nike Air Jordan 1 Retro High OG,EBAY_US,Athletic Shoes,New with box,74.99,USD,thornhill-kicks,99.9,3759.0,US,,8.0,654.0,False,30.0,Nike,0191984199627,3508440561114,Dv0833800,New Balance 550,Athletic,Sneaker,True
v1|127768175275|428947018195,consumer_products,*NEW* Men Nike Dunk Low Retro BLUE LEGEND BLUE / VARSITY MAIZE (HF5441-403) 👍,Nike Air Jordan 1 Retro High OG,EBAY_US,Athletic Shoes,New with box,74.99,USD,thornhill-kicks,99.9,3759.0,US,,8.0,654.0,False,30.0,Nike,0191984199627,3508440561114,Dv0833800,New Balance 550,Athletic,Sneaker,True
v1|117129021438|0,consumer_products,*NEW* Men Nike Dunk Low Retro BLUE LEGEND BLUE / VARSITY MAIZE (HF5441-403) 👍,Nike Air Jordan 1 Retro High OG,EBAY_US,Athletic Shoes,New with box,74.99,USD,thornhill-kicks,99.9,3759.0,US,,8.0,654.0,False,30.0,Nike,0191984199627,3508440561114,Dv0833800,New Balance 550,Athletic,Sneaker,True
v1|137216421474|0,consumer_products,*NEW* Men Nike Dunk Low Retro BLUE LEGEND BLUE / VARSITY MAIZE (HF5441-403) 👍,Nike Air Jordan 1 Retro High OG,EBAY_US,Athletic Shoes,New with box,74.99,USD,thornhill-kicks,99.9,3759.0,US,,8.0,654.0,False,30.0,Nike,0191984199627,3508440561114,Dv0833800,New Balance 550,Athletic,Sneaker,True
v1|317931655205|0,consumer_products,*NEW* Men Nike Dunk Low Retro BLUE LEGEND BLUE / VARSITY MAIZE (HF5441-403) 👍,Nike Air Jordan 1 Retro High OG,EBAY_US,Athletic Shoes,New with box,74.99,USD,thornhill-kicks,99.9,3759.0,US,,8.0,654.0,False,30.0,Nike,0191984199627,3508440561114,Dv0833800,New Balance 550,Athletic,Sneaker,True
v1|167209503609|466900255863,consumer_products,*NEW* Men Nike Dunk Low Retro BLUE LEGEND BLUE / VARSITY MAIZE (HF5441-403) 👍,Nike Air Jordan 1 Retro High OG,EBAY_US,Athletic Shoes,New with box,74.99,USD,thornhill-kicks,99.9,3759.0,US,,8.0,654.0,False,30.0,Nike,0191984199627,3508440561114,Dv0833800,New Balance 550,Athletic,Sneaker,True
v1|277387611028|2560530884894,consumer_products,*NEW* Men Nike Dunk Low Retro BLUE LEGEND BLUE / VARSITY MAIZE (HF5441-403) 👍,Nike Air Jordan 1 Retro High OG,EBAY_US,Athletic Shoes,New with box,74.99,USD,thornhill-kicks,99.9,3759.0,US,,8.0,654.0,False,30.0,Nike,0191984199627,3508440561114,Dv0833800,New Balance 550,Athletic,Sneaker,True
v1|168132783684|467730556285,consumer_products,*NEW* Men Nike Dunk Low Retro BLUE LEGEND BLUE / VARSITY MAIZE (HF5441-403) 👍,Nike Air Jordan 1 Retro High OG,EBAY_US,Athletic Shoes,New with box,74.99,USD,thornhill-kicks,99.9,3759.0,US,,8.0,654.0,False,30.0,Nike,0191984199627,3508440561114,Dv0833800,New Balance 550,Athletic,Sneaker,True
v1|397376662106|665965317791,consumer_products,*NEW* Men Nike Dunk Low Retro BLUE LEGEND BLUE / VARSITY MAIZE (HF5441-403) 👍,Nike Air Jordan 1 Retro High OG,EBAY_US,Athletic Shoes,New with box,74.99,USD,thornhill-kicks,99.9,3759.0,US,,8.0,654.0,False,30.0,Nike,0191984199627,3508440561114,Dv0833800,New Balance 550,Athletic,Sneaker,True
v1|389848353554|0,consumer_products,*NEW* Men Nike Dunk Low Retro BLUE LEGEND BLUE / VARSITY MAIZE (HF5441-403) 👍,Nike Air Jordan 1 Retro High OG,EBAY_US,Athletic Shoes,New with box,74.99,USD,thornhill-kicks,99.9,3759.0,US,,8.0,654.0,False,30.0,Nike,0191984199627,3508440561114,Dv0833800,New Balance 550,Athletic,Sneaker,True
v1|257368214404|0,consumer_products,Nike Air Jordan 1 Retro High OG UNC Reimagined Blue/White Size UK 8.5,Adidas Yeezy Boost 350 V2,EBAY_GB,Trainers,New with box,83.89,GBP,mk2driver-sneakers,100.0,268.0,GB,,8.0,492.0,False,30.0,Nike,0711719564775,4057287417027,BB550SN1,New Balance 550,Trainer,Sneaker,True
v1|306851099758|0,consumer_products,Nike Air Jordan 1 Retro High OG UNC Reimagined Blue/White Size UK 8.5,Adidas Yeezy Boost 350 V2,EBAY_GB,Trainers,New with box,83.89,GBP,mk2driver-sneakers,100.0,268.0,GB,,8.0,492.0,False,30.0,Nike,0711719564775,4057287417027,BB550SN1,New Balance 550,Trainer,Sneaker,True
v1|298015869716|0,consumer_products,Nike Air Jordan 1 Retro High OG UNC Reimagined Blue/White Size UK 8.5,Adidas Yeezy Boost 350 V2,EBAY_GB,Trainers,New with box,83.89,GBP,mk2driver-sneakers,100.0,268.0,GB,,8.0,492.0,False,30.0,Nike,0711719564775,4057287417027,BB550SN1,New Balance 550,Trainer,Sneaker,True
v1|287128063702|0,consumer_products,Nike Air Jordan 1 Retro High OG UNC Reimagined Blue/White Size UK 8.5,Adidas Yeezy Boost 350 V2,EBAY_GB,Trainers,New with box,83.89,GBP,mk2driver-sneakers,100.0,268.0,GB,,8.0,492.0,False,30.0,Nike,0711719564775,4057287417027,BB550SN1,New Balance 550,Trainer,Sneaker,True
v1|298211653493|0,consumer_products,Nike Air Jordan 1 Retro High OG UNC Reimagined Blue/White Size UK 8.5,Adidas Yeezy Boost 350 V2,EBAY_GB,Trainers,New with box,83.89,GBP,mk2driver-sneakers,100.0,268.0,GB,,8.0,492.0,False,30.0,Nike,0711719564775,4057287417027,BB550SN1,New Balance 550,Trainer,Sneaker,True
v1|287260651890|0,consumer_products,Nike Air Jordan 1 Retro High OG UNC Reimagined Blue/White Size UK 8.5,Adidas Yeezy Boost 350 V2,EBAY_GB,Trainers,New with box,83.89,GBP,mk2driver-sneakers,100.0,268.0,GB,,8.0,492.0,False,30.0,Nike,0711719564775,4057287417027,BB550SN1,New Balance 550,Trainer,Sneaker,True
v1|277883378073|0,consumer_products,Nike Air Jordan 1 Retro High OG UNC Reimagined Blue/White Size UK 8.5,Adidas Yeezy Boost 350 V2,EBAY_GB,Trainers,New with box,83.89,GBP,mk2driver-sneakers,100.0,268.0,GB,,8.0,492.0,False,30.0,Nike,0711719564775,4057287417027,BB550SN1,New Balance 550,Trainer,Sneaker,True
v1|287272136358|0,consumer_products,Nike Air Jordan 1 Retro High OG UNC Reimagined Blue/White Size UK 8.5,Adidas Yeezy Boost 350 V2,EBAY_GB,Trainers,New with box,83.89,GBP,mk2driver-sneakers,100.0,268.0,GB,,8.0,492.0,False,30.0,Nike,0711719564775,4057287417027,BB550SN1,New Balance 550,Trainer,Sneaker,True
v1|298238565274|0,consumer_products,Nike Air Jordan 1 Retro High OG UNC Reimagined Blue/White Size UK 8.5,Adidas Yeezy Boost 350 V2,EBAY_GB,Trainers,New with box,83.89,GBP,mk2driver-sneakers,100.0,268.0,GB,,8.0,492.0,False,30.0,Nike,0711719564775,4057287417027,BB550SN1,New Balance 550,Trainer,Sneaker,True
v1|257368215571|0,consumer_products,Nike Air Jordan 1 Retro High OG UNC Reimagined Blue/White Size UK 8.5,Adidas Yeezy Boost 350 V2,EBAY_GB,Trainers,New with box,83.89,GBP,mk2driver-sneakers,100.0,268.0,GB,,8.0,492.0,False,30.0,Nike,0711719564775,4057287417027,BB550SN1,New Balance 550,Trainer,Sneaker,True
v1|287272127742|0,consumer_products,Nike Air Jordan 1 Retro High OG UNC Reimagined Blue/White Size UK 8.5,Adidas Yeezy Boost 350 V2,EBAY_GB,Trainers,New with box,83.89,GBP,mk2driver-sneakers,100.0,268.0,GB,,8.0,492.0,False,30.0,Nike,0711719564775,4057287417027,BB550SN1,New Balance 550,Trainer,Sneaker,True
v1|177905611783|0,consumer_products,Nike Air Jordan 1 Retro High OG UNC Reimagined Blue/White Size UK 8.5,Adidas Yeezy Boost 350 V2,EBAY_GB,Trainers,New with box,83.89,GBP,mk2driver-sneakers,100.0,268.0,GB,,8.0,492.0,False,30.0,Nike,0711719564775,4057287417027,BB550SN1,New Balance 550,Trainer,Sneaker,True
v1|168308113790|0,consumer_products,Nike Air Jordan 1 Retro High OG UNC Reimagined Blue/White Size UK 8.5,Adidas Yeezy Boost 350 V2,EBAY_GB,Trainers,New with box,83.89,GBP,mk2driver-sneakers,100.0,268.0,GB,,8.0,492.0,False,30.0,Nike,0711719564775,4057287417027,BB550SN1,New Balance 550,Trainer,Sneaker,True
v1|187559015149|0,consumer_products,Nike Air Jordan 1 Retro High OG Bordeaux Uk8,Nike Air Jordan 1 Retro High OG,EBAY_GB,Casual Shoes,Pre-owned - Excellent,99.5,GBP,huzans-16,100.0,2.0,GB,,11.0,183.0,False,30.0,Nike,0195243521655,DoesNotApply,555088 063,New Balance 550,Casual,Sneaker,True
v1|318054564368|0,consumer_products,Nike Air Jordan 1 Retro High OG UNC Reimagined Blue/White Size UK 8.5,Adidas Yeezy Boost 350 V2,EBAY_GB,Trainers,New with box,83.89,GBP,mk2driver-sneakers,100.0,268.0,GB,,8.0,492.0,False,30.0,Nike,0711719564775,4057287417027,BB550SN1,New Balance 550,Trainer,Sneaker,True
v1|227286449959|0,consumer_products,Nike Air Jordan 1 Retro High OG UNC Reimagined Blue/White Size UK 8.5,Adidas Yeezy Boost 350 V2,EBAY_GB,Trainers,New with box,83.89,GBP,mk2driver-sneakers,100.0,268.0,GB,,8.0,492.0,False,30.0,Nike,0711719564775,4057287417027,BB550SN1,New Balance 550,Trainer,Sneaker,True
v1|257455703714|0,consumer_products,Nike Air Jordan 1 Retro High OG UNC Reimagined Blue/White Size UK 8.5,Adidas Yeezy Boost 350 V2,EBAY_GB,Trainers,New with box,83.89,GBP,mk2driver-sneakers,100.0,268.0,GB,,8.0,492.0,False,30.0,Nike,0711719564775,4057287417027,BB550SN1,New Balance 550,Trainer,Sneaker,True
v1|137229731106|0,consumer_products,Nike Air Jordan 1 Retro High OG UNC Reimagined Blue/White Size UK 8.5,Adidas Yeezy Boost 350 V2,EBAY_GB,Trainers,New with box,83.89,GBP,mk2driver-sneakers,100.0,268.0,GB,,8.0,492.0,False,30.0,Nike,0711719564775,4057287417027,BB550SN1,New Balance 550,Trainer,Sneaker,True
v1|306886581658|0,consumer_products,Nike Air Jordan 1 Retro High OG UNC Reimagined Blue/White Size UK 8.5,Adidas Yeezy Boost 350 V2,EBAY_GB,Trainers,New with box,83.89,GBP,mk2driver-sneakers,100.0,268.0,GB,,8.0,492.0,False,30.0,Nike,0711719564775,4057287417027,BB550SN1,New Balance 550,Trainer,Sneaker,True
v1|157611956329|0,consumer_products,Nike Air Jordan 1 Retro High OG UNC Reimagined Blue/White Size UK 8.5,Adidas Yeezy Boost 350 V2,EBAY_GB,Trainers,New with box,83.89,GBP,mk2driver-sneakers,100.0,268.0,GB,,8.0,492.0,False,30.0,Nike,0711719564775,4057287417027,BB550SN1,New Balance 550,Trainer,Sneaker,True
v1|147160233121|0,consumer_products,Nike Air Jordan 1 Retro High OG UNC Reimagined Blue/White Size UK 8.5,Adidas Yeezy Boost 350 V2,EBAY_GB,Trainers,New with box,83.89,GBP,mk2driver-sneakers,100.0,268.0,GB,,8.0,492.0,False,30.0,Nike,0711719564775,4057287417027,BB550SN1,New Balance 550,Trainer,Sneaker,True
v1|306867217986|0,consumer_products,Nike Air Jordan 1 Retro High OG UNC Reimagined Blue/White Size UK 8.5,Adidas Yeezy Boost 350 V2,EBAY_GB,Trainers,New with box,83.89,GBP,mk2driver-sneakers,100.0,268.0,GB,,8.0,492.0,False,30.0,Nike,0711719564775,4057287417027,BB550SN1,New Balance 550,Trainer,Sneaker,True
v1|318166940419|0,consumer_products,Nike Air Jordan 1 Retro High OG UNC Reimagined Blue/White Size UK 8.5,Adidas Yeezy Boost 350 V2,EBAY_GB,Trainers,New with box,83.89,GBP,mk2driver-sneakers,100.0,268.0,GB,,8.0,492.0,False,30.0,Nike,0711719564775,4057287417027,BB550SN1,New Balance 550,Trainer,Sneaker,True
v1|117008422980|0,consumer_products,Nike Air Jordan 1 Retro High OG UNC Reimagined Blue/White Size UK 8.5,Adidas Yeezy Boost 350 V2,EBAY_GB,Trainers,New with box,83.89,GBP,mk2driver-sneakers,100.0,268.0,GB,,8.0,492.0,False,30.0,Nike,0711719564775,4057287417027,BB550SN1,New Balance 550,Trainer,Sneaker,True
v1|287262466481|0,consumer_products,Nike Air Jordan 1 Retro High OG UNC Reimagined Blue/White Size UK 8.5,Adidas Yeezy Boost 350 V2,EBAY_GB,Trainers,New with box,83.89,GBP,mk2driver-sneakers,100.0,268.0,GB,,8.0,492.0,False,30.0,Nike,0711719564775,4057287417027,BB550SN1,New Balance 550,Trainer,Sneaker,True
v1|168310457091|0,consumer_products,Nike Air Jordan 1 Retro High OG UNC Reimagined Blue/White Size UK 8.5,Adidas Yeezy Boost 350 V2,EBAY_GB,Trainers,New with box,83.89,GBP,mk2driver-sneakers,100.0,268.0,GB,,8.0,492.0,False,30.0,Nike,0711719564775,4057287417027,BB550SN1,New Balance 550,Trainer,Sneaker,True
v1|127811386004|0,consumer_products,Nike Air Jordan 1 Retro High OG UNC Reimagined Blue/White Size UK 8.5,Adidas Yeezy Boost 350 V2,EBAY_GB,Trainers,New with box,83.89,GBP,mk2driver-sneakers,100.0,268.0,GB,,8.0,492.0,False,30.0,Nike,0711719564775,4057287417027,BB550SN1,New Balance 550,Trainer,Sneaker,True
v1|257458635641|0,consumer_products,Nike Air Jordan 1 Retro High OG UNC Reimagined Blue/White Size UK 8.5,Adidas Yeezy Boost 350 V2,EBAY_GB,Trainers,New with box,83.89,GBP,mk2driver-sneakers,100.0,268.0,GB,,8.0,492.0,False,30.0,Nike,0711719564775,4057287417027,BB550SN1,New Balance 550,Trainer,Sneaker,True
v1|358207134715|0,consumer_products,Nike Air Jordan 1 Retro High OG UNC Reimagined Blue/White Size UK 8.5,Adidas Yeezy Boost 350 V2,EBAY_GB,Trainers,New with box,83.89,GBP,mk2driver-sneakers,100.0,268.0,GB,,8.0,492.0,False,30.0,Nike,0711719564775,4057287417027,BB550SN1,New Balance 550,Trainer,Sneaker,True
v1|157767277036|0,consumer_products,Nike Air Jordan 1 Retro High OG UNC Reimagined Blue/White Size UK 8.5,Adidas Yeezy Boost 350 V2,EBAY_GB,Trainers,New with box,83.89,GBP,mk2driver-sneakers,100.0,268.0,GB,,8.0,492.0,False,30.0,Nike,0711719564775,4057287417027,BB550SN1,New Balance 550,Trainer,Sneaker,True
v1|357521605679|626154045395,consumer_products,Adidas Yeezy Boost 350 V2 Cloud White FW3043 – Größe 42 2/3,Nike Air Jordan 1 Retro High OG,EBAY_DE,Sneaker,Neu mit Karton,102.495,EUR,nitrominer,100.0,117.5,DE,,6.0,624.5,False,14.0,New Balance,0194252388532,0194768754265,GW0089,New Balance 550,Athletic,Sneaker,True
v1|317911235053|0,consumer_products,Adidas Yeezy Boost 350 V2 Cloud White FW3043 – Größe 42 2/3,Nike Air Jordan 1 Retro High OG,EBAY_DE,Sneaker,Neu mit Karton,102.495,EUR,nitrominer,100.0,117.5,DE,,6.0,624.5,False,14.0,New Balance,0194252388532,0194768754265,GW0089,New Balance 550,Athletic,Sneaker,True
v1|267557897012|0,consumer_products,Adidas Yeezy Boost 350 V2 Cloud White FW3043 – Größe 42 2/3,Nike Air Jordan 1 Retro High OG,EBAY_DE,Sneaker,Neu mit Karton,102.495,EUR,nitrominer,100.0,117.5,DE,,6.0,624.5,False,14.0,New Balance,0194252388532,0194768754265,GW0089,New Balance 550,Athletic,Sneaker,True
v1|376962244869|0,consumer_products,Adidas Yeezy Boost 350 V2 Cloud White FW3043 – Größe 42 2/3,Nike Air Jordan 1 Retro High OG,EBAY_DE,Sneaker,Neu mit Karton,102.495,EUR,nitrominer,100.0,117.5,DE,,6.0,624.5,False,14.0,New Balance,0194252388532,0194768754265,GW0089,New Balance 550,Athletic,Sneaker,True
v1|277854335897|0,consumer_products,Adidas Yeezy Boost 350 V2 Cloud White FW3043 – Größe 42 2/3,Nike Air Jordan 1 Retro High OG,EBAY_DE,Sneaker,Neu mit Karton,102.495,EUR,nitrominer,100.0,117.5,DE,,6.0,624.5,False,14.0,New Balance,0194252388532,0194768754265,GW0089,New Balance 550,Athletic,Sneaker,True
v1|336426684388|0,consumer_products,Adidas Yeezy Boost 350 V2 Cloud White FW3043 – Größe 42 2/3,Nike Air Jordan 1 Retro High OG,EBAY_DE,Sneaker,Neu mit Karton,102.495,EUR,nitrominer,100.0,117.5,DE,,6.0,624.5,False,14.0,New Balance,0194252388532,0194768754265,GW0089,New Balance 550,Athletic,Sneaker,True
v1|205896456880|0,consumer_products,Adidas Yeezy Boost 350 V2 Cloud White FW3043 – Größe 42 2/3,Nike Air Jordan 1 Retro High OG,EBAY_DE,Sneaker,Neu mit Karton,102.495,EUR,nitrominer,100.0,117.5,DE,,6.0,624.5,False,14.0,New Balance,0194252388532,0194768754265,GW0089,New Balance 550,Athletic,Sneaker,True
v1|227268792720|0,consumer_products,Adidas Yeezy Boost 350 V2 Cloud White FW3043 – Größe 42 2/3,Nike Air Jordan 1 Retro High OG,EBAY_DE,Sneaker,Neu mit Karton,102.495,EUR,nitrominer,100.0,117.5,DE,,6.0,624.5,False,14.0,New Balance,0194252388532,0194768754265,GW0089,New Balance 550,Athletic,Sneaker,True
v1|257425007113|0,consumer_products,Adidas Yeezy Boost 350 V2 Cloud White FW3043 – Größe 42 2/3,Nike Air Jordan 1 Retro High OG,EBAY_DE,Sneaker,Neu mit Karton,102.495,EUR,nitrominer,100.0,117.5,DE,,6.0,624.5,False,14.0,New Balance,0194252388532,0194768754265,GW0089,New Balance 550,Athletic,Sneaker,True
v1|236490671232|0,consumer_products,Adidas Yeezy Boost 350 V2 Cloud White FW3043 – Größe 42 2/3,Nike Air Jordan 1 Retro High OG,EBAY_DE,Sneaker,Neu mit Karton,102.495,EUR,nitrominer,100.0,117.5,DE,,6.0,624.5,False,14.0,New Balance,0194252388532,0194768754265,GW0089,New Balance 550,Athletic,Sneaker,True
v1|287277507889|0,consumer_products,Adidas Yeezy Boost 350 V2 Cloud White FW3043 – Größe 42 2/3,Nike Air Jordan 1 Retro High OG,EBAY_DE,Sneaker,Neu mit Karton,102.495,EUR,nitrominer,100.0,117.5,DE,,6.0,624.5,False,14.0,New Balance,0194252388532,0194768754265,GW0089,New Balance 550,Athletic,Sneaker,True
v1|136552566175|0,consumer_products,Adidas Yeezy Boost 350 V2 Cloud White FW3043 – Größe 42 2/3,Nike Air Jordan 1 Retro High OG,EBAY_DE,Sneaker,Neu mit Karton,102.495,EUR,nitrominer,100.0,117.5,DE,,6.0,624.5,False,14.0,New Balance,0194252388532,0194768754265,GW0089,New Balance 550,Athletic,Sneaker,True
v1|227274738094|0,consumer_products,Adidas Yeezy Boost 350 V2 Cloud White FW3043 – Größe 42 2/3,Nike Air Jordan 1 Retro High OG,EBAY_DE,Sneaker,Neu mit Karton,102.495,EUR,nitrominer,100.0,117.5,DE,,6.0,624.5,False,14.0,New Balance,0194252388532,0194768754265,GW0089,New Balance 550,Athletic,Sneaker,True
